date,phase,u_rate,theta,ee_rate,incumbent_wage_growth,mover_wage_growth,composition_term,sorting_term,aggregate_wage_growth
2006-01,pre-downturn,0.055,0.719971,0.025079,0.006616,0.014309,3e-06,-0.00041,0.006568
2006-02,pre-downturn,0.051051,0.725403,0.025255,0.006651,0.014442,-1.3e-05,-0.000439,0.006564
2006-03,pre-downturn,0.048515,0.730781,0.02543,0.006686,0.014572,-2.3e-05,-0.000466,0.006567
2006-04,pre-downturn,0.046825,0.736059,0.025601,0.00672,0.014701,-3e-05,-0.000491,0.006575
2006-05,pre-downturn,0.045632,0.741186,0.025768,0.006754,0.014826,-3.5e-05,-0.000515,0.006585
2006-06,pre-downturn,0.044721,0.746114,0.025928,0.006786,0.014946,-3.8e-05,-0.000538,0.006597
2006-07,pre-downturn,0.043966,0.750792,0.026079,0.006816,0.01506,-4.1e-05,-0.000559,0.006608
2006-08,pre-downturn,0.043291,0.755167,0.026221,0.006844,0.015166,-4.4e-05,-0.000579,0.006619
2006-09,pre-downturn,0.042655,0.759185,0.026352,0.00687,0.015264,-4.7e-05,-0.000598,0.006628
2006-10,pre-downturn,0.042038,0.762788,0.026469,0.006894,0.015351,-4.9e-05,-0.000614,0.006637
2006-11,pre-downturn,0.041433,0.765916,0.02657,0.006914,0.015428,-5.1e-05,-0.000629,0.006644
2006-12,pre-downturn,0.040838,0.768502,0.026654,0.006931,0.015491,-5.4e-05,-0.000641,0.006649
2007-01,pre-downturn,0.040261,0.770474,0.026718,0.006944,0.015539,-5.6e-05,-0.00065,0.006652
2007-02,pre-downturn,0.039711,0.771751,0.02676,0.006952,0.01557,-5.8e-05,-0.000656,0.006654
2007-03,pre-downturn,0.039197,0.772244,0.026776,0.006955,0.015582,-6e-05,-0.000659,0.006652
2007-04,pre-downturn,0.038734,0.771854,0.026763,0.006953,0.015572,-6.2e-05,-0.000658,0.006649
2007-05,pre-downturn,0.038334,0.770468,0.026718,0.006944,0.015538,-6.4e-05,-0.000653,0.006642
2007-06,pre-downturn,0.038013,0.767965,0.026637,0.006927,0.015477,-6.5e-05,-0.000643,0.006632
2007-07,pre-downturn,0.037785,0.764209,0.026515,0.006903,0.015386,-6.6e-05,-0.000627,0.006618
2007-08,pre-downturn,0.037666,0.759056,0.026348,0.00687,0.015261,-6.7e-05,-0.000605,0.0066
2007-09,pre-downturn,0.037674,0.752351,0.02613,0.006826,0.015097,-6.7e-05,-0.000576,0.006578
2007-10,pre-downturn,0.037824,0.743937,0.025857,0.006771,0.014893,-6.6e-05,-0.000539,0.006552
2007-11,pre-downturn,0.038135,0.733654,0.025523,0.006705,0.014642,-6.5e-05,-0.000494,0.00652
2007-12,pre-downturn,0.038623,0.721351,0.025124,0.006625,0.014343,-6.3e-05,-0.00044,0.006482
2008-01,pre-downturn,0.039309,0.70689,0.024655,0.006531,0.013991,-6e-05,-0.000376,0.006439
2008-02,pre-downturn,0.040209,0.690158,0.024112,0.006422,0.013584,-5.6e-05,-0.000303,0.006391
2008-03,pre-downturn,0.041342,0.671076,0.023492,0.006298,0.013119,-5.2e-05,-0.000218,0.006336
2008-04,pre-downturn,0.042725,0.649612,0.022796,0.006159,0.012597,-4.6e-05,-0.000123,0.006277
2008-05,pre-downturn,0.044376,0.62579,0.022023,0.006005,0.012017,-4e-05,-1.8e-05,0.006212
2008-06,pre-downturn,0.046311,0.5997,0.021176,0.005835,0.011382,-3.2e-05,9.8e-05,0.006142
2008-07,downturn,0.048543,0.571511,0.020261,0.005652,0.010696,-2.3e-05,0.000223,0.006069
2008-08,downturn,0.051085,0.541472,0.019286,0.005457,0.009965,-1.3e-05,0.000357,0.005994
2008-09,downturn,0.053943,0.509919,0.018262,0.005252,0.009197,-1e-06,0.000498,0.005917
2008-10,downturn,0.057123,0.477273,0.017203,0.005041,0.008402,1.1e-05,0.000644,0.00584
2008-11,downturn,0.060623,0.444036,0.016124,0.004825,0.007593,2.5e-05,0.000793,0.005765
2008-12,downturn,0.064434,0.410778,0.015045,0.004609,0.006784,4.1e-05,0.000943,0.005694
2009-01,downturn,0.068539,0.378126,0.013985,0.004397,0.005989,5.7e-05,0.00109,0.005628
2009-02,downturn,0.072911,0.346742,0.012967,0.004193,0.005225,7.4e-05,0.001232,0.005568
2009-03,downturn,0.077508,0.317304,0.012012,0.004002,0.004509,9.3e-05,0.001367,0.005516
2009-04,downturn,0.082273,0.290473,0.011141,0.003828,0.003856,0.000112,0.00149,0.005473
2009-05,downturn,0.087127,0.266877,0.010375,0.003675,0.003281,0.000131,0.001599,0.00544
2009-06,downturn,0.091971,0.247075,0.009732,0.003546,0.002799,0.000151,0.001692,0.005417
2009-07,downturn,0.096677,0.23154,0.009228,0.003446,0.002421,0.000169,0.001766,0.005404
2009-08,downturn,0.101094,0.220634,0.008874,0.003375,0.002156,0.000187,0.00182,0.005401
2009-09,downturn,0.105046,0.214592,0.008678,0.003336,0.002009,0.000203,0.001852,0.005408
2009-10,downturn,0.108347,0.213513,0.008643,0.003329,0.001982,0.000216,0.001862,0.005424
2009-11,downturn,0.110811,0.217358,0.008768,0.003354,0.002076,0.000226,0.001849,0.005447
2009-12,downturn,0.112279,0.225947,0.009047,0.003409,0.002285,0.000232,0.001814,0.005476
2010-01,downturn,0.112636,0.238978,0.00947,0.003494,0.002602,0.000233,0.001758,0.00551
2010-02,downturn,0.111831,0.256035,0.010023,0.003605,0.003017,0.00023,0.001683,0.005548
2010-03,downturn,0.109883,0.27661,0.010691,0.003738,0.003518,0.000222,0.001591,0.005589
2010-04,downturn,0.106884,0.300129,0.011454,0.003891,0.004091,0.00021,0.001485,0.005633
2010-05,downturn,0.102983,0.325978,0.012293,0.004059,0.00472,0.000195,0.001367,0.005679
2010-06,downturn,0.098371,0.353526,0.013187,0.004237,0.00539,0.000176,0.001241,0.005726
2010-07,downturn,0.09326,0.382153,0.014116,0.004423,0.006087,0.000156,0.00111,0.005775
2010-08,downturn,0.087862,0.41127,0.015061,0.004612,0.006796,0.000134,0.000976,0.005824
2010-09,downturn,0.082377,0.440341,0.016004,0.004801,0.007503,0.000112,0.000842,0.005875
2010-10,downturn,0.076973,0.468894,0.016931,0.004986,0.008198,9.1e-05,0.00071,0.005926
2010-11,recovery,0.071761,0.496532,0.017828,0.005166,0.008871,7e-05,0.000582,0.005976
2010-12,recovery,0.066855,0.52294,0.018685,0.005337,0.009514,5e-05,0.000461,0.006026
2011-01,recovery,0.062332,0.547882,0.019494,0.005499,0.010121,3.2e-05,0.000346,0.006074
2011-02,recovery,0.058238,0.5712,0.020251,0.00565,0.010688,1.6e-05,0.000239,0.006121
2011-03,recovery,0.054591,0.592807,0.020952,0.00579,0.011214,1e-06,0.00014,0.006167
2011-04,recovery,0.051391,0.612679,0.021597,0.005919,0.011698,-1.2e-05,4.9e-05,0.00621
2011-05,recovery,0.048624,0.63084,0.022187,0.006037,0.01214,-2.3e-05,-3.3e-05,0.006251
2011-06,recovery,0.046267,0.647359,0.022723,0.006145,0.012542,-3.2e-05,-0.000108,0.006289
2011-07,recovery,0.044291,0.662331,0.023209,0.006242,0.012906,-4e-05,-0.000176,0.006325
2011-08,recovery,0.042663,0.675872,0.023648,0.00633,0.013236,-4.7e-05,-0.000237,0.006359
2011-09,recovery,0.041352,0.688106,0.024045,0.006409,0.013534,-5.2e-05,-0.000292,0.006391
2011-10,recovery,0.040325,0.699162,0.024404,0.006481,0.013803,-5.6e-05,-0.000341,0.00642
2011-11,recovery,0.039552,0.70916,0.024728,0.006546,0.014046,-5.9e-05,-0.000386,0.006448
2011-12,recovery,0.039003,0.718216,0.025022,0.006604,0.014267,-6.1e-05,-0.000426,0.006474
2012-01,recovery,0.038651,0.726429,0.025289,0.006658,0.014467,-6.3e-05,-0.000462,0.006499
2012-02,recovery,0.03847,0.733889,0.025531,0.006706,0.014648,-6.3e-05,-0.000495,0.006522
2012-03,recovery,0.038436,0.740668,0.025751,0.00675,0.014813,-6.3e-05,-0.000524,0.006544
2012-04,recovery,0.038526,0.746823,0.025951,0.00679,0.014963,-6.3e-05,-0.00055,0.006565
2012-05,recovery,0.038719,0.752401,0.026132,0.006826,0.015099,-6.2e-05,-0.000574,0.006584
2012-06,recovery,0.038995,0.757433,0.026295,0.006859,0.015221,-6.1e-05,-0.000596,0.006602
2012-07,recovery,0.039334,0.761942,0.026441,0.006888,0.015331,-6e-05,-0.000615,0.006619
2012-08,recovery,0.039719,0.765942,0.026571,0.006914,0.015428,-5.8e-05,-0.000631,0.006634
2012-09,recovery,0.040132,0.769441,0.026685,0.006937,0.015513,-5.7e-05,-0.000646,0.006648
2012-10,recovery,0.040559,0.77244,0.026782,0.006956,0.015586,-5.5e-05,-0.000658,0.006661
2012-11,recovery,0.040984,0.77494,0.026863,0.006973,0.015647,-5.3e-05,-0.000668,0.006671
2012-12,recovery,0.041394,0.776938,0.026928,0.006986,0.015696,-5.2e-05,-0.000676,0.00668
2013-01,late-cycle,0.041777,0.778431,0.026976,0.006995,0.015732,-5e-05,-0.000682,0.006687
2013-02,late-cycle,0.042121,0.779416,0.027008,0.007002,0.015756,-4.9e-05,-0.000686,0.006692
2013-03,late-cycle,0.042434,0.779894,0.027024,0.007005,0.015768,-4.7e-05,-0.000688,0.006696
2013-04,late-cycle,0.042701,0.779864,0.027023,0.007005,0.015767,-4.6e-05,-0.000687,0.006697
2013-05,late-cycle,0.042911,0.779333,0.027006,0.007001,0.015754,-4.6e-05,-0.000684,0.006696
2013-06,late-cycle,0.043057,0.778305,0.026972,0.006994,0.015729,-4.5e-05,-0.00068,0.006694
2013-07,late-cycle,0.043133,0.776793,0.026923,0.006985,0.015692,-4.5e-05,-0.000673,0.006689
2013-08,late-cycle,0.043138,0.774809,0.026859,0.006972,0.015644,-4.5e-05,-0.000665,0.006683
2013-09,late-cycle,0.043069,0.77237,0.02678,0.006956,0.015585,-4.5e-05,-0.000654,0.006674
2013-10,late-cycle,0.042929,0.769498,0.026686,0.006937,0.015515,-4.6e-05,-0.000642,0.006664
2013-11,late-cycle,0.04272,0.766217,0.02658,0.006916,0.015435,-4.6e-05,-0.000628,0.006652
2013-12,late-cycle,0.042447,0.762553,0.026461,0.006892,0.015346,-4.7e-05,-0.000613,0.006638
