date,phase,u_rate,v_rate,theta,s_rate,f_rate,q_rate,mu_base,composition_index,mu_observed,matches,unemployed,vacancies,next_u_rate,delta_u_next,inflow_component,outflow_component,net_component
2006-01,pre-downturn,0.055,0.039598,0.719971,0.017501,0.372501,0.517383,0.43,0.97999,0.424817,20487.557715,55000.0,39598.418206,0.051051,-0.003949,0.016538,-0.020488,-0.003949
2006-02,pre-downturn,0.051051,0.037032,0.725403,0.017486,0.374705,0.516547,0.431247,0.979985,0.426047,19128.869039,51050.533114,37032.189576,0.048515,-0.002536,0.016593,-0.019129,-0.002536
2006-03,pre-downturn,0.048515,0.035454,0.730781,0.017441,0.376881,0.515724,0.432474,0.979976,0.427257,18284.27091,48514.696316,35453.624147,0.046825,-0.00169,0.016595,-0.018284,-0.00169
2006-04,pre-downturn,0.046825,0.034466,0.736059,0.017367,0.379003,0.514909,0.433663,0.979964,0.428428,17746.82399,46824.965033,34465.91874,0.045632,-0.001193,0.016553,-0.017747,-0.001193
2006-05,pre-downturn,0.045632,0.033821,0.741186,0.017265,0.381045,0.514101,0.434794,0.979946,0.429542,17387.659504,45631.529621,33821.459888,0.044721,-0.00091,0.016477,-0.017388,-0.00091
2006-06,pre-downturn,0.044721,0.033367,0.746114,0.017138,0.382979,0.513298,0.435851,0.97992,0.430579,17127.223202,44721.087993,33367.037833,0.043966,-0.000755,0.016372,-0.017127,-0.000755
2006-07,pre-downturn,0.043966,0.033009,0.750792,0.016989,0.384779,0.512497,0.436816,0.979883,0.431522,16917.089333,43965.741979,33009.117449,0.043291,-0.000675,0.016242,-0.016917,-0.000675
2006-08,pre-downturn,0.043291,0.032692,0.755167,0.016821,0.38642,0.511702,0.437675,0.97983,0.432357,16728.482014,43290.92719,32691.8664,0.042655,-0.000636,0.016093,-0.016728,-0.000636
2006-09,pre-downturn,0.042655,0.032383,0.759185,0.016638,0.387877,0.510913,0.438415,0.979755,0.433067,16545.043172,42655.345233,32383.278603,0.042038,-0.000617,0.015928,-0.016545,-0.000617
2006-10,pre-downturn,0.042038,0.032066,0.762788,0.016444,0.389127,0.510137,0.439023,0.97965,0.43364,16358.281621,42038.442712,32066.419945,0.041433,-0.000606,0.015752,-0.016358,-0.000606
2006-11,pre-downturn,0.041433,0.031734,0.765916,0.016244,0.390145,0.509383,0.43949,0.979506,0.434063,16164.709546,41432.621508,31733.904366,0.040838,-0.000594,0.01557,-0.016165,-0.000594
2006-12,pre-downturn,0.040838,0.031384,0.768502,0.016042,0.390907,0.508662,0.439809,0.979309,0.434326,15964.037339,40838.406926,31384.399551,0.040261,-0.000577,0.015387,-0.015964,-0.000577
2007-01,pre-downturn,0.040261,0.03102,0.770474,0.015845,0.391392,0.507989,0.439975,0.979044,0.434419,15758.029862,40261.460502,31020.402432,0.039711,-0.000551,0.015207,-0.015758,-0.000551
2007-02,pre-downturn,0.039711,0.030647,0.771751,0.015658,0.391576,0.507386,0.439985,0.97869,0.434335,15549.774571,39710.741141,30646.80506,0.039197,-0.000513,0.015036,-0.01555,-0.000513
2007-03,pre-downturn,0.039197,0.03027,0.772244,0.015487,0.391434,0.506879,0.43984,0.978223,0.434067,15343.205023,39197.380227,30269.948833,0.038734,-0.000463,0.01488,-0.015343,-0.000463
2007-04,pre-downturn,0.038734,0.029897,0.771854,0.015337,0.390943,0.506499,0.439541,0.977613,0.43361,15142.781808,38734.000194,29896.976664,0.038334,-0.0004,0.014743,-0.015143,-0.0004
2007-05,pre-downturn,0.038334,0.029535,0.770468,0.015215,0.390075,0.506284,0.439093,0.976825,0.432959,14953.269413,38334.307871,29535.362302,0.038013,-0.000321,0.014632,-0.014953,-0.000321
2007-06,pre-downturn,0.038013,0.029193,0.767965,0.015127,0.388805,0.506279,0.438503,0.975821,0.43211,14779.570089,38012.856732,29192.539199,0.037785,-0.000228,0.014552,-0.01478,-0.000228
2007-07,pre-downturn,0.037785,0.028876,0.764209,0.015078,0.387101,0.506538,0.437781,0.974552,0.431062,14626.589637,37784.910682,28875.578059,0.037666,-0.000119,0.014508,-0.014627,-0.000119
2007-08,pre-downturn,0.037666,0.028591,0.759056,0.015074,0.384935,0.507124,0.436937,0.97297,0.429812,14499.118529,37666.365302,28590.879155,0.037674,7e-06,0.014506,-0.014499,7e-06
2007-09,pre-downturn,0.037674,0.028344,0.752351,0.015122,0.382275,0.508107,0.435985,0.971018,0.428359,14401.717146,37673.69655,28343.857064,0.037824,0.00015,0.014552,-0.014402,0.00015
2007-10,pre-downturn,0.037824,0.028139,0.743937,0.015225,0.379088,0.50957,0.434939,0.968639,0.426703,14338.597582,37823.915282,28138.604731,0.038135,0.000311,0.014649,-0.014339,0.000311
2007-11,pre-downturn,0.038135,0.027978,0.733654,0.015389,0.375342,0.511607,0.433817,0.965773,0.424846,14313.497347,38134.510932,27977.53273,0.038623,0.000489,0.014802,-0.014313,0.000489
2007-12,pre-downturn,0.038623,0.027861,0.721351,0.015618,0.371007,0.514323,0.432634,0.96236,0.422789,14329.543076,38623.370681,27860.989567,0.039309,0.000685,0.015015,-0.01433,0.000685
2008-01,pre-downturn,0.039309,0.027787,0.70689,0.015915,0.366054,0.517838,0.431411,0.958346,0.420538,14389.105256,39308.662206,27786.880646,0.040209,0.0009,0.015289,-0.014389,0.0009
2008-02,pre-downturn,0.040209,0.02775,0.690158,0.016281,0.360461,0.522288,0.430166,0.953684,0.418099,14493.648327,40208.669166,27750.316952,0.041342,0.001133,0.015627,-0.014494,0.001133
2008-03,pre-downturn,0.041342,0.027743,0.671076,0.016718,0.35421,0.527823,0.428918,0.948336,0.415482,14643.584109,41341.56908,27743.339006,0.042725,0.001384,0.016027,-0.014644,0.001384
2008-04,pre-downturn,0.042725,0.027755,0.649612,0.017225,0.347293,0.534616,0.427687,0.942281,0.4127,14838.140388,42725.143387,27754.775641,0.044376,0.001651,0.016489,-0.014838,0.001651
2008-05,pre-downturn,0.044376,0.02777,0.62579,0.0178,0.339713,0.542855,0.426492,0.935514,0.409771,15075.260274,44376.409091,27770.308457,0.046311,0.001935,0.01701,-0.015075,0.001935
2008-06,pre-downturn,0.046311,0.027773,0.5997,0.018438,0.331487,0.552755,0.425352,0.928056,0.406718,15351.551384,46311.16041,27772.818481,0.048543,0.002232,0.017584,-0.015352,0.002232
2008-07,downturn,0.048543,0.027743,0.571511,0.019132,0.322645,0.564548,0.424284,0.91995,0.403567,15662.306691,48543.407138,27743.088437,0.051085,0.002541,0.018204,-0.015662,0.002541
2008-08,downturn,0.051085,0.027661,0.541472,0.019876,0.313237,0.578492,0.423306,0.911271,0.400353,16001.620645,51084.693492,27660.918886,0.053943,0.002859,0.01886,-0.016002,0.002859
2008-09,downturn,0.053943,0.027507,0.509919,0.020657,0.30333,0.59486,0.422432,0.90212,0.397114,16362.624869,53943.276811,27506.686804,0.057123,0.00318,0.019542,-0.016363,0.00318
2008-10,downturn,0.057123,0.027263,0.477273,0.021464,0.293014,0.613933,0.421676,0.892628,0.393896,16737.866859,57123.138928,27263.329842,0.060623,0.0035,0.020238,-0.016738,0.0035
2008-11,downturn,0.060623,0.026919,0.444036,0.022282,0.2824,0.635984,0.42105,0.882955,0.390748,17119.852485,60622.793837,26918.67915,0.064434,0.003811,0.020931,-0.01712,0.003811
2008-12,downturn,0.064434,0.026468,0.410778,0.023095,0.271624,0.661243,0.420564,0.873284,0.387726,17501.767067,64433.843588,26467.991622,0.068539,0.004105,0.021607,-0.017502,0.004105
2009-01,downturn,0.068539,0.025916,0.378126,0.023887,0.260849,0.689847,0.420225,0.863816,0.384888,17878.3775,68539.221449,25916.45457,0.072911,0.004372,0.02225,-0.017878,0.004372
2009-02,downturn,0.072911,0.025281,0.346742,0.024641,0.250265,0.721761,0.420038,0.854767,0.382294,18247.09256,72911.052585,25281.360313,0.077508,0.004597,0.022844,-0.018247,0.004597
2009-03,downturn,0.077508,0.024594,0.317304,0.025337,0.240093,0.756665,0.420007,0.846357,0.380004,18609.108804,77508.069841,24593.585057,0.082273,0.004764,0.023374,-0.018609,0.004764
2009-04,downturn,0.082273,0.023898,0.290473,0.025961,0.230581,0.793811,0.420132,0.8388,0.378078,18970.479263,82272.569727,23897.966462,0.087127,0.004854,0.023825,-0.01897,0.004854
2009-05,downturn,0.087127,0.023252,0.266877,0.026495,0.222007,0.831871,0.420411,0.832301,0.376567,19342.798425,87127.021794,23252.169793,0.091971,0.004844,0.024186,-0.019343,0.004844
2009-06,downturn,0.091971,0.022724,0.247075,0.026926,0.214666,0.86883,0.420839,0.82704,0.375519,19743.012736,91970.706099,22723.679127,0.096677,0.004706,0.024449,-0.019743,0.004706
2009-07,downturn,0.096677,0.022385,0.23154,0.027242,0.208857,0.902033,0.421411,0.823168,0.374972,20191.722634,96677.187922,22384.672668,0.101094,0.004417,0.024609,-0.020192,0.004417
2009-08,downturn,0.101094,0.022305,0.220634,0.027435,0.204853,0.928475,0.422116,0.820798,0.37495,20709.428233,101094.004086,22304.778298,0.105046,0.003952,0.024662,-0.020709,0.003952
2009-09,downturn,0.105046,0.022542,0.214592,0.0275,0.20287,0.945374,0.422945,0.82,0.375467,21310.727216,105046.403451,22542.102082,0.108347,0.0033,0.024611,-0.021311,0.0033
2009-10,downturn,0.108347,0.023133,0.213513,0.027434,0.203029,0.950896,0.423883,0.820798,0.37652,21997.550287,108346.895847,23133.492193,0.110811,0.002464,0.024462,-0.021998,0.002464
