commuting_zone,year,import_exposure,export_exposure,offshoring_exposure,manufacturing_share,service_share,unemployment_rate,nonparticipation_rate,wage_growth,wage_index,baseline_mfg_share
cz-01,2000,0.923,0.3173,0.591,0.3657,0.4579,0.0509,0.1778,0.0129,52.0,0.3641
cz-01,2001,0.923,0.3173,0.591,0.3579,0.4565,0.0485,0.1783,0.0093,51.82,0.3641
cz-01,2002,0.923,0.3173,0.591,0.3495,0.4601,0.0487,0.1806,0.0064,51.67,0.3641
cz-01,2003,0.923,0.3173,0.591,0.3519,0.4622,0.0498,0.1769,0.0113,51.92,0.3641
cz-01,2004,0.923,0.3173,0.591,0.3442,0.4689,0.0506,0.1804,0.0179,52.26,0.3641
cz-01,2005,0.923,0.3173,0.591,0.3435,0.4693,0.0546,0.1805,0.0142,52.07,0.3641
cz-01,2006,0.923,0.3173,0.591,0.341,0.4735,0.049,0.1806,0.0144,52.07,0.3641
cz-01,2007,0.923,0.3173,0.591,0.3337,0.4802,0.0561,0.1808,0.0168,52.2,0.3641
cz-02,2000,1.0522,0.3148,0.6456,0.3822,0.4333,0.0784,0.2245,0.0144,45.7,0.3898
cz-02,2001,1.0522,0.3148,0.6456,0.3808,0.4401,0.077,0.2214,0.0114,45.56,0.3898
cz-02,2002,1.0522,0.3148,0.6456,0.379,0.4441,0.0815,0.226,0.0133,45.65,0.3898
cz-02,2003,1.0522,0.3148,0.6456,0.3658,0.4419,0.082,0.2263,0.0061,45.32,0.3898
cz-02,2004,1.0522,0.3148,0.6456,0.374,0.4467,0.0814,0.2263,0.0135,45.66,0.3898
cz-02,2005,1.0522,0.3148,0.6456,0.36,0.456,0.0829,0.2248,0.0103,45.51,0.3898
cz-02,2006,1.0522,0.3148,0.6456,0.3535,0.453,0.084,0.2256,0.0103,45.51,0.3898
cz-02,2007,1.0522,0.3148,0.6456,0.3581,0.4594,0.0866,0.2276,0.0107,45.53,0.3898
cz-03,2000,0.8182,0.2335,0.4912,0.3256,0.4911,0.0466,0.1717,0.0109,44.6,0.3312
cz-03,2001,0.8182,0.2335,0.4912,0.3165,0.4804,0.0522,0.173,0.0096,44.54,0.3312
cz-03,2002,0.8182,0.2335,0.4912,0.3148,0.4895,0.0507,0.1743,0.0106,44.59,0.3312
cz-03,2003,0.8182,0.2335,0.4912,0.318,0.492,0.0484,0.1755,0.0055,44.36,0.3312
cz-03,2004,0.8182,0.2335,0.4912,0.3084,0.4925,0.0503,0.1725,0.0136,44.72,0.3312
cz-03,2005,0.8182,0.2335,0.4912,0.3146,0.4988,0.0517,0.1769,0.0142,44.74,0.3312
cz-03,2006,0.8182,0.2335,0.4912,0.3026,0.4995,0.0547,0.1735,0.0134,44.71,0.3312
cz-03,2007,0.8182,0.2335,0.4912,0.3024,0.5,0.0503,0.1765,0.0146,44.76,0.3312
cz-04,2000,0.8351,0.2844,0.5243,0.3353,0.4607,0.0522,0.2391,0.0111,55.82,0.3448
cz-04,2001,0.8351,0.2844,0.5243,0.3382,0.472,0.054,0.2391,0.0141,55.99,0.3448
cz-04,2002,0.8351,0.2844,0.5243,0.333,0.4799,0.0572,0.2366,0.0128,55.91,0.3448
cz-04,2003,0.8351,0.2844,0.5243,0.3312,0.477,0.058,0.2372,0.0103,55.77,0.3448
cz-04,2004,0.8351,0.2844,0.5243,0.3202,0.4779,0.0595,0.2358,0.014,55.98,0.3448
cz-04,2005,0.8351,0.2844,0.5243,0.3223,0.4884,0.0581,0.237,0.012,55.87,0.3448
cz-04,2006,0.8351,0.2844,0.5243,0.3209,0.4901,0.0574,0.2384,0.0153,56.05,0.3448
cz-04,2007,0.8351,0.2844,0.5243,0.3226,0.4951,0.0565,0.2404,0.0138,55.97,0.3448
cz-05,2000,0.6764,0.2112,0.4293,0.2872,0.5112,0.0462,0.1922,0.0043,61.59,0.2923
cz-05,2001,0.6764,0.2112,0.4293,0.2832,0.5155,0.0462,0.1874,0.0114,62.03,0.2923
cz-05,2002,0.6764,0.2112,0.4293,0.2793,0.5212,0.0511,0.1916,0.0065,61.73,0.2923
cz-05,2003,0.6764,0.2112,0.4293,0.2785,0.5174,0.0501,0.1953,0.0141,62.2,0.2923
cz-05,2004,0.6764,0.2112,0.4293,0.2844,0.5302,0.0507,0.1906,0.0142,62.2,0.2923
cz-05,2005,0.6764,0.2112,0.4293,0.2679,0.5319,0.0502,0.1957,0.0154,62.27,0.2923
cz-05,2006,0.6764,0.2112,0.4293,0.2631,0.5335,0.0526,0.1967,0.0118,62.05,0.2923
cz-05,2007,0.6764,0.2112,0.4293,0.2642,0.5343,0.0488,0.1911,0.0119,62.06,0.2923
cz-06,2000,1.0497,0.2415,0.6092,0.3673,0.4464,0.0543,0.1588,0.0104,55.17,0.3746
cz-06,2001,1.0497,0.2415,0.6092,0.3666,0.4536,0.0566,0.1642,0.0117,55.24,0.3746
cz-06,2002,1.0497,0.2415,0.6092,0.3614,0.4459,0.0552,0.1659,0.0113,55.21,0.3746
cz-06,2003,1.0497,0.2415,0.6092,0.3611,0.4565,0.0557,0.1675,0.0121,55.26,0.3746
cz-06,2004,1.0497,0.2415,0.6092,0.3603,0.463,0.0574,0.1596,0.0114,55.22,0.3746
cz-06,2005,1.0497,0.2415,0.6092,0.3445,0.4556,0.0616,0.1662,0.0133,55.32,0.3746
cz-06,2006,1.0497,0.2415,0.6092,0.3474,0.4679,0.0607,0.1657,0.0115,55.23,0.3746
cz-06,2007,1.0497,0.2415,0.6092,0.3466,0.4617,0.0625,0.1647,0.0142,55.37,0.3746
cz-07,2000,1.0404,0.2659,0.6357,0.3662,0.4445,0.0565,0.1972,0.0083,62.81,0.3729
cz-07,2001,1.0404,0.2659,0.6357,0.3617,0.4538,0.0594,0.1929,0.0137,63.15,0.3729
