commuting_zone,import_exposure,export_exposure,offshoring_exposure,manufacturing_share_change,service_share,unemployment_rate,nonparticipation_rate,wage_growth
cz-01,0.923,0.3173,0.591,-0.0304,0.4802,0.0561,0.1808,0.0168
cz-02,1.0522,0.3148,0.6456,-0.0317,0.4594,0.0866,0.2276,0.0107
cz-03,0.8182,0.2335,0.4912,-0.0288,0.5,0.0503,0.1765,0.0146
cz-04,0.8351,0.2844,0.5243,-0.0222,0.4951,0.0565,0.2404,0.0138
cz-05,0.6764,0.2112,0.4293,-0.0281,0.5343,0.0488,0.1911,0.0119
cz-06,1.0497,0.2415,0.6092,-0.028,0.4617,0.0625,0.1647,0.0142
cz-07,1.0404,0.2659,0.6357,-0.0326,0.4663,0.0612,0.2023,0.012
cz-08,0.9635,0.2389,0.616,-0.024,0.4944,0.0703,0.18,0.0195
cz-09,1.054,0.3142,0.6831,-0.0278,0.4677,0.0805,0.2335,0.014
cz-10,0.8503,0.2892,0.5189,-0.0217,0.4962,0.0584,0.2406,0.0139
cz-11,0.9387,0.2544,0.5801,-0.0245,0.4864,0.087,0.1927,0.0153
cz-12,0.6354,0.2518,0.4668,-0.0218,0.5373,0.0591,0.1725,0.0186
cz-13,0.9014,0.2348,0.5377,-0.0308,0.4891,0.0788,0.2131,0.0128
cz-14,0.9378,0.3085,0.5807,-0.0257,0.4668,0.0629,0.2396,0.0142
cz-15,0.7649,0.2718,0.5098,-0.0283,0.5087,0.0812,0.2313,0.0077
cz-16,0.8351,0.2663,0.5207,-0.028,0.5019,0.0834,0.2101,0.0086
cz-17,0.9278,0.3023,0.5679,-0.0368,0.4679,0.0524,0.2259,0.0119
cz-18,0.9842,0.2653,0.5905,-0.0377,0.4791,0.0874,0.1702,0.0119
cz-19,0.7428,0.282,0.4707,-0.0216,0.5033,0.0791,0.1912,0.0178
cz-20,0.9329,0.2852,0.5813,-0.0298,0.4819,0.0759,0.1787,0.0133
cz-21,0.6949,0.2005,0.4279,-0.0331,0.5275,0.0773,0.2123,0.0183
cz-22,0.9573,0.3072,0.5974,-0.0322,0.4772,0.0863,0.166,0.0118
cz-23,0.6847,0.2509,0.4173,-0.0196,0.5159,0.0801,0.1715,0.0189
cz-24,0.8186,0.2428,0.5172,-0.0276,0.5053,0.0752,0.1846,0.0178
