region,year,event_time,import_exposure,export_exposure,manufacturing_share,service_share,earnings_index,unemployment_rate
region-01,1991,-3,0.923,0.3173,0.2696,0.45,100.0,0.0585
region-01,1992,-2,0.923,0.3173,0.2696,0.45,100.0,0.0585
region-01,1993,-1,0.923,0.3173,0.2696,0.45,100.0,0.0585
region-01,1994,0,0.923,0.3173,0.2696,0.45,100.0,0.0585
region-01,1995,1,0.923,0.3173,0.2658,0.4544,99.03,0.058
region-01,1996,2,0.923,0.3173,0.2621,0.4588,98.07,0.0604
region-01,1997,3,0.923,0.3173,0.2583,0.4632,97.1,0.0624
region-01,1998,4,0.923,0.3173,0.2545,0.4676,96.14,0.064
region-01,1999,5,0.923,0.3173,0.2507,0.472,95.17,0.0653
region-01,2000,6,0.923,0.3173,0.247,0.4764,94.21,0.0663
region-01,2001,7,0.923,0.3173,0.2432,0.4808,92.89,0.067
region-01,2002,8,0.923,0.3173,0.2394,0.4852,91.58,0.0675
region-02,1991,-3,1.0522,0.3148,0.2683,0.45,100.0,0.059
region-02,1992,-2,1.0522,0.3148,0.2683,0.45,100.0,0.059
region-02,1993,-1,1.0522,0.3148,0.2683,0.45,100.0,0.059
region-02,1994,0,1.0522,0.3148,0.2683,0.45,100.0,0.059
region-02,1995,1,1.0522,0.3148,0.2639,0.455,98.81,0.0584
region-02,1996,2,1.0522,0.3148,0.2596,0.4599,97.63,0.0612
region-02,1997,3,1.0522,0.3148,0.2552,0.4649,96.44,0.0636
region-02,1998,4,1.0522,0.3148,0.2509,0.4699,95.25,0.0655
region-02,1999,5,1.0522,0.3148,0.2465,0.4748,94.07,0.067
region-02,2000,6,1.0522,0.3148,0.2422,0.4798,92.88,0.0681
region-02,2001,7,1.0522,0.3148,0.2378,0.4848,91.34,0.069
region-02,2002,8,1.0522,0.3148,0.2334,0.4897,89.8,0.0696
region-03,1991,-3,0.8182,0.2335,0.2712,0.45,100.0,0.0581
region-03,1992,-2,0.8182,0.2335,0.2712,0.45,100.0,0.0581
region-03,1993,-1,0.8182,0.2335,0.2712,0.45,100.0,0.0581
region-03,1994,0,0.8182,0.2335,0.2712,0.45,100.0,0.0581
region-03,1995,1,0.8182,0.2335,0.2678,0.4538,99.15,0.0577
region-03,1996,2,0.8182,0.2335,0.2644,0.4577,98.29,0.0599
region-03,1997,3,0.8182,0.2335,0.261,0.4615,97.44,0.0617
region-03,1998,4,0.8182,0.2335,0.2576,0.4654,96.58,0.0632
