commuting_zone,import_exposure,export_exposure,offshoring_exposure,manufacturing_share,service_share,unemployment_rate,nonparticipation_rate,manufacturing_share_change,service_share_change,adjustment_type
cz-01,0.923,0.3173,0.591,0.3337,0.4802,0.0561,0.1808,-0.0304,0.0299,reallocation-heavy
cz-02,1.0522,0.3148,0.6456,0.3581,0.4594,0.0866,0.2276,-0.0317,0.0324,distress-heavy
cz-03,0.8182,0.2335,0.4912,0.3024,0.5,0.0503,0.1765,-0.0288,0.0271,reallocation-heavy
cz-04,0.8351,0.2844,0.5243,0.3226,0.4951,0.0565,0.2404,-0.0222,0.0278,reallocation-heavy
cz-05,0.6764,0.2112,0.4293,0.2642,0.5343,0.0488,0.1911,-0.0281,0.0242,reallocation-heavy
cz-06,1.0497,0.2415,0.6092,0.3466,0.4617,0.0625,0.1647,-0.028,0.0318,distress-heavy
cz-07,1.0404,0.2659,0.6357,0.3403,0.4663,0.0612,0.2023,-0.0326,0.0319,reallocation-heavy
cz-08,0.9635,0.2389,0.616,0.3175,0.4944,0.0703,0.18,-0.024,0.0302,distress-heavy
cz-09,1.054,0.3142,0.6831,0.3516,0.4677,0.0805,0.2335,-0.0278,0.0326,distress-heavy
cz-10,0.8503,0.2892,0.5189,0.3333,0.4962,0.0584,0.2406,-0.0217,0.0281,distress-heavy
cz-11,0.9387,0.2544,0.5801,0.3261,0.4864,0.087,0.1927,-0.0245,0.0297,distress-heavy
cz-12,0.6354,0.2518,0.4668,0.261,0.5373,0.0591,0.1725,-0.0218,0.0238,distress-heavy
cz-13,0.9014,0.2348,0.5377,0.3133,0.4891,0.0788,0.2131,-0.0308,0.0288,distress-heavy
cz-14,0.9378,0.3085,0.5807,0.3469,0.4668,0.0629,0.2396,-0.0257,0.0301,distress-heavy
cz-15,0.7649,0.2718,0.5098,0.2939,0.5087,0.0812,0.2313,-0.0283,0.0264,distress-heavy
cz-16,0.8351,0.2663,0.5207,0.3097,0.5019,0.0834,0.2101,-0.028,0.0277,distress-heavy
cz-17,0.9278,0.3023,0.5679,0.3324,0.4679,0.0524,0.2259,-0.0368,0.0298,reallocation-heavy
cz-18,0.9842,0.2653,0.5905,0.329,0.4791,0.0874,0.1702,-0.0377,0.0307,distress-heavy
cz-19,0.7428,0.282,0.4707,0.3074,0.5033,0.0791,0.1912,-0.0216,0.0259,distress-heavy
cz-20,0.9329,0.2852,0.5813,0.3322,0.4819,0.0759,0.1787,-0.0298,0.0298,distress-heavy
cz-21,0.6949,0.2005,0.4279,0.2618,0.5275,0.0773,0.2123,-0.0331,0.0244,distress-heavy
cz-22,0.9573,0.3072,0.5974,0.3389,0.4772,0.0863,0.166,-0.0322,0.0305,distress-heavy
cz-23,0.6847,0.2509,0.4173,0.2956,0.5159,0.0801,0.1715,-0.0196,0.0245,distress-heavy
cz-24,0.8186,0.2428,0.5172,0.3,0.5053,0.0752,0.1846,-0.0276,0.0273,distress-heavy
