worker_id,arm,baseline_participation,program_participation,post_participation,commitment_takeup
con-000,control,0.312,0.312,0.316,0
con-001,control,0.324,0.328,0.325,0
con-002,control,0.336,0.344,0.333,0
con-003,control,0.348,0.36,0.342,0
con-004,control,0.36,0.376,0.35,0
con-005,control,0.372,0.372,0.358,0
con-006,control,0.384,0.388,0.367,0
con-007,control,0.396,0.404,0.375,0
con-008,control,0.408,0.42,0.384,0
con-009,control,0.312,0.328,0.316,0
con-010,control,0.324,0.324,0.325,0
con-011,control,0.336,0.34,0.333,0
con-012,control,0.348,0.356,0.342,0
con-013,control,0.36,0.372,0.35,0
con-014,control,0.372,0.388,0.358,0
con-015,control,0.384,0.384,0.367,0
con-016,control,0.396,0.4,0.375,0
con-017,control,0.408,0.416,0.384,0
con-018,control,0.312,0.324,0.316,0
con-019,control,0.324,0.34,0.325,0
con-020,control,0.336,0.336,0.333,0
con-021,control,0.348,0.352,0.342,0
con-022,control,0.36,0.368,0.35,0
con-023,control,0.372,0.384,0.358,0
con-024,control,0.384,0.4,0.367,0
con-025,control,0.396,0.396,0.375,0
con-026,control,0.408,0.412,0.384,0
con-027,control,0.312,0.32,0.316,0
con-028,control,0.324,0.336,0.325,0
con-029,control,0.336,0.352,0.333,0
con-030,control,0.348,0.348,0.342,0
con-031,control,0.36,0.364,0.35,0
con-032,control,0.372,0.38,0.358,0
con-033,control,0.384,0.396,0.367,0
con-034,control,0.396,0.412,0.375,0
con-035,control,0.408,0.408,0.384,0
con-036,control,0.312,0.316,0.316,0
con-037,control,0.324,0.332,0.325,0
con-038,control,0.336,0.348,0.333,0
con-039,control,0.348,0.364,0.342,0
con-040,control,0.36,0.36,0.35,0
con-041,control,0.372,0.376,0.358,0
con-042,control,0.384,0.392,0.367,0
con-043,control,0.396,0.408,0.375,0
con-044,control,0.408,0.424,0.384,0
con-045,control,0.312,0.312,0.316,0
con-046,control,0.324,0.328,0.325,0
con-047,control,0.336,0.344,0.333,0
con-048,control,0.348,0.36,0.342,0
con-049,control,0.36,0.376,0.35,0
con-050,control,0.372,0.372,0.358,0
con-051,control,0.384,0.388,0.367,0
con-052,control,0.396,0.404,0.375,0
con-053,control,0.408,0.42,0.384,0
con-054,control,0.312,0.328,0.316,0
con-055,control,0.324,0.324,0.325,0
con-056,control,0.336,0.34,0.333,0
con-057,control,0.348,0.356,0.342,0
con-058,control,0.36,0.372,0.35,0
con-059,control,0.372,0.388,0.358,0
con-060,control,0.384,0.384,0.367,0
con-061,control,0.396,0.4,0.375,0
con-062,control,0.408,0.416,0.384,0
con-063,control,0.312,0.324,0.316,0
con-064,control,0.324,0.34,0.325,0
con-065,control,0.336,0.336,0.333,0
con-066,control,0.348,0.352,0.342,0
con-067,control,0.36,0.368,0.35,0
con-068,control,0.372,0.384,0.358,0
con-069,control,0.384,0.4,0.367,0
con-070,control,0.396,0.396,0.375,0
con-071,control,0.408,0.412,0.384,0
con-072,control,0.312,0.32,0.316,0
con-073,control,0.324,0.336,0.325,0
con-074,control,0.336,0.352,0.333,0
con-075,control,0.348,0.348,0.342,0
con-076,control,0.36,0.364,0.35,0
con-077,control,0.372,0.38,0.358,0
con-078,control,0.384,0.396,0.367,0
con-079,control,0.396,0.412,0.375,0
con-080,control,0.408,0.408,0.384,0
con-081,control,0.312,0.316,0.316,0
con-082,control,0.324,0.332,0.325,0
con-083,control,0.336,0.348,0.333,0
con-084,control,0.348,0.364,0.342,0
con-085,control,0.36,0.36,0.35,0
con-086,control,0.372,0.376,0.358,0
con-087,control,0.384,0.392,0.367,0
con-088,control,0.396,0.408,0.375,0
con-089,control,0.408,0.424,0.384,0
inc-000,incentive,0.312,0.492,0.356,0
inc-001,incentive,0.324,0.508,0.365,0
inc-002,incentive,0.336,0.524,0.373,0
inc-003,incentive,0.348,0.54,0.382,0
inc-004,incentive,0.36,0.556,0.39,0
inc-005,incentive,0.372,0.552,0.398,0
inc-006,incentive,0.384,0.568,0.407,0
inc-007,incentive,0.396,0.584,0.415,0
inc-008,incentive,0.408,0.6,0.424,0
inc-009,incentive,0.312,0.508,0.356,0
inc-010,incentive,0.324,0.504,0.365,0
inc-011,incentive,0.336,0.52,0.373,0
inc-012,incentive,0.348,0.536,0.382,0
inc-013,incentive,0.36,0.552,0.39,0
inc-014,incentive,0.372,0.568,0.398,0
inc-015,incentive,0.384,0.564,0.407,0
inc-016,incentive,0.396,0.58,0.415,0
inc-017,incentive,0.408,0.596,0.424,0
inc-018,incentive,0.312,0.504,0.356,0
inc-019,incentive,0.324,0.52,0.365,0
inc-020,incentive,0.336,0.516,0.373,0
inc-021,incentive,0.348,0.532,0.382,0
inc-022,incentive,0.36,0.548,0.39,0
inc-023,incentive,0.372,0.564,0.398,0
inc-024,incentive,0.384,0.58,0.407,0
inc-025,incentive,0.396,0.576,0.415,0
inc-026,incentive,0.408,0.592,0.424,0
inc-027,incentive,0.312,0.5,0.356,0
inc-028,incentive,0.324,0.516,0.365,0
inc-029,incentive,0.336,0.532,0.373,0
inc-030,incentive,0.348,0.528,0.382,0
inc-031,incentive,0.36,0.544,0.39,0
inc-032,incentive,0.372,0.56,0.398,0
inc-033,incentive,0.384,0.576,0.407,0
inc-034,incentive,0.396,0.592,0.415,0
inc-035,incentive,0.408,0.588,0.424,0
inc-036,incentive,0.312,0.496,0.356,0
inc-037,incentive,0.324,0.512,0.365,0
inc-038,incentive,0.336,0.528,0.373,0
inc-039,incentive,0.348,0.544,0.382,0
inc-040,incentive,0.36,0.54,0.39,0
inc-041,incentive,0.372,0.556,0.398,0
inc-042,incentive,0.384,0.572,0.407,0
inc-043,incentive,0.396,0.588,0.415,0
inc-044,incentive,0.408,0.604,0.424,0
inc-045,incentive,0.312,0.492,0.356,0
inc-046,incentive,0.324,0.508,0.365,0
inc-047,incentive,0.336,0.524,0.373,0
inc-048,incentive,0.348,0.54,0.382,0
inc-049,incentive,0.36,0.556,0.39,0
inc-050,incentive,0.372,0.552,0.398,0
inc-051,incentive,0.384,0.568,0.407,0
inc-052,incentive,0.396,0.584,0.415,0
inc-053,incentive,0.408,0.6,0.424,0
inc-054,incentive,0.312,0.508,0.356,0
inc-055,incentive,0.324,0.504,0.365,0
inc-056,incentive,0.336,0.52,0.373,0
inc-057,incentive,0.348,0.536,0.382,0
inc-058,incentive,0.36,0.552,0.39,0
inc-059,incentive,0.372,0.568,0.398,0
inc-060,incentive,0.384,0.564,0.407,0
inc-061,incentive,0.396,0.58,0.415,0
inc-062,incentive,0.408,0.596,0.424,0
inc-063,incentive,0.312,0.504,0.356,0
inc-064,incentive,0.324,0.52,0.365,0
inc-065,incentive,0.336,0.516,0.373,0
inc-066,incentive,0.348,0.532,0.382,0
inc-067,incentive,0.36,0.548,0.39,0
inc-068,incentive,0.372,0.564,0.398,0
inc-069,incentive,0.384,0.58,0.407,0
inc-070,incentive,0.396,0.576,0.415,0
inc-071,incentive,0.408,0.592,0.424,0
inc-072,incentive,0.312,0.5,0.356,0
inc-073,incentive,0.324,0.516,0.365,0
inc-074,incentive,0.336,0.532,0.373,0
inc-075,incentive,0.348,0.528,0.382,0
inc-076,incentive,0.36,0.544,0.39,0
inc-077,incentive,0.372,0.56,0.398,0
inc-078,incentive,0.384,0.576,0.407,0
inc-079,incentive,0.396,0.592,0.415,0
inc-080,incentive,0.408,0.588,0.424,0
inc-081,incentive,0.312,0.496,0.356,0
inc-082,incentive,0.324,0.512,0.365,0
inc-083,incentive,0.336,0.528,0.373,0
inc-084,incentive,0.348,0.544,0.382,0
inc-085,incentive,0.36,0.54,0.39,0
inc-086,incentive,0.372,0.556,0.398,0
inc-087,incentive,0.384,0.572,0.407,0
inc-088,incentive,0.396,0.588,0.415,0
inc-089,incentive,0.408,0.604,0.424,0
com-000,commitment,0.312,0.412,0.406,1
com-001,commitment,0.324,0.428,0.415,1
com-002,commitment,0.336,0.444,0.423,1
com-003,commitment,0.348,0.46,0.432,1
com-004,commitment,0.36,0.476,0.44,1
com-005,commitment,0.372,0.472,0.448,1
com-006,commitment,0.384,0.488,0.457,1
com-007,commitment,0.396,0.504,0.465,1
com-008,commitment,0.408,0.52,0.474,1
com-009,commitment,0.312,0.428,0.406,1
com-010,commitment,0.324,0.424,0.415,1
com-011,commitment,0.336,0.44,0.423,1
com-012,commitment,0.348,0.456,0.432,1
com-013,commitment,0.36,0.472,0.44,1
com-014,commitment,0.372,0.488,0.448,1
