seeker_id,arm,weekly_applications,subjective_job_finding_prob,employed_within_8_weeks
cont-000,control,3.82,0.285,1
cont-001,control,3.9,0.295,1
cont-002,control,3.98,0.305,1
cont-003,control,4.06,0.315,1
cont-004,control,4.14,0.325,1
cont-005,control,4.22,0.335,1
cont-006,control,4.3,0.285,1
cont-007,control,4.38,0.295,1
cont-008,control,3.82,0.305,1
cont-009,control,3.9,0.315,1
cont-010,control,3.98,0.325,1
cont-011,control,4.06,0.335,1
cont-012,control,4.14,0.285,1
cont-013,control,4.22,0.295,1
cont-014,control,4.3,0.305,1
cont-015,control,4.38,0.315,1
cont-016,control,3.82,0.325,1
cont-017,control,3.9,0.335,1
cont-018,control,3.98,0.285,1
cont-019,control,4.06,0.295,1
cont-020,control,4.14,0.305,1
cont-021,control,4.22,0.315,1
cont-022,control,4.3,0.325,0
cont-023,control,4.38,0.335,0
cont-024,control,3.82,0.285,0
cont-025,control,3.9,0.295,0
cont-026,control,3.98,0.305,0
cont-027,control,4.06,0.315,0
cont-028,control,4.14,0.325,0
cont-029,control,4.22,0.335,0
cont-030,control,4.3,0.285,0
cont-031,control,4.38,0.295,0
cont-032,control,3.82,0.305,0
cont-033,control,3.9,0.315,0
cont-034,control,3.98,0.325,0
cont-035,control,4.06,0.335,0
cont-036,control,4.14,0.285,0
cont-037,control,4.22,0.295,0
cont-038,control,4.3,0.305,0
cont-039,control,4.38,0.315,0
cont-040,control,3.82,0.325,0
cont-041,control,3.9,0.335,0
cont-042,control,3.98,0.285,0
cont-043,control,4.06,0.295,0
cont-044,control,4.14,0.305,0
cont-045,control,4.22,0.315,0
cont-046,control,4.3,0.325,0
cont-047,control,4.38,0.335,0
cont-048,control,3.82,0.285,0
cont-049,control,3.9,0.295,0
cont-050,control,3.98,0.305,0
cont-051,control,4.06,0.315,0
cont-052,control,4.14,0.325,0
cont-053,control,4.22,0.335,0
cont-054,control,4.3,0.285,0
cont-055,control,4.38,0.295,0
cont-056,control,3.82,0.305,0
cont-057,control,3.9,0.315,0
cont-058,control,3.98,0.325,0
cont-059,control,4.06,0.335,0
cont-060,control,4.14,0.285,0
cont-061,control,4.22,0.295,0
cont-062,control,4.3,0.305,0
cont-063,control,4.38,0.315,0
cont-064,control,3.82,0.325,0
cont-065,control,3.9,0.335,0
cont-066,control,3.98,0.285,0
cont-067,control,4.06,0.295,0
cont-068,control,4.14,0.305,0
cont-069,control,4.22,0.315,0
cont-070,control,4.3,0.325,0
cont-071,control,4.38,0.335,0
cont-072,control,3.82,0.285,0
cont-073,control,3.9,0.295,0
cont-074,control,3.98,0.305,0
cont-075,control,4.06,0.315,0
cont-076,control,4.14,0.325,0
cont-077,control,4.22,0.335,0
cont-078,control,4.3,0.285,0
cont-079,control,4.38,0.295,0
info-000,information,4.62,0.365,1
info-001,information,4.7,0.375,1
info-002,information,4.78,0.385,1
info-003,information,4.86,0.395,1
