worker_id,day,contract,chose_commitment,high_self_control_type,payday_distance,close_to_payday,target_units,output_units,met_target
worker-000,1,commitment,1,1,0,1,52,59.25,1
worker-000,2,commitment,1,1,1,1,52,58.85,1
worker-000,3,commitment,1,1,2,1,52,58.45,1
worker-000,4,commitment,1,1,3,0,52,58.05,1
worker-000,5,commitment,1,1,4,0,52,57.65,1
worker-000,6,commitment,1,1,5,0,52,57.25,1
worker-000,7,commitment,1,1,6,0,52,56.85,1
worker-000,8,commitment,1,1,7,0,52,56.45,1
worker-000,9,commitment,1,1,8,0,52,56.05,1
worker-000,10,commitment,1,1,9,0,52,55.65,1
worker-001,1,commitment,1,1,1,1,52,59.1,1
worker-001,2,commitment,1,1,2,1,52,58.7,1
worker-001,3,commitment,1,1,3,0,52,58.3,1
worker-001,4,commitment,1,1,4,0,52,57.9,1
worker-001,5,commitment,1,1,5,0,52,57.5,1
worker-001,6,commitment,1,1,6,0,52,57.1,1
worker-001,7,commitment,1,1,7,0,52,56.7,1
worker-001,8,commitment,1,1,8,0,52,56.3,1
worker-001,9,commitment,1,1,9,0,52,55.9,1
worker-001,10,commitment,1,1,0,1,52,63.0,1
worker-002,1,standard,0,0,2,1,52,51.55,0
worker-002,2,standard,0,0,3,0,52,51.15,0
worker-002,3,standard,0,0,4,0,52,50.75,0
worker-002,4,standard,0,0,5,0,52,50.35,0
worker-002,5,standard,0,0,6,0,52,49.95,0
worker-002,6,standard,0,0,7,0,52,49.55,0
worker-002,7,standard,0,0,8,0,52,49.15,0
worker-002,8,standard,0,0,9,0,52,48.75,0
worker-002,9,standard,0,0,0,1,52,55.85,1
worker-002,10,standard,0,0,1,1,52,55.45,1
worker-003,1,standard,0,0,3,0,52,51.4,0
worker-003,2,standard,0,0,4,0,52,51.0,0
worker-003,3,standard,0,0,5,0,52,50.6,0
worker-003,4,standard,0,0,6,0,52,50.2,0
worker-003,5,standard,0,0,7,0,52,49.8,0
worker-003,6,standard,0,0,8,0,52,49.4,0
worker-003,7,standard,0,0,9,0,52,49.0,0
worker-003,8,standard,0,0,0,1,52,56.1,1
worker-003,9,standard,0,0,1,1,52,55.7,1
worker-003,10,standard,0,0,2,1,52,55.3,1
worker-004,1,standard,0,1,4,0,52,54.45,1
worker-004,2,standard,0,1,5,0,52,54.05,1
worker-004,3,standard,0,1,6,0,52,53.65,1
worker-004,4,standard,0,1,7,0,52,53.25,1
worker-004,5,standard,0,1,8,0,52,52.85,1
worker-004,6,standard,0,1,9,0,52,52.45,1
worker-004,7,standard,0,1,0,1,52,59.55,1
worker-004,8,standard,0,1,1,1,52,59.15,1
worker-004,9,standard,0,1,2,1,52,58.75,1
worker-004,10,standard,0,1,3,0,52,58.35,1
worker-005,1,commitment,1,1,5,0,52,58.5,1
worker-005,2,commitment,1,1,6,0,52,58.1,1
worker-005,3,commitment,1,1,7,0,52,57.7,1
worker-005,4,commitment,1,1,8,0,52,57.3,1
worker-005,5,commitment,1,1,9,0,52,56.9,1
worker-005,6,commitment,1,1,0,1,52,64.0,1
worker-005,7,commitment,1,1,1,1,52,63.6,1
worker-005,8,commitment,1,1,2,1,52,63.2,1
worker-005,9,commitment,1,1,3,0,52,62.8,1
worker-005,10,commitment,1,1,4,0,52,62.4,1
worker-006,1,commitment,1,0,6,0,52,55.15,1
worker-006,2,commitment,1,0,7,0,52,54.75,1
worker-006,3,commitment,1,0,8,0,52,54.35,1
worker-006,4,commitment,1,0,9,0,52,53.95,1
worker-006,5,commitment,1,0,0,1,52,61.05,1
worker-006,6,commitment,1,0,1,1,52,60.65,1
worker-006,7,commitment,1,0,2,1,52,60.25,1
worker-006,8,commitment,1,0,3,0,52,59.85,1
worker-006,9,commitment,1,0,4,0,52,59.45,1
worker-006,10,commitment,1,0,5,0,52,59.05,1
worker-007,1,standard,0,0,7,0,52,50.8,0
worker-007,2,standard,0,0,8,0,52,50.4,0
worker-007,3,standard,0,0,9,0,52,50.0,0
worker-007,4,standard,0,0,0,1,52,57.1,1
worker-007,5,standard,0,0,1,1,52,56.7,1
worker-007,6,standard,0,0,2,1,52,56.3,1
worker-007,7,standard,0,0,3,0,52,55.9,1
worker-007,8,standard,0,0,4,0,52,55.5,1
worker-007,9,standard,0,0,5,0,52,55.1,1
worker-007,10,standard,0,0,6,0,52,54.7,1
worker-008,1,standard,0,1,8,0,52,53.85,1
worker-008,2,standard,0,1,9,0,52,53.45,1
worker-008,3,standard,0,1,0,1,52,60.55,1
worker-008,4,standard,0,1,1,1,52,60.15,1
worker-008,5,standard,0,1,2,1,52,59.75,1
worker-008,6,standard,0,1,3,0,52,59.35,1
worker-008,7,standard,0,1,4,0,52,58.95,1
worker-008,8,standard,0,1,5,0,52,58.55,1
worker-008,9,standard,0,1,6,0,52,58.15,1
worker-008,10,standard,0,1,7,0,52,57.75,1
worker-009,1,standard,0,1,9,0,52,53.7,1
worker-009,2,standard,0,1,0,1,52,60.8,1
worker-009,3,standard,0,1,1,1,52,60.4,1
worker-009,4,standard,0,1,2,1,52,60.0,1
worker-009,5,standard,0,1,3,0,52,59.6,1
worker-009,6,standard,0,1,4,0,52,59.2,1
worker-009,7,standard,0,1,5,0,52,58.8,1
worker-009,8,standard,0,1,6,0,52,58.4,1
worker-009,9,standard,0,1,7,0,52,58.0,1
worker-009,10,standard,0,1,8,0,52,57.6,1
worker-010,1,commitment,1,0,0,1,52,56.05,1
worker-010,2,commitment,1,0,1,1,52,55.65,1
worker-010,3,commitment,1,0,2,1,52,55.25,1
worker-010,4,commitment,1,0,3,0,52,54.85,1
worker-010,5,commitment,1,0,4,0,52,54.45,1
worker-010,6,commitment,1,0,5,0,52,54.05,1
worker-010,7,commitment,1,0,6,0,52,53.65,1
worker-010,8,commitment,1,0,7,0,52,53.25,1
worker-010,9,commitment,1,0,8,0,52,52.85,1
worker-010,10,commitment,1,0,9,0,52,52.45,1
worker-011,1,commitment,1,0,1,1,52,55.9,1
worker-011,2,commitment,1,0,2,1,52,55.5,1
worker-011,3,commitment,1,0,3,0,52,55.1,1
worker-011,4,commitment,1,0,4,0,52,54.7,1
worker-011,5,commitment,1,0,5,0,52,54.3,1
worker-011,6,commitment,1,0,6,0,52,53.9,1
worker-011,7,commitment,1,0,7,0,52,53.5,1
worker-011,8,commitment,1,0,8,0,52,53.1,1
worker-011,9,commitment,1,0,9,0,52,52.7,1
worker-011,10,commitment,1,0,0,1,52,59.8,1
worker-012,1,standard,0,1,2,1,52,54.75,1
worker-012,2,standard,0,1,3,0,52,54.35,1
worker-012,3,standard,0,1,4,0,52,53.95,1
worker-012,4,standard,0,1,5,0,52,53.55,1
worker-012,5,standard,0,1,6,0,52,53.15,1
worker-012,6,standard,0,1,7,0,52,52.75,1
worker-012,7,standard,0,1,8,0,52,52.35,1
worker-012,8,standard,0,1,9,0,52,51.95,0
worker-012,9,standard,0,1,0,1,52,59.05,1
worker-012,10,standard,0,1,1,1,52,58.65,1
worker-013,1,standard,0,1,3,0,52,54.6,1
worker-013,2,standard,0,1,4,0,52,54.2,1
worker-013,3,standard,0,1,5,0,52,53.8,1
worker-013,4,standard,0,1,6,0,52,53.4,1
worker-013,5,standard,0,1,7,0,52,53.0,1
worker-013,6,standard,0,1,8,0,52,52.6,1
worker-013,7,standard,0,1,9,0,52,52.2,1
