employee_id,regime,tenure_years,participates,contribution_rate
acti-000,active_choice,1,1,0.041
acti-001,active_choice,2,1,0.046
acti-002,active_choice,3,1,0.051
acti-003,active_choice,4,1,0.056
acti-004,active_choice,5,1,0.061
acti-005,active_choice,6,1,0.066
acti-006,active_choice,1,1,0.047
acti-007,active_choice,2,1,0.052
acti-008,active_choice,3,1,0.057
acti-009,active_choice,4,1,0.053
acti-010,active_choice,5,1,0.058
acti-011,active_choice,6,1,0.063
acti-012,active_choice,1,1,0.044
acti-013,active_choice,2,1,0.049
acti-014,active_choice,3,1,0.054
acti-015,active_choice,4,1,0.059
acti-016,active_choice,5,1,0.064
acti-017,active_choice,6,1,0.069
acti-018,active_choice,1,1,0.041
acti-019,active_choice,2,1,0.046
acti-020,active_choice,3,1,0.051
acti-021,active_choice,4,1,0.056
acti-022,active_choice,5,1,0.061
acti-023,active_choice,6,1,0.066
acti-024,active_choice,1,1,0.047
acti-025,active_choice,2,1,0.052
acti-026,active_choice,3,1,0.057
acti-027,active_choice,4,1,0.053
acti-028,active_choice,5,1,0.058
acti-029,active_choice,6,1,0.063
acti-030,active_choice,1,1,0.044
acti-031,active_choice,2,1,0.049
acti-032,active_choice,3,1,0.054
acti-033,active_choice,4,1,0.059
acti-034,active_choice,5,1,0.064
acti-035,active_choice,6,1,0.069
acti-036,active_choice,1,1,0.041
acti-037,active_choice,2,1,0.046
acti-038,active_choice,3,1,0.051
acti-039,active_choice,4,1,0.056
acti-040,active_choice,5,1,0.061
acti-041,active_choice,6,1,0.066
acti-042,active_choice,1,1,0.047
acti-043,active_choice,2,1,0.052
acti-044,active_choice,3,1,0.057
acti-045,active_choice,4,1,0.053
acti-046,active_choice,5,1,0.058
acti-047,active_choice,6,1,0.063
acti-048,active_choice,1,1,0.044
acti-049,active_choice,2,1,0.049
acti-050,active_choice,3,1,0.054
acti-051,active_choice,4,1,0.059
acti-052,active_choice,5,1,0.064
acti-053,active_choice,6,1,0.069
acti-054,active_choice,1,1,0.041
acti-055,active_choice,2,1,0.046
acti-056,active_choice,3,1,0.051
acti-057,active_choice,4,0,0.0
acti-058,active_choice,5,0,0.0
acti-059,active_choice,6,0,0.0
acti-060,active_choice,1,0,0.0
acti-061,active_choice,2,0,0.0
acti-062,active_choice,3,0,0.0
acti-063,active_choice,4,0,0.0
acti-064,active_choice,5,0,0.0
acti-065,active_choice,6,0,0.0
acti-066,active_choice,1,0,0.0
acti-067,active_choice,2,0,0.0
acti-068,active_choice,3,0,0.0
acti-069,active_choice,4,0,0.0
acti-070,active_choice,5,0,0.0
acti-071,active_choice,6,0,0.0
acti-072,active_choice,1,0,0.0
acti-073,active_choice,2,0,0.0
acti-074,active_choice,3,0,0.0
acti-075,active_choice,4,0,0.0
acti-076,active_choice,5,0,0.0
acti-077,active_choice,6,0,0.0
acti-078,active_choice,1,0,0.0
acti-079,active_choice,2,0,0.0
acti-080,active_choice,3,0,0.0
acti-081,active_choice,4,0,0.0
acti-082,active_choice,5,0,0.0
acti-083,active_choice,6,0,0.0
acti-084,active_choice,1,0,0.0
acti-085,active_choice,2,0,0.0
acti-086,active_choice,3,0,0.0
acti-087,active_choice,4,0,0.0
acti-088,active_choice,5,0,0.0
acti-089,active_choice,6,0,0.0
acti-090,active_choice,1,0,0.0
acti-091,active_choice,2,0,0.0
acti-092,active_choice,3,0,0.0
acti-093,active_choice,4,0,0.0
acti-094,active_choice,5,0,0.0
acti-095,active_choice,6,0,0.0
acti-096,active_choice,1,0,0.0
acti-097,active_choice,2,0,0.0
acti-098,active_choice,3,0,0.0
acti-099,active_choice,4,0,0.0
acti-100,active_choice,5,0,0.0
acti-101,active_choice,6,0,0.0
acti-102,active_choice,1,0,0.0
acti-103,active_choice,2,0,0.0
acti-104,active_choice,3,0,0.0
acti-105,active_choice,4,0,0.0
acti-106,active_choice,5,0,0.0
acti-107,active_choice,6,0,0.0
acti-108,active_choice,1,0,0.0
acti-109,active_choice,2,0,0.0
acti-110,active_choice,3,0,0.0
acti-111,active_choice,4,0,0.0
acti-112,active_choice,5,0,0.0
acti-113,active_choice,6,0,0.0
acti-114,active_choice,1,0,0.0
acti-115,active_choice,2,0,0.0
acti-116,active_choice,3,0,0.0
acti-117,active_choice,4,0,0.0
acti-118,active_choice,5,0,0.0
acti-119,active_choice,6,0,0.0
auto-000,auto_enrollment,1,1,0.06
auto-001,auto_enrollment,2,1,0.065
auto-002,auto_enrollment,3,1,0.07
auto-003,auto_enrollment,4,1,0.075
auto-004,auto_enrollment,5,1,0.08
auto-005,auto_enrollment,6,1,0.085
