seeker_id,duration_week,high_prospect_type,optimism_type,model_predicted_prob_4wk,subjective_job_find_prob_4wk,realized_exit_next_4wk,applications_last_week,reservation_wage
seeker-000,1,1,1,0.328,0.414,1,9,22.3
seeker-000,4,1,1,0.283,0.357,0,7,21.74
seeker-000,8,1,1,0.223,0.281,0,5,21.01
seeker-000,12,1,1,0.163,0.205,0,4,20.27
seeker-001,1,1,0,0.332,0.368,0,9,22.04
seeker-001,4,1,0,0.287,0.311,0,8,21.49
seeker-001,8,1,0,0.227,0.235,0,6,20.75
seeker-001,12,1,0,0.167,0.159,0,4,20.01
seeker-002,1,0,0,0.196,0.232,0,9,19.7
seeker-002,4,0,0,0.151,0.175,0,7,19.14
seeker-002,8,0,0,0.091,0.099,0,5,18.4
seeker-002,12,0,0,0.04,0.032,0,4,17.72
seeker-003,1,0,0,0.2,0.236,0,7,19.72
seeker-003,4,0,0,0.155,0.179,0,5,19.16
seeker-003,8,0,0,0.095,0.103,0,4,18.43
seeker-003,12,0,0,0.04,0.032,0,2,17.72
seeker-004,1,0,1,0.204,0.29,0,8,20.02
seeker-004,4,0,1,0.159,0.233,0,7,19.46
seeker-004,8,0,1,0.099,0.157,0,5,18.72
seeker-004,12,0,1,0.04,0.082,0,3,17.99
seeker-005,1,1,0,0.348,0.384,0,10,22.13
seeker-005,4,1,0,0.303,0.327,1,9,21.58
seeker-005,8,1,0,0.243,0.251,0,7,20.84
seeker-005,12,1,0,0.183,0.175,1,5,20.1
seeker-006,1,1,0,0.352,0.388,1,8,22.15
seeker-006,4,1,0,0.307,0.331,0,7,21.6
seeker-006,8,1,0,0.247,0.255,1,5,20.86
seeker-006,12,1,0,0.187,0.179,0,3,20.12
seeker-007,1,0,0,0.216,0.252,0,8,19.81
seeker-007,4,0,0,0.171,0.195,1,6,19.25
seeker-007,8,0,0,0.111,0.119,0,5,18.51
seeker-007,12,0,0,0.051,0.043,0,3,17.78
seeker-008,1,0,1,0.22,0.306,1,10,20.1
seeker-008,4,0,1,0.175,0.249,0,8,19.55
seeker-008,8,0,1,0.115,0.173,0,6,18.81
seeker-008,12,0,1,0.055,0.097,0,4,18.07
seeker-009,1,0,0,0.224,0.26,0,7,19.85
seeker-009,4,0,0,0.179,0.203,0,6,19.3
seeker-009,8,0,0,0.119,0.127,0,4,18.56
seeker-009,12,0,0,0.059,0.051,0,2,17.82
seeker-010,1,1,0,0.368,0.404,0,10,22.24
seeker-010,4,1,0,0.323,0.347,1,8,21.69
seeker-010,8,1,0,0.263,0.271,0,6,20.95
seeker-010,12,1,0,0.203,0.195,1,4,20.21
seeker-011,1,1,0,0.372,0.408,1,11,22.26
seeker-011,4,1,0,0.327,0.351,0,9,21.71
seeker-011,8,1,0,0.267,0.275,0,7,20.97
seeker-011,12,1,0,0.207,0.199,0,5,20.23
seeker-012,1,0,1,0.188,0.274,0,7,19.93
seeker-012,4,0,1,0.143,0.217,0,6,19.37
seeker-012,8,0,1,0.083,0.141,0,4,18.64
seeker-012,12,0,1,0.04,0.082,0,2,17.99
seeker-013,1,0,0,0.192,0.228,0,8,19.67
seeker-013,4,0,0,0.147,0.171,0,6,19.12
seeker-013,8,0,0,0.087,0.095,0,4,18.38
seeker-013,12,0,0,0.04,0.032,0,3,17.72
seeker-014,1,0,0,0.196,0.232,0,9,19.7
seeker-014,4,0,0,0.151,0.175,0,7,19.14
seeker-014,8,0,0,0.091,0.099,1,5,18.4
seeker-014,12,0,0,0.04,0.032,0,4,17.72
seeker-015,1,1,0,0.34,0.376,0,8,22.09
seeker-015,4,1,0,0.295,0.319,0,7,21.53
seeker-015,8,1,0,0.235,0.243,0,5,20.8
seeker-015,12,1,0,0.175,0.167,0,3,20.06
seeker-016,1,1,1,0.344,0.43,1,10,22.39
seeker-016,4,1,1,0.299,0.373,0,8,21.83
seeker-016,8,1,1,0.239,0.297,0,6,21.09
seeker-016,12,1,1,0.179,0.221,0,5,20.36
seeker-017,1,0,0,0.208,0.244,0,9,19.76
seeker-017,4,0,0,0.163,0.187,0,7,19.21
seeker-017,8,0,0,0.103,0.111,0,6,18.47
seeker-017,12,0,0,0.043,0.035,0,4,17.73
seeker-018,1,0,0,0.212,0.248,0,7,19.78
seeker-018,4,0,0,0.167,0.191,1,5,19.23
seeker-018,8,0,0,0.107,0.115,0,4,18.49
seeker-018,12,0,0,0.047,0.039,0,2,17.75
seeker-019,1,0,0,0.216,0.252,1,8,19.81
seeker-019,4,0,0,0.171,0.195,0,6,19.25
seeker-019,8,0,0,0.111,0.119,0,5,18.51
seeker-019,12,0,0,0.051,0.043,0,3,17.78
seeker-020,1,1,1,0.36,0.446,0,11,22.47
seeker-020,4,1,1,0.315,0.389,0,9,21.92
seeker-020,8,1,1,0.255,0.313,0,8,21.18
seeker-020,12,1,1,0.195,0.237,0,6,20.44
seeker-021,1,1,0,0.364,0.4,0,8,22.22
seeker-021,4,1,0,0.319,0.343,1,7,21.67
seeker-021,8,1,0,0.259,0.267,0,5,20.93
seeker-021,12,1,0,0.199,0.191,1,3,20.19
seeker-022,1,0,0,0.228,0.264,0,8,19.87
seeker-022,4,0,0,0.183,0.207,0,7,19.32
seeker-022,8,0,0,0.123,0.131,1,5,18.58
seeker-022,12,0,0,0.063,0.055,0,3,17.84
seeker-023,1,0,0,0.232,0.268,0,9,19.89
seeker-023,4,0,0,0.187,0.211,0,8,19.34
seeker-023,8,0,0,0.127,0.135,0,6,18.6
seeker-023,12,0,0,0.067,0.059,0,4,17.86
seeker-024,1,0,1,0.188,0.274,0,7,19.93
seeker-024,4,0,1,0.143,0.217,0,6,19.37
seeker-024,8,0,1,0.083,0.141,0,4,18.64
seeker-024,12,0,1,0.04,0.082,0,2,17.99
seeker-025,1,1,0,0.332,0.368,0,9,22.04
seeker-025,4,1,0,0.287,0.311,0,8,21.49
seeker-025,8,1,0,0.227,0.235,1,6,20.75
seeker-025,12,1,0,0.167,0.159,0,4,20.01
seeker-026,1,1,0,0.336,0.372,0,10,22.07
seeker-026,4,1,0,0.291,0.315,1,9,21.51
seeker-026,8,1,0,0.231,0.239,0,7,20.77
seeker-026,12,1,0,0.171,0.163,0,5,20.04
seeker-027,1,0,0,0.2,0.236,1,7,19.72
seeker-027,4,0,0,0.155,0.179,0,5,19.16
seeker-027,8,0,0,0.095,0.103,0,4,18.43
seeker-027,12,0,0,0.04,0.032,0,2,17.72
seeker-028,1,0,1,0.204,0.29,0,8,20.02
seeker-028,4,0,1,0.159,0.233,0,7,19.46
seeker-028,8,0,1,0.099,0.157,0,5,18.72
seeker-028,12,0,1,0.04,0.082,0,3,17.99
seeker-029,1,0,0,0.208,0.244,0,9,19.76
seeker-029,4,0,0,0.163,0.187,1,7,19.21
seeker-029,8,0,0,0.103,0.111,0,6,18.47
seeker-029,12,0,0,0.043,0.035,1,4,17.73
seeker-030,1,1,0,0.352,0.388,1,8,22.15
seeker-030,4,1,0,0.307,0.331,0,7,21.6
seeker-030,8,1,0,0.247,0.255,0,5,20.86
seeker-030,12,1,0,0.187,0.179,0,3,20.12
seeker-031,1,1,0,0.356,0.392,0,9,22.18
seeker-031,4,1,0,0.311,0.335,0,8,21.62
seeker-031,8,1,0,0.251,0.259,0,6,20.88
seeker-031,12,1,0,0.191,0.183,0,4,20.15
seeker-032,1,0,1,0.22,0.306,0,10,20.1
seeker-032,4,0,1,0.175,0.249,0,8,19.55
seeker-032,8,0,1,0.115,0.173,0,6,18.81
seeker-032,12,0,1,0.055,0.097,0,4,18.07
seeker-033,1,0,0,0.224,0.26,0,7,19.85
seeker-033,4,0,0,0.179,0.203,0,6,19.3
seeker-033,8,0,0,0.119,0.127,1,4,18.56
seeker-033,12,0,0,0.059,0.051,0,2,17.82
seeker-034,1,0,0,0.228,0.264,0,8,19.87
seeker-034,4,0,0,0.183,0.207,1,7,19.32
seeker-034,8,0,0,0.123,0.131,0,5,18.58
seeker-034,12,0,0,0.063,0.055,0,3,17.84
seeker-035,1,1,0,0.372,0.408,1,11,22.26
seeker-035,4,1,0,0.327,0.351,0,9,21.71
seeker-035,8,1,0,0.267,0.275,0,7,20.97
seeker-035,12,1,0,0.207,0.199,0,5,20.23
seeker-036,1,1,1,0.328,0.414,0,9,22.3
seeker-036,4,1,1,0.283,0.357,0,7,21.74
seeker-036,8,1,1,0.223,0.281,1,5,21.01
seeker-036,12,1,1,0.163,0.205,0,4,20.27
seeker-037,1,0,0,0.192,0.228,0,8,19.67
seeker-037,4,0,0,0.147,0.171,1,6,19.12
seeker-037,8,0,0,0.087,0.095,0,4,18.38
seeker-037,12,0,0,0.04,0.032,1,3,17.72
seeker-038,1,0,0,0.196,0.232,1,9,19.7
seeker-038,4,0,0,0.151,0.175,0,7,19.14
seeker-038,8,0,0,0.091,0.099,0,5,18.4
seeker-038,12,0,0,0.04,0.032,0,4,17.72
seeker-039,1,0,0,0.2,0.236,0,7,19.72
seeker-039,4,0,0,0.155,0.179,0,5,19.16
seeker-039,8,0,0,0.095,0.103,0,4,18.43
seeker-039,12,0,0,0.04,0.032,0,2,17.72
seeker-040,1,1,1,0.344,0.43,0,10,22.39
seeker-040,4,1,1,0.299,0.373,1,8,21.83
seeker-040,8,1,1,0.239,0.297,0,6,21.09
seeker-040,12,1,1,0.179,0.221,1,5,20.36
seeker-041,1,1,0,0.348,0.384,1,10,22.13
seeker-041,4,1,0,0.303,0.327,0,9,21.58
seeker-041,8,1,0,0.243,0.251,1,7,20.84
seeker-041,12,1,0,0.183,0.175,0,5,20.1
seeker-042,1,0,0,0.212,0.248,0,7,19.78
seeker-042,4,0,0,0.167,0.191,0,5,19.23
seeker-042,8,0,0,0.107,0.115,0,4,18.49
seeker-042,12,0,0,0.047,0.039,0,2,17.75
seeker-043,1,0,0,0.216,0.252,1,8,19.81
seeker-043,4,0,0,0.171,0.195,0,6,19.25
seeker-043,8,0,0,0.111,0.119,0,5,18.51
seeker-043,12,0,0,0.051,0.043,0,3,17.78
seeker-044,1,0,1,0.22,0.306,0,10,20.1
seeker-044,4,0,1,0.175,0.249,0,8,19.55
seeker-044,8,0,1,0.115,0.173,0,6,18.81
seeker-044,12,0,1,0.055,0.097,0,4,18.07
seeker-045,1,1,0,0.364,0.4,0,8,22.22
seeker-045,4,1,0,0.319,0.343,1,7,21.67
seeker-045,8,1,0,0.259,0.267,0,5,20.93
seeker-045,12,1,0,0.199,0.191,0,3,20.19
seeker-046,1,1,0,0.368,0.404,1,10,22.24
seeker-046,4,1,0,0.323,0.347,0,8,21.69
seeker-046,8,1,0,0.263,0.271,0,6,20.95
seeker-046,12,1,0,0.203,0.195,0,4,20.21
seeker-047,1,0,0,0.232,0.268,0,9,19.89
seeker-047,4,0,0,0.187,0.211,0,8,19.34
seeker-047,8,0,0,0.127,0.135,0,6,18.6
seeker-047,12,0,0,0.067,0.059,0,4,17.86
seeker-048,1,0,1,0.188,0.274,0,7,19.93
seeker-048,4,0,1,0.143,0.217,0,6,19.37
seeker-048,8,0,1,0.083,0.141,0,4,18.64
seeker-048,12,0,1,0.04,0.082,0,2,17.99
seeker-049,1,0,0,0.192,0.228,0,8,19.67
seeker-049,4,0,0,0.147,0.171,0,6,19.12
seeker-049,8,0,0,0.087,0.095,1,4,18.38
seeker-049,12,0,0,0.04,0.032,0,3,17.72
seeker-050,1,1,0,0.336,0.372,0,10,22.07
seeker-050,4,1,0,0.291,0.315,0,9,21.51
seeker-050,8,1,0,0.231,0.239,0,7,20.77
seeker-050,12,1,0,0.171,0.163,0,5,20.04
seeker-051,1,1,0,0.34,0.376,0,8,22.09
seeker-051,4,1,0,0.295,0.319,0,7,21.53
seeker-051,8,1,0,0.235,0.243,0,5,20.8
seeker-051,12,1,0,0.175,0.167,0,3,20.06
seeker-052,1,0,1,0.204,0.29,0,8,20.02
