worker_id,certified,true_skill_score,prior_self_belief,posterior_self_belief,targets_high_skill_vacancies,firm_signal_score,hired
worker-000,1,45.0,36.6,40.38,0,45.0,0
worker-001,0,47.4,41.1,41.1,0,22.81,0
worker-002,1,49.8,45.6,47.49,0,49.8,0
worker-003,0,52.2,50.1,50.1,0,29.93,0
worker-004,1,54.6,54.6,54.6,0,54.6,0
worker-005,0,57.0,59.1,59.1,0,37.05,0
worker-006,1,59.4,63.6,61.71,0,59.4,0
worker-007,0,56.2,62.5,62.5,0,40.53,0
worker-008,1,58.6,67.0,63.22,0,58.6,0
worker-009,0,61.0,52.6,52.6,0,47.65,0
worker-010,1,63.4,57.1,59.94,0,63.4,0
worker-011,0,65.8,61.6,61.6,0,32.77,0
worker-012,1,68.2,66.1,67.05,1,68.2,1
worker-013,0,70.6,70.6,70.6,1,39.89,0
worker-014,1,67.4,69.5,68.56,1,67.4,1
worker-015,0,69.8,74.0,74.0,1,43.37,0
worker-016,1,72.2,78.5,75.66,1,72.2,1
worker-017,0,74.6,83.0,83.0,1,50.49,0
worker-018,1,77.0,68.6,72.38,1,77.0,1
worker-019,0,79.4,73.1,73.1,1,57.61,0
worker-020,1,81.8,77.6,79.49,1,81.8,1
worker-021,0,78.6,76.5,76.5,1,61.09,1
worker-022,1,81.0,81.0,81.0,1,81.0,1
worker-023,0,83.4,85.5,85.5,1,46.21,0
worker-024,1,85.8,90.0,88.11,1,85.8,1
worker-025,0,88.2,94.5,94.5,1,53.33,0
worker-026,1,90.6,99.0,95.22,1,90.6,1
worker-027,0,93.0,84.6,84.6,1,60.45,1
worker-028,1,89.8,83.5,86.34,1,89.8,1
worker-029,0,92.2,88.0,88.0,1,63.93,1
worker-030,1,46.6,44.5,45.45,0,46.6,0
worker-031,0,49.0,49.0,49.0,0,39.85,0
worker-032,1,51.4,53.5,52.56,0,51.4,0
worker-033,0,53.8,58.0,58.0,0,24.97,0
worker-034,1,56.2,62.5,59.67,0,56.2,0
worker-035,0,53.0,61.4,61.4,0,28.45,0
worker-036,1,55.4,47.0,50.78,0,55.4,0
worker-037,0,57.8,51.5,51.5,0,35.57,0
worker-038,1,60.2,56.0,57.89,0,60.2,0
worker-039,0,62.6,60.5,60.5,0,42.69,0
worker-040,1,65.0,65.0,65.0,0,65.0,0
worker-041,0,67.4,69.5,69.5,1,49.81,0
worker-042,1,64.2,68.4,66.51,1,64.2,0
worker-043,0,66.6,72.9,72.9,1,53.29,0
worker-044,1,69.0,77.4,73.62,1,69.0,1
worker-045,0,71.4,63.0,63.0,0,38.41,0
worker-046,1,73.8,67.5,70.34,1,73.8,1
worker-047,0,76.2,72.0,72.0,1,45.53,0
worker-048,1,78.6,76.5,77.44,1,78.6,1
worker-049,0,75.4,75.4,75.4,1,49.01,0
worker-050,1,77.8,79.9,78.95,1,77.8,1
worker-051,0,80.2,84.4,84.4,1,56.13,0
worker-052,1,82.6,88.9,86.07,1,82.6,1
worker-053,0,85.0,93.4,93.4,1,63.25,1
worker-054,1,87.4,79.0,82.78,1,87.4,1
worker-055,0,89.8,83.5,83.5,1,48.37,0
worker-056,1,86.6,82.4,84.29,1,86.6,1
worker-057,0,89.0,86.9,86.9,1,51.85,0
worker-058,1,91.4,91.4,91.4,1,91.4,1
worker-059,0,93.8,95.9,95.9,1,58.97,1
worker-060,1,48.2,52.4,50.51,0,48.2,0
worker-061,0,50.6,56.9,56.9,0,34.89,0
worker-062,1,53.0,61.4,57.62,0,53.0,0
worker-063,0,49.8,41.4,41.4,0,38.37,0
worker-064,1,52.2,45.9,48.73,0,52.2,0
worker-065,0,54.6,50.4,50.4,0,45.49,0
worker-066,1,57.0,54.9,55.84,0,57.0,0
worker-067,0,59.4,59.4,59.4,0,30.61,0
worker-068,1,61.8,63.9,62.95,0,61.8,0
worker-069,0,64.2,68.4,68.4,1,37.73,0
worker-070,1,61.0,67.3,64.47,0,61.0,0
worker-071,0,63.4,71.8,71.8,1,41.21,0
worker-072,1,65.8,57.4,61.18,0,65.8,0
worker-073,0,68.2,61.9,61.9,0,48.33,0
worker-074,1,70.6,66.4,68.29,1,70.6,1
worker-075,0,73.0,70.9,70.9,1,55.45,0
worker-076,1,75.4,75.4,75.4,1,75.4,1
worker-077,0,72.2,74.3,74.3,1,36.93,0
worker-078,1,74.6,78.8,76.91,1,74.6,1
worker-079,0,77.0,83.3,83.3,1,44.05,0
worker-080,1,79.4,87.8,84.02,1,79.4,1
worker-081,0,81.8,73.4,73.4,1,51.17,0
worker-082,1,84.2,77.9,80.74,1,84.2,1
worker-083,0,86.6,82.4,82.4,1,58.29,1
worker-084,1,83.4,81.3,82.25,1,83.4,1
worker-085,0,85.8,85.8,85.8,1,61.77,1
worker-086,1,88.2,90.3,89.35,1,88.2,1
worker-087,0,90.6,94.8,94.8,1,68.89,1
worker-088,1,93.0,99.3,96.47,1,93.0,1
worker-089,0,95.4,103.8,103.8,1,54.01,1
worker-090,1,49.8,41.4,45.18,0,49.8,0
worker-091,0,46.6,40.3,40.3,0,26.29,0
worker-092,1,49.0,44.8,46.69,0,49.0,0
worker-093,0,51.4,49.3,49.3,0,33.41,0
worker-094,1,53.8,53.8,53.8,0,53.8,0
worker-095,0,56.2,58.3,58.3,0,40.53,0
worker-096,1,58.6,62.8,60.91,0,58.6,0
worker-097,0,61.0,67.3,67.3,1,47.65,0
worker-098,1,57.8,66.2,62.42,0,57.8,0
worker-099,0,60.2,51.8,51.8,0,29.13,0
worker-100,1,62.6,56.3,59.14,0,62.6,0
worker-101,0,65.0,60.8,60.8,0,36.25,0
worker-102,1,67.4,65.3,66.25,1,67.4,1
worker-103,0,69.8,69.8,69.8,1,43.37,0
worker-104,1,72.2,74.3,73.36,1,72.2,1
worker-105,0,69.0,73.2,73.2,1,46.85,0
worker-106,1,71.4,77.7,74.86,1,71.4,1
worker-107,0,73.8,82.2,82.2,1,53.97,0
worker-108,1,76.2,67.8,71.58,1,76.2,1
worker-109,0,78.6,72.3,72.3,1,61.09,1
worker-110,1,81.0,76.8,78.69,1,81.0,1
worker-111,0,83.4,81.3,81.3,1,46.21,0
worker-112,1,80.2,80.2,80.2,1,80.2,1
worker-113,0,82.6,84.7,84.7,1,49.69,0
worker-114,1,85.0,89.2,87.31,1,85.0,1
worker-115,0,87.4,93.7,93.7,1,56.81,1
worker-116,1,89.8,98.2,94.42,1,89.8,1
worker-117,0,92.2,83.8,83.8,1,63.93,1
worker-118,1,94.6,88.3,91.14,1,94.6,1
worker-119,0,91.4,87.2,87.2,1,67.41,1
worker-120,1,45.8,43.7,44.64,0,45.8,0
worker-121,0,48.2,48.2,48.2,0,21.33,0
worker-122,1,50.6,52.7,51.76,0,50.6,0
worker-123,0,53.0,57.2,57.2,0,28.45,0
worker-124,1,55.4,61.7,58.87,0,55.4,0
worker-125,0,57.8,66.2,66.2,1,35.57,0
worker-126,1,54.6,46.2,49.98,0,54.6,0
worker-127,0,57.0,50.7,50.7,0,39.05,0
worker-128,1,59.4,55.2,57.09,0,59.4,0
worker-129,0,61.8,59.7,59.7,0,46.17,0
worker-130,1,64.2,64.2,64.2,0,64.2,0
worker-131,0,66.6,68.7,68.7,1,53.29,0
worker-132,1,69.0,73.2,71.31,1,69.0,1
worker-133,0,65.8,72.1,72.1,1,34.77,0
worker-134,1,68.2,76.6,72.82,1,68.2,1
worker-135,0,70.6,62.2,62.2,0,41.89,0
worker-136,1,73.0,66.7,69.53,1,73.0,1
worker-137,0,75.4,71.2,71.2,1,49.01,0
worker-138,1,77.8,75.7,76.65,1,77.8,1
worker-139,0,80.2,80.2,80.2,1,56.13,0
worker-140,1,77.0,79.1,78.16,1,77.0,1
worker-141,0,79.4,83.6,83.6,1,59.61,1
worker-142,1,81.8,88.1,85.27,1,81.8,1
worker-143,0,84.2,92.6,92.6,1,44.73,0
worker-144,1,86.6,78.2,81.98,1,86.6,1
worker-145,0,89.0,82.7,82.7,1,51.85,0
worker-146,1,91.4,87.2,89.09,1,91.4,1
worker-147,0,88.2,86.1,86.1,1,55.33,1
worker-148,1,90.6,90.6,90.6,1,90.6,1
worker-149,0,93.0,95.1,95.1,1,62.45,1
worker-150,1,47.4,51.6,49.71,0,47.4,0
worker-151,0,49.8,56.1,56.1,0,38.37,0
worker-152,1,52.2,60.6,56.82,0,52.2,0
