seeker_id,posted_wage,confidence_index,perceived_competition,application_index,applied
seeker-000,18,0.35,0.478,0.962,0
seeker-000,24,0.35,0.61,1.31,0
seeker-000,30,0.35,0.742,1.658,1
seeker-001,18,0.45,0.45,1.02,0
seeker-001,24,0.45,0.582,1.368,1
seeker-001,30,0.45,0.714,1.716,1
seeker-002,18,0.55,0.422,1.078,0
seeker-002,24,0.55,0.554,1.426,1
seeker-002,30,0.55,0.686,1.774,1
seeker-003,18,0.65,0.394,1.136,0
seeker-003,24,0.65,0.526,1.484,1
seeker-003,30,0.65,0.658,1.832,1
seeker-004,18,0.75,0.366,1.074,0
seeker-004,24,0.75,0.498,1.422,1
seeker-004,30,0.75,0.63,1.77,1
seeker-005,18,0.35,0.478,0.992,0
seeker-005,24,0.35,0.61,1.34,0
seeker-005,30,0.35,0.742,1.688,1
seeker-006,18,0.45,0.45,1.05,0
seeker-006,24,0.45,0.582,1.398,1
seeker-006,30,0.45,0.714,1.746,1
seeker-007,18,0.55,0.422,1.108,0
seeker-007,24,0.55,0.554,1.456,1
seeker-007,30,0.55,0.686,1.804,1
seeker-008,18,0.65,0.394,1.046,0
seeker-008,24,0.65,0.526,1.394,1
seeker-008,30,0.65,0.658,1.742,1
seeker-009,18,0.75,0.366,1.104,0
seeker-009,24,0.75,0.498,1.452,1
seeker-009,30,0.75,0.63,1.8,1
seeker-010,18,0.35,0.478,1.022,0
seeker-010,24,0.35,0.61,1.37,1
seeker-010,30,0.35,0.742,1.718,1
seeker-011,18,0.45,0.45,1.08,0
seeker-011,24,0.45,0.582,1.428,1
seeker-011,30,0.45,0.714,1.776,1
seeker-012,18,0.55,0.422,1.018,0
seeker-012,24,0.55,0.554,1.366,1
seeker-012,30,0.55,0.686,1.714,1
seeker-013,18,0.65,0.394,1.076,0
seeker-013,24,0.65,0.526,1.424,1
seeker-013,30,0.65,0.658,1.772,1
seeker-014,18,0.75,0.366,1.134,0
seeker-014,24,0.75,0.498,1.482,1
seeker-014,30,0.75,0.63,1.83,1
seeker-015,18,0.35,0.478,1.052,0
seeker-015,24,0.35,0.61,1.4,1
seeker-015,30,0.35,0.742,1.748,1
seeker-016,18,0.45,0.45,0.99,0
seeker-016,24,0.45,0.582,1.338,0
seeker-016,30,0.45,0.714,1.686,1
seeker-017,18,0.55,0.422,1.048,0
seeker-017,24,0.55,0.554,1.396,1
seeker-017,30,0.55,0.686,1.744,1
seeker-018,18,0.65,0.394,1.106,0
seeker-018,24,0.65,0.526,1.454,1
seeker-018,30,0.65,0.658,1.802,1
seeker-019,18,0.75,0.366,1.164,0
seeker-019,24,0.75,0.498,1.512,1
seeker-019,30,0.75,0.63,1.86,1
seeker-020,18,0.35,0.478,0.962,0
seeker-020,24,0.35,0.61,1.31,0
seeker-020,30,0.35,0.742,1.658,1
seeker-021,18,0.45,0.45,1.02,0
seeker-021,24,0.45,0.582,1.368,1
seeker-021,30,0.45,0.714,1.716,1
seeker-022,18,0.55,0.422,1.078,0
seeker-022,24,0.55,0.554,1.426,1
seeker-022,30,0.55,0.686,1.774,1
seeker-023,18,0.65,0.394,1.136,0
seeker-023,24,0.65,0.526,1.484,1
seeker-023,30,0.65,0.658,1.832,1
seeker-024,18,0.75,0.366,1.074,0
seeker-024,24,0.75,0.498,1.422,1
seeker-024,30,0.75,0.63,1.77,1
seeker-025,18,0.35,0.478,0.992,0
seeker-025,24,0.35,0.61,1.34,0
seeker-025,30,0.35,0.742,1.688,1
seeker-026,18,0.45,0.45,1.05,0
seeker-026,24,0.45,0.582,1.398,1
seeker-026,30,0.45,0.714,1.746,1
seeker-027,18,0.55,0.422,1.108,0
seeker-027,24,0.55,0.554,1.456,1
seeker-027,30,0.55,0.686,1.804,1
seeker-028,18,0.65,0.394,1.046,0
seeker-028,24,0.65,0.526,1.394,1
seeker-028,30,0.65,0.658,1.742,1
seeker-029,18,0.75,0.366,1.104,0
seeker-029,24,0.75,0.498,1.452,1
seeker-029,30,0.75,0.63,1.8,1
seeker-030,18,0.35,0.478,1.022,0
seeker-030,24,0.35,0.61,1.37,1
seeker-030,30,0.35,0.742,1.718,1
seeker-031,18,0.45,0.45,1.08,0
seeker-031,24,0.45,0.582,1.428,1
seeker-031,30,0.45,0.714,1.776,1
seeker-032,18,0.55,0.422,1.018,0
seeker-032,24,0.55,0.554,1.366,1
seeker-032,30,0.55,0.686,1.714,1
seeker-033,18,0.65,0.394,1.076,0
seeker-033,24,0.65,0.526,1.424,1
seeker-033,30,0.65,0.658,1.772,1
seeker-034,18,0.75,0.366,1.134,0
seeker-034,24,0.75,0.498,1.482,1
seeker-034,30,0.75,0.63,1.83,1
seeker-035,18,0.35,0.478,1.052,0
seeker-035,24,0.35,0.61,1.4,1
seeker-035,30,0.35,0.742,1.748,1
seeker-036,18,0.45,0.45,0.99,0
seeker-036,24,0.45,0.582,1.338,0
seeker-036,30,0.45,0.714,1.686,1
seeker-037,18,0.55,0.422,1.048,0
seeker-037,24,0.55,0.554,1.396,1
seeker-037,30,0.55,0.686,1.744,1
seeker-038,18,0.65,0.394,1.106,0
seeker-038,24,0.65,0.526,1.454,1
seeker-038,30,0.65,0.658,1.802,1
seeker-039,18,0.75,0.366,1.164,0
seeker-039,24,0.75,0.498,1.512,1
seeker-039,30,0.75,0.63,1.86,1
seeker-040,18,0.35,0.478,0.962,0
seeker-040,24,0.35,0.61,1.31,0
seeker-040,30,0.35,0.742,1.658,1
seeker-041,18,0.45,0.45,1.02,0
seeker-041,24,0.45,0.582,1.368,1
seeker-041,30,0.45,0.714,1.716,1
seeker-042,18,0.55,0.422,1.078,0
seeker-042,24,0.55,0.554,1.426,1
seeker-042,30,0.55,0.686,1.774,1
seeker-043,18,0.65,0.394,1.136,0
seeker-043,24,0.65,0.526,1.484,1
seeker-043,30,0.65,0.658,1.832,1
seeker-044,18,0.75,0.366,1.074,0
seeker-044,24,0.75,0.498,1.422,1
seeker-044,30,0.75,0.63,1.77,1
seeker-045,18,0.35,0.478,0.992,0
seeker-045,24,0.35,0.61,1.34,0
seeker-045,30,0.35,0.742,1.688,1
seeker-046,18,0.45,0.45,1.05,0
seeker-046,24,0.45,0.582,1.398,1
seeker-046,30,0.45,0.714,1.746,1
seeker-047,18,0.55,0.422,1.108,0
seeker-047,24,0.55,0.554,1.456,1
seeker-047,30,0.55,0.686,1.804,1
seeker-048,18,0.65,0.394,1.046,0
seeker-048,24,0.65,0.526,1.394,1
seeker-048,30,0.65,0.658,1.742,1
seeker-049,18,0.75,0.366,1.104,0
seeker-049,24,0.75,0.498,1.452,1
seeker-049,30,0.75,0.63,1.8,1
seeker-050,18,0.35,0.478,1.022,0
seeker-050,24,0.35,0.61,1.37,1
seeker-050,30,0.35,0.742,1.718,1
seeker-051,18,0.45,0.45,1.08,0
seeker-051,24,0.45,0.582,1.428,1
seeker-051,30,0.45,0.714,1.776,1
seeker-052,18,0.55,0.422,1.018,0
seeker-052,24,0.55,0.554,1.366,1
seeker-052,30,0.55,0.686,1.714,1
seeker-053,18,0.65,0.394,1.076,0
seeker-053,24,0.65,0.526,1.424,1
seeker-053,30,0.65,0.658,1.772,1
seeker-054,18,0.75,0.366,1.134,0
seeker-054,24,0.75,0.498,1.482,1
seeker-054,30,0.75,0.63,1.83,1
seeker-055,18,0.35,0.478,1.052,0
seeker-055,24,0.35,0.61,1.4,1
seeker-055,30,0.35,0.742,1.748,1
seeker-056,18,0.45,0.45,0.99,0
seeker-056,24,0.45,0.582,1.338,0
seeker-056,30,0.45,0.714,1.686,1
seeker-057,18,0.55,0.422,1.048,0
seeker-057,24,0.55,0.554,1.396,1
seeker-057,30,0.55,0.686,1.744,1
seeker-058,18,0.65,0.394,1.106,0
seeker-058,24,0.65,0.526,1.454,1
seeker-058,30,0.65,0.658,1.802,1
seeker-059,18,0.75,0.366,1.164,0
seeker-059,24,0.75,0.498,1.512,1
seeker-059,30,0.75,0.63,1.86,1
seeker-060,18,0.35,0.478,0.962,0
seeker-060,24,0.35,0.61,1.31,0
seeker-060,30,0.35,0.742,1.658,1
seeker-061,18,0.45,0.45,1.02,0
seeker-061,24,0.45,0.582,1.368,1
seeker-061,30,0.45,0.714,1.716,1
seeker-062,18,0.55,0.422,1.078,0
seeker-062,24,0.55,0.554,1.426,1
seeker-062,30,0.55,0.686,1.774,1
seeker-063,18,0.65,0.394,1.136,0
seeker-063,24,0.65,0.526,1.484,1
seeker-063,30,0.65,0.658,1.832,1
seeker-064,18,0.75,0.366,1.074,0
seeker-064,24,0.75,0.498,1.422,1
seeker-064,30,0.75,0.63,1.77,1
seeker-065,18,0.35,0.478,0.992,0
seeker-065,24,0.35,0.61,1.34,0
seeker-065,30,0.35,0.742,1.688,1
seeker-066,18,0.45,0.45,1.05,0
seeker-066,24,0.45,0.582,1.398,1
seeker-066,30,0.45,0.714,1.746,1
seeker-067,18,0.55,0.422,1.108,0
seeker-067,24,0.55,0.554,1.456,1
seeker-067,30,0.55,0.686,1.804,1
seeker-068,18,0.65,0.394,1.046,0
seeker-068,24,0.65,0.526,1.394,1
seeker-068,30,0.65,0.658,1.742,1
seeker-069,18,0.75,0.366,1.104,0
seeker-069,24,0.75,0.498,1.452,1
seeker-069,30,0.75,0.63,1.8,1
seeker-070,18,0.35,0.478,1.022,0
seeker-070,24,0.35,0.61,1.37,1
seeker-070,30,0.35,0.742,1.718,1
seeker-071,18,0.45,0.45,1.08,0
seeker-071,24,0.45,0.582,1.428,1
seeker-071,30,0.45,0.714,1.776,1
seeker-072,18,0.55,0.422,1.018,0
seeker-072,24,0.55,0.554,1.366,1
seeker-072,30,0.55,0.686,1.714,1
seeker-073,18,0.65,0.394,1.076,0
seeker-073,24,0.65,0.526,1.424,1
seeker-073,30,0.65,0.658,1.772,1
seeker-074,18,0.75,0.366,1.134,0
seeker-074,24,0.75,0.498,1.482,1
seeker-074,30,0.75,0.63,1.83,1
seeker-075,18,0.35,0.478,1.052,0
seeker-075,24,0.35,0.61,1.4,1
seeker-075,30,0.35,0.742,1.748,1
seeker-076,18,0.45,0.45,0.99,0
seeker-076,24,0.45,0.582,1.338,0
seeker-076,30,0.45,0.714,1.686,1
seeker-077,18,0.55,0.422,1.048,0
seeker-077,24,0.55,0.554,1.396,1
seeker-077,30,0.55,0.686,1.744,1
seeker-078,18,0.65,0.394,1.106,0
seeker-078,24,0.65,0.526,1.454,1
seeker-078,30,0.65,0.658,1.802,1
seeker-079,18,0.75,0.366,1.164,0
seeker-079,24,0.75,0.498,1.512,1
seeker-079,30,0.75,0.63,1.86,1
seeker-080,18,0.35,0.478,0.962,0
seeker-080,24,0.35,0.61,1.31,0
seeker-080,30,0.35,0.742,1.658,1
seeker-081,18,0.45,0.45,1.02,0
seeker-081,24,0.45,0.582,1.368,1
seeker-081,30,0.45,0.714,1.716,1
seeker-082,18,0.55,0.422,1.078,0
seeker-082,24,0.55,0.554,1.426,1
seeker-082,30,0.55,0.686,1.774,1
seeker-083,18,0.65,0.394,1.136,0
seeker-083,24,0.65,0.526,1.484,1
seeker-083,30,0.65,0.658,1.832,1
seeker-084,18,0.75,0.366,1.074,0
seeker-084,24,0.75,0.498,1.422,1
seeker-084,30,0.75,0.63,1.77,1
seeker-085,18,0.35,0.478,0.992,0
seeker-085,24,0.35,0.61,1.34,0
seeker-085,30,0.35,0.742,1.688,1
seeker-086,18,0.45,0.45,1.05,0
seeker-086,24,0.45,0.582,1.398,1
seeker-086,30,0.45,0.714,1.746,1
seeker-087,18,0.55,0.422,1.108,0
seeker-087,24,0.55,0.554,1.456,1
seeker-087,30,0.55,0.686,1.804,1
seeker-088,18,0.65,0.394,1.046,0
seeker-088,24,0.65,0.526,1.394,1
seeker-088,30,0.65,0.658,1.742,1
seeker-089,18,0.75,0.366,1.104,0
seeker-089,24,0.75,0.498,1.452,1
seeker-089,30,0.75,0.63,1.8,1
seeker-090,18,0.35,0.478,1.022,0
seeker-090,24,0.35,0.61,1.37,1
seeker-090,30,0.35,0.742,1.718,1
seeker-091,18,0.45,0.45,1.08,0
seeker-091,24,0.45,0.582,1.428,1
seeker-091,30,0.45,0.714,1.776,1
seeker-092,18,0.55,0.422,1.018,0
seeker-092,24,0.55,0.554,1.366,1
seeker-092,30,0.55,0.686,1.714,1
seeker-093,18,0.65,0.394,1.076,0
seeker-093,24,0.65,0.526,1.424,1
seeker-093,30,0.65,0.658,1.772,1
seeker-094,18,0.75,0.366,1.134,0
seeker-094,24,0.75,0.498,1.482,1
seeker-094,30,0.75,0.63,1.83,1
seeker-095,18,0.35,0.478,1.052,0
seeker-095,24,0.35,0.61,1.4,1
seeker-095,30,0.35,0.742,1.748,1
seeker-096,18,0.45,0.45,0.99,0
seeker-096,24,0.45,0.582,1.338,0
seeker-096,30,0.45,0.714,1.686,1
seeker-097,18,0.55,0.422,1.048,0
seeker-097,24,0.55,0.554,1.396,1
seeker-097,30,0.55,0.686,1.744,1
seeker-098,18,0.65,0.394,1.106,0
seeker-098,24,0.65,0.526,1.454,1
seeker-098,30,0.65,0.658,1.802,1
seeker-099,18,0.75,0.366,1.164,0
seeker-099,24,0.75,0.498,1.512,1
seeker-099,30,0.75,0.63,1.86,1
seeker-100,18,0.35,0.478,0.962,0
seeker-100,24,0.35,0.61,1.31,0
seeker-100,30,0.35,0.742,1.658,1
seeker-101,18,0.45,0.45,1.02,0
seeker-101,24,0.45,0.582,1.368,1
seeker-101,30,0.45,0.714,1.716,1
seeker-102,18,0.55,0.422,1.078,0
seeker-102,24,0.55,0.554,1.426,1
seeker-102,30,0.55,0.686,1.774,1
seeker-103,18,0.65,0.394,1.136,0
seeker-103,24,0.65,0.526,1.484,1
seeker-103,30,0.65,0.658,1.832,1
seeker-104,18,0.75,0.366,1.074,0
seeker-104,24,0.75,0.498,1.422,1
seeker-104,30,0.75,0.63,1.77,1
seeker-105,18,0.35,0.478,0.992,0
seeker-105,24,0.35,0.61,1.34,0
seeker-105,30,0.35,0.742,1.688,1
seeker-106,18,0.45,0.45,1.05,0
seeker-106,24,0.45,0.582,1.398,1
seeker-106,30,0.45,0.714,1.746,1
seeker-107,18,0.55,0.422,1.108,0
seeker-107,24,0.55,0.554,1.456,1
seeker-107,30,0.55,0.686,1.804,1
seeker-108,18,0.65,0.394,1.046,0
seeker-108,24,0.65,0.526,1.394,1
seeker-108,30,0.65,0.658,1.742,1
seeker-109,18,0.75,0.366,1.104,0
seeker-109,24,0.75,0.498,1.452,1
seeker-109,30,0.75,0.63,1.8,1
seeker-110,18,0.35,0.478,1.022,0
seeker-110,24,0.35,0.61,1.37,1
seeker-110,30,0.35,0.742,1.718,1
seeker-111,18,0.45,0.45,1.08,0
seeker-111,24,0.45,0.582,1.428,1
seeker-111,30,0.45,0.714,1.776,1
seeker-112,18,0.55,0.422,1.018,0
seeker-112,24,0.55,0.554,1.366,1
seeker-112,30,0.55,0.686,1.714,1
seeker-113,18,0.65,0.394,1.076,0
seeker-113,24,0.65,0.526,1.424,1
seeker-113,30,0.65,0.658,1.772,1
seeker-114,18,0.75,0.366,1.134,0
seeker-114,24,0.75,0.498,1.482,1
seeker-114,30,0.75,0.63,1.83,1
seeker-115,18,0.35,0.478,1.052,0
seeker-115,24,0.35,0.61,1.4,1
seeker-115,30,0.35,0.742,1.748,1
seeker-116,18,0.45,0.45,0.99,0
seeker-116,24,0.45,0.582,1.338,0
seeker-116,30,0.45,0.714,1.686,1
seeker-117,18,0.55,0.422,1.048,0
seeker-117,24,0.55,0.554,1.396,1
seeker-117,30,0.55,0.686,1.744,1
seeker-118,18,0.65,0.394,1.106,0
seeker-118,24,0.65,0.526,1.454,1
seeker-118,30,0.65,0.658,1.802,1
seeker-119,18,0.75,0.366,1.164,0
seeker-119,24,0.75,0.498,1.512,1
seeker-119,30,0.75,0.63,1.86,1
seeker-120,18,0.35,0.478,0.962,0
seeker-120,24,0.35,0.61,1.31,0
seeker-120,30,0.35,0.742,1.658,1
seeker-121,18,0.45,0.45,1.02,0
seeker-121,24,0.45,0.582,1.368,1
seeker-121,30,0.45,0.714,1.716,1
seeker-122,18,0.55,0.422,1.078,0
seeker-122,24,0.55,0.554,1.426,1
seeker-122,30,0.55,0.686,1.774,1
seeker-123,18,0.65,0.394,1.136,0
seeker-123,24,0.65,0.526,1.484,1
seeker-123,30,0.65,0.658,1.832,1
seeker-124,18,0.75,0.366,1.074,0
seeker-124,24,0.75,0.498,1.422,1
seeker-124,30,0.75,0.63,1.77,1
seeker-125,18,0.35,0.478,0.992,0
seeker-125,24,0.35,0.61,1.34,0
seeker-125,30,0.35,0.742,1.688,1
seeker-126,18,0.45,0.45,1.05,0
seeker-126,24,0.45,0.582,1.398,1
seeker-126,30,0.45,0.714,1.746,1
seeker-127,18,0.55,0.422,1.108,0
seeker-127,24,0.55,0.554,1.456,1
seeker-127,30,0.55,0.686,1.804,1
seeker-128,18,0.65,0.394,1.046,0
seeker-128,24,0.65,0.526,1.394,1
seeker-128,30,0.65,0.658,1.742,1
seeker-129,18,0.75,0.366,1.104,0
seeker-129,24,0.75,0.498,1.452,1
seeker-129,30,0.75,0.63,1.8,1
seeker-130,18,0.35,0.478,1.022,0
seeker-130,24,0.35,0.61,1.37,1
seeker-130,30,0.35,0.742,1.718,1
seeker-131,18,0.45,0.45,1.08,0
seeker-131,24,0.45,0.582,1.428,1
seeker-131,30,0.45,0.714,1.776,1
seeker-132,18,0.55,0.422,1.018,0
seeker-132,24,0.55,0.554,1.366,1
seeker-132,30,0.55,0.686,1.714,1
seeker-133,18,0.65,0.394,1.076,0
seeker-133,24,0.65,0.526,1.424,1
seeker-133,30,0.65,0.658,1.772,1
seeker-134,18,0.75,0.366,1.134,0
seeker-134,24,0.75,0.498,1.482,1
seeker-134,30,0.75,0.63,1.83,1
seeker-135,18,0.35,0.478,1.052,0
seeker-135,24,0.35,0.61,1.4,1
seeker-135,30,0.35,0.742,1.748,1
seeker-136,18,0.45,0.45,0.99,0
seeker-136,24,0.45,0.582,1.338,0
seeker-136,30,0.45,0.714,1.686,1
seeker-137,18,0.55,0.422,1.048,0
seeker-137,24,0.55,0.554,1.396,1
seeker-137,30,0.55,0.686,1.744,1
seeker-138,18,0.65,0.394,1.106,0
seeker-138,24,0.65,0.526,1.454,1
seeker-138,30,0.65,0.658,1.802,1
seeker-139,18,0.75,0.366,1.164,0
seeker-139,24,0.75,0.498,1.512,1
seeker-139,30,0.75,0.63,1.86,1
seeker-140,18,0.35,0.478,0.962,0
seeker-140,24,0.35,0.61,1.31,0
seeker-140,30,0.35,0.742,1.658,1
seeker-141,18,0.45,0.45,1.02,0
seeker-141,24,0.45,0.582,1.368,1
seeker-141,30,0.45,0.714,1.716,1
seeker-142,18,0.55,0.422,1.078,0
seeker-142,24,0.55,0.554,1.426,1
seeker-142,30,0.55,0.686,1.774,1
seeker-143,18,0.65,0.394,1.136,0
seeker-143,24,0.65,0.526,1.484,1
seeker-143,30,0.65,0.658,1.832,1
seeker-144,18,0.75,0.366,1.074,0
seeker-144,24,0.75,0.498,1.422,1
seeker-144,30,0.75,0.63,1.77,1
seeker-145,18,0.35,0.478,0.992,0
seeker-145,24,0.35,0.61,1.34,0
seeker-145,30,0.35,0.742,1.688,1
seeker-146,18,0.45,0.45,1.05,0
seeker-146,24,0.45,0.582,1.398,1
seeker-146,30,0.45,0.714,1.746,1
seeker-147,18,0.55,0.422,1.108,0
seeker-147,24,0.55,0.554,1.456,1
seeker-147,30,0.55,0.686,1.804,1
seeker-148,18,0.65,0.394,1.046,0
seeker-148,24,0.65,0.526,1.394,1
seeker-148,30,0.65,0.658,1.742,1
seeker-149,18,0.75,0.366,1.104,0
seeker-149,24,0.75,0.498,1.452,1
seeker-149,30,0.75,0.63,1.8,1
seeker-150,18,0.35,0.478,1.022,0
seeker-150,24,0.35,0.61,1.37,1
seeker-150,30,0.35,0.742,1.718,1
seeker-151,18,0.45,0.45,1.08,0
seeker-151,24,0.45,0.582,1.428,1
seeker-151,30,0.45,0.714,1.776,1
seeker-152,18,0.55,0.422,1.018,0
seeker-152,24,0.55,0.554,1.366,1
seeker-152,30,0.55,0.686,1.714,1
seeker-153,18,0.65,0.394,1.076,0
seeker-153,24,0.65,0.526,1.424,1
seeker-153,30,0.65,0.658,1.772,1
seeker-154,18,0.75,0.366,1.134,0
seeker-154,24,0.75,0.498,1.482,1
seeker-154,30,0.75,0.63,1.83,1
seeker-155,18,0.35,0.478,1.052,0
seeker-155,24,0.35,0.61,1.4,1
seeker-155,30,0.35,0.742,1.748,1
seeker-156,18,0.45,0.45,0.99,0
seeker-156,24,0.45,0.582,1.338,0
seeker-156,30,0.45,0.714,1.686,1
seeker-157,18,0.55,0.422,1.048,0
seeker-157,24,0.55,0.554,1.396,1
seeker-157,30,0.55,0.686,1.744,1
seeker-158,18,0.65,0.394,1.106,0
seeker-158,24,0.65,0.526,1.454,1
seeker-158,30,0.65,0.658,1.802,1
seeker-159,18,0.75,0.366,1.164,0
seeker-159,24,0.75,0.498,1.512,1
seeker-159,30,0.75,0.63,1.86,1
seeker-160,18,0.35,0.478,0.962,0
seeker-160,24,0.35,0.61,1.31,0
seeker-160,30,0.35,0.742,1.658,1
seeker-161,18,0.45,0.45,1.02,0
seeker-161,24,0.45,0.582,1.368,1
seeker-161,30,0.45,0.714,1.716,1
seeker-162,18,0.55,0.422,1.078,0
seeker-162,24,0.55,0.554,1.426,1
seeker-162,30,0.55,0.686,1.774,1
seeker-163,18,0.65,0.394,1.136,0
seeker-163,24,0.65,0.526,1.484,1
seeker-163,30,0.65,0.658,1.832,1
seeker-164,18,0.75,0.366,1.074,0
seeker-164,24,0.75,0.498,1.422,1
seeker-164,30,0.75,0.63,1.77,1
seeker-165,18,0.35,0.478,0.992,0
seeker-165,24,0.35,0.61,1.34,0
seeker-165,30,0.35,0.742,1.688,1
seeker-166,18,0.45,0.45,1.05,0
seeker-166,24,0.45,0.582,1.398,1
seeker-166,30,0.45,0.714,1.746,1
seeker-167,18,0.55,0.422,1.108,0
seeker-167,24,0.55,0.554,1.456,1
seeker-167,30,0.55,0.686,1.804,1
seeker-168,18,0.65,0.394,1.046,0
seeker-168,24,0.65,0.526,1.394,1
seeker-168,30,0.65,0.658,1.742,1
seeker-169,18,0.75,0.366,1.104,0
seeker-169,24,0.75,0.498,1.452,1
seeker-169,30,0.75,0.63,1.8,1
seeker-170,18,0.35,0.478,1.022,0
seeker-170,24,0.35,0.61,1.37,1
seeker-170,30,0.35,0.742,1.718,1
seeker-171,18,0.45,0.45,1.08,0
seeker-171,24,0.45,0.582,1.428,1
seeker-171,30,0.45,0.714,1.776,1
seeker-172,18,0.55,0.422,1.018,0
seeker-172,24,0.55,0.554,1.366,1
seeker-172,30,0.55,0.686,1.714,1
seeker-173,18,0.65,0.394,1.076,0
seeker-173,24,0.65,0.526,1.424,1
seeker-173,30,0.65,0.658,1.772,1
seeker-174,18,0.75,0.366,1.134,0
seeker-174,24,0.75,0.498,1.482,1
seeker-174,30,0.75,0.63,1.83,1
seeker-175,18,0.35,0.478,1.052,0
seeker-175,24,0.35,0.61,1.4,1
seeker-175,30,0.35,0.742,1.748,1
seeker-176,18,0.45,0.45,0.99,0
seeker-176,24,0.45,0.582,1.338,0
seeker-176,30,0.45,0.714,1.686,1
seeker-177,18,0.55,0.422,1.048,0
seeker-177,24,0.55,0.554,1.396,1
seeker-177,30,0.55,0.686,1.744,1
seeker-178,18,0.65,0.394,1.106,0
seeker-178,24,0.65,0.526,1.454,1
seeker-178,30,0.65,0.658,1.802,1
seeker-179,18,0.75,0.366,1.164,0
seeker-179,24,0.75,0.498,1.512,1
seeker-179,30,0.75,0.63,1.86,1
