worker_id,year,local_knowledge,schedule_letter,letter_active,exposure_count,hourly_wage,true_net_return,perceived_net_return,knowledge_gap,annual_hours,annual_earnings
worker-000,1,1,1,0,1,17.5,0.58,0.445,0.135,1183.4,20709.5
worker-000,2,1,1,1,3,17.5,0.58,0.53,0.05,1206.0,21105.0
worker-000,3,1,1,1,4,17.5,0.58,0.565,0.015,1210.6,21185.5
worker-000,4,1,1,1,5,17.5,0.58,0.57,0.01,1204.4,21077.0
worker-001,1,1,0,0,1,17.95,0.615,0.48,0.135,1228.0,22042.6
worker-001,2,1,0,0,2,17.95,0.615,0.515,0.1,1232.6,22125.17
worker-001,3,1,0,0,3,17.95,0.615,0.55,0.065,1237.2,22207.74
worker-001,4,1,0,0,4,17.95,0.615,0.585,0.03,1241.8,22290.31
worker-002,1,0,0,0,0,18.4,0.65,0.48,0.17,1260.0,23184.0
worker-002,2,0,0,0,1,18.4,0.65,0.515,0.135,1264.6,23268.64
worker-002,3,0,0,0,2,18.4,0.65,0.55,0.1,1269.2,23353.28
worker-002,4,0,0,0,3,18.4,0.65,0.585,0.065,1273.8,23437.92
worker-003,1,0,0,0,0,18.85,0.685,0.515,0.17,1274.6,24026.21
worker-003,2,0,0,0,1,18.85,0.685,0.55,0.135,1279.2,24112.92
worker-003,3,0,0,0,2,18.85,0.685,0.585,0.1,1283.8,24199.63
worker-003,4,0,0,0,3,18.85,0.685,0.62,0.065,1288.4,24286.34
worker-004,1,0,1,0,0,19.3,0.72,0.55,0.17,1319.2,25460.56
worker-004,2,0,1,1,2,19.3,0.72,0.635,0.085,1341.8,25896.74
worker-004,3,0,1,1,3,19.3,0.72,0.67,0.05,1346.4,25985.52
worker-004,4,0,1,1,4,19.3,0.72,0.705,0.015,1351.0,26074.3
worker-005,1,0,0,0,0,19.75,0.755,0.585,0.17,1363.8,26935.05
worker-005,2,0,0,0,1,19.75,0.755,0.62,0.135,1368.4,27025.9
worker-005,3,0,0,0,2,19.75,0.755,0.655,0.1,1373.0,27116.75
worker-005,4,0,0,0,3,19.75,0.755,0.69,0.065,1377.6,27207.6
worker-006,1,1,0,0,1,20.2,0.79,0.655,0.135,1391.0,28098.2
worker-006,2,1,0,0,2,20.2,0.79,0.69,0.1,1395.6,28191.12
worker-006,3,1,0,0,3,20.2,0.79,0.725,0.065,1400.2,28284.04
worker-006,4,1,0,0,4,20.2,0.79,0.76,0.03,1404.8,28376.96
worker-007,1,1,0,0,1,20.65,0.58,0.445,0.135,1347.4,27823.81
worker-007,2,1,0,0,2,20.65,0.58,0.48,0.1,1352.0,27918.8
worker-007,3,1,0,0,3,20.65,0.58,0.515,0.065,1356.6,28013.79
worker-007,4,1,0,0,4,20.65,0.58,0.55,0.03,1361.2,28108.78
worker-008,1,0,1,0,0,21.1,0.615,0.445,0.17,1203.4,25391.74
