applicant_id,arm,eligible,prior_awareness,information_index,salience_index,hassle_index,perceived_eligibility,completed_claim,take_up
applicant-000,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-001,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-002,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-003,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-004,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-005,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-006,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-007,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-008,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-009,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-010,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-011,information,1,0.48,0.73,0.4,0.62,0.85,1,1
applicant-012,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-013,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-014,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-015,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-016,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-017,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-018,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-019,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-020,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-021,information,1,0.62,0.87,0.4,0.62,0.98,0,0
applicant-022,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-023,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-024,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-025,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-026,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-027,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-028,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-029,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-030,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-031,information,1,0.41,0.66,0.4,0.62,0.78,1,1
applicant-032,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-033,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-034,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-035,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-036,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-037,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-038,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-039,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-040,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-041,information,1,0.55,0.8,0.4,0.62,0.92,0,0
applicant-042,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-043,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-044,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-045,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-046,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-047,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-048,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-049,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-050,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-051,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-052,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-053,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
applicant-054,info_simplified,0,0.34,0.59,0.62,0.44,0.53,0,0
applicant-055,control,1,0.43,0.43,0.4,0.62,0.55,0,0
applicant-056,information,1,0.43,0.68,0.4,0.62,0.8,1,1
applicant-057,reminder,1,0.43,0.43,0.62,0.62,0.55,1,0
applicant-058,simplified,1,0.43,0.43,0.4,0.44,0.55,1,0
applicant-059,info_simplified,1,0.43,0.68,0.62,0.44,0.8,1,1
applicant-060,control,1,0.48,0.48,0.4,0.62,0.6,0,0
applicant-061,information,1,0.48,0.73,0.4,0.62,0.85,0,0
applicant-062,reminder,1,0.48,0.48,0.62,0.62,0.6,0,0
applicant-063,simplified,1,0.48,0.48,0.4,0.44,0.6,0,0
applicant-064,info_simplified,1,0.48,0.73,0.62,0.44,0.85,1,1
applicant-065,control,1,0.57,0.57,0.4,0.62,0.69,0,0
applicant-066,information,1,0.57,0.82,0.4,0.62,0.94,1,1
applicant-067,reminder,1,0.57,0.57,0.62,0.62,0.69,0,0
applicant-068,simplified,1,0.57,0.57,0.4,0.44,0.69,0,0
applicant-069,info_simplified,1,0.57,0.82,0.62,0.44,0.94,1,1
applicant-070,control,1,0.62,0.62,0.4,0.62,0.74,0,0
applicant-071,information,1,0.62,0.87,0.4,0.62,0.98,1,0
applicant-072,reminder,1,0.62,0.62,0.62,0.62,0.74,0,0
applicant-073,simplified,1,0.62,0.62,0.4,0.44,0.74,0,0
applicant-074,info_simplified,1,0.62,0.87,0.62,0.44,0.98,1,1
applicant-075,control,1,0.36,0.36,0.4,0.62,0.48,0,0
applicant-076,information,1,0.36,0.61,0.4,0.62,0.73,1,1
applicant-077,reminder,1,0.36,0.36,0.62,0.62,0.48,1,0
applicant-078,simplified,1,0.36,0.36,0.4,0.44,0.48,1,0
applicant-079,info_simplified,1,0.36,0.61,0.62,0.44,0.73,1,1
applicant-080,control,1,0.41,0.41,0.4,0.62,0.53,0,0
applicant-081,information,1,0.41,0.66,0.4,0.62,0.78,1,0
applicant-082,reminder,1,0.41,0.41,0.62,0.62,0.53,0,0
applicant-083,simplified,1,0.41,0.41,0.4,0.44,0.53,0,0
applicant-084,info_simplified,1,0.41,0.66,0.62,0.44,0.78,1,1
applicant-085,control,1,0.5,0.5,0.4,0.62,0.62,0,0
applicant-086,information,1,0.5,0.75,0.4,0.62,0.87,1,1
applicant-087,reminder,1,0.5,0.5,0.62,0.62,0.62,1,0
applicant-088,simplified,1,0.5,0.5,0.4,0.44,0.62,0,0
applicant-089,info_simplified,1,0.5,0.75,0.62,0.44,0.87,1,1
applicant-090,control,1,0.55,0.55,0.4,0.62,0.67,0,0
applicant-091,information,1,0.55,0.8,0.4,0.62,0.92,1,1
applicant-092,reminder,1,0.55,0.55,0.62,0.62,0.67,0,0
applicant-093,simplified,1,0.55,0.55,0.4,0.44,0.67,0,0
applicant-094,info_simplified,1,0.55,0.8,0.62,0.44,0.92,1,1
applicant-095,control,1,0.64,0.64,0.4,0.62,0.76,0,0
applicant-096,information,1,0.64,0.89,0.4,0.62,0.98,1,0
applicant-097,reminder,1,0.64,0.64,0.62,0.62,0.76,0,0
applicant-098,simplified,1,0.64,0.64,0.4,0.44,0.76,0,0
applicant-099,info_simplified,1,0.64,0.89,0.62,0.44,0.98,1,1
applicant-100,control,0,0.34,0.34,0.4,0.62,0.28,0,0
applicant-101,information,0,0.34,0.59,0.4,0.62,0.53,0,0
applicant-102,reminder,0,0.34,0.34,0.62,0.62,0.28,0,0
applicant-103,simplified,0,0.34,0.34,0.4,0.44,0.28,0,0
