worker_id,contract,true_bonus_rate,perceived_bonus_rate,perception_gap,attention_minutes,effort_units,bonus_earned
contract-worker-000,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-001,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-002,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-003,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-004,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-005,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-006,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-007,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-008,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-009,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-010,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-011,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-012,simple,0.18,0.18,0.0,4.5,77.5,13.95
contract-worker-013,opaque,0.2,0.125,0.075,6.5,73.65,14.73
contract-worker-014,opaque_with_tutorial,0.22,0.19,0.03,8.8,83.18,18.3
contract-worker-015,simple,0.24,0.24,0.0,4.5,87.1,20.9
contract-worker-016,opaque,0.18,0.105,0.075,6.5,74.45,13.4
contract-worker-017,opaque_with_tutorial,0.2,0.17,0.03,8.8,83.98,16.8
contract-worker-018,simple,0.22,0.22,0.0,4.5,81.9,18.02
contract-worker-019,opaque,0.24,0.165,0.075,6.5,78.05,18.73
contract-worker-020,opaque_with_tutorial,0.18,0.15,0.03,8.8,78.78,14.18
contract-worker-021,simple,0.2,0.2,0.0,4.5,82.7,16.54
contract-worker-022,opaque,0.22,0.145,0.075,6.5,78.85,17.35
contract-worker-023,opaque_with_tutorial,0.24,0.21,0.03,8.8,88.38,21.21
contract-worker-024,simple,0.18,0.18,0.0,4.5,77.5,13.95
