worker_id,arm,skill,reciprocity_index,gift_value,employer_effort,piece_rate,framing_salience,extra_work_minutes,output_units,quality_score,productivity_value,productivity_per_minute
worker-000,control,0.82,0.25,0.0,0.0,0.0,0.15,42.0,53.91,0.76,40.97,0.975
worker-001,cash_gift,0.82,0.25,1.0,0.0,0.0,0.45,44.62,55.03,0.748,41.16,0.922
worker-002,noncash_gift,0.82,0.25,0.85,0.35,0.0,0.55,45.81,56.16,0.766,43.04,0.94
worker-003,piece_rate,0.82,0.25,0.0,0.0,0.22,0.35,44.86,56.67,0.768,43.5,0.97
worker-004,employer_return,0.82,0.25,0.65,0.55,0.0,0.5,46.18,56.68,0.77,43.64,0.945
worker-005,control,0.855,0.35,0.0,0.0,0.0,0.15,45.4,56.18,0.788,44.27,0.975
worker-006,cash_gift,0.855,0.35,1.0,0.0,0.0,0.45,49.07,57.82,0.776,44.87,0.914
worker-007,noncash_gift,0.855,0.35,0.85,0.35,0.0,0.55,50.1,58.9,0.794,46.79,0.934
worker-008,piece_rate,0.855,0.35,0.0,0.0,0.22,0.35,48.26,59.0,0.796,46.94,0.973
worker-009,employer_return,0.855,0.35,0.65,0.55,0.0,0.5,50.26,59.34,0.798,47.35,0.942
worker-010,control,0.89,0.45,0.0,0.0,0.0,0.15,48.8,58.58,0.816,47.81,0.98
worker-011,cash_gift,0.89,0.45,1.0,0.0,0.0,0.45,53.53,60.77,0.804,48.86,0.913
worker-012,noncash_gift,0.89,0.45,0.85,0.35,0.0,0.55,54.39,61.8,0.822,50.82,0.934
worker-013,piece_rate,0.89,0.45,0.0,0.0,0.22,0.35,51.66,61.45,0.824,50.61,0.98
worker-014,employer_return,0.89,0.45,0.65,0.55,0.0,0.5,54.35,62.14,0.826,51.32,0.944
worker-015,control,0.925,0.55,0.0,0.0,0.0,0.15,48.3,59.23,0.844,49.99,1.035
worker-016,cash_gift,0.925,0.55,1.0,0.0,0.0,0.45,54.07,62.01,0.832,51.59,0.954
worker-017,noncash_gift,0.925,0.55,0.85,0.35,0.0,0.55,54.78,62.98,0.85,53.55,0.978
worker-018,piece_rate,0.925,0.55,0.0,0.0,0.22,0.35,51.16,62.15,0.852,52.93,1.035
worker-019,employer_return,0.925,0.55,0.65,0.55,0.0,0.5,54.53,63.22,0.854,53.98,0.99
worker-020,control,0.96,0.65,0.0,0.0,0.0,0.15,51.7,61.81,0.872,53.9,1.042
worker-021,cash_gift,0.96,0.65,1.0,0.0,0.0,0.45,58.52,65.22,0.86,56.09,0.958
worker-022,noncash_gift,0.96,0.65,0.85,0.35,0.0,0.55,59.08,66.12,0.878,58.07,0.983
worker-023,piece_rate,0.96,0.65,0.0,0.0,0.22,0.35,54.56,64.78,0.88,56.98,1.044
worker-024,employer_return,0.96,0.65,0.65,0.55,0.0,0.5,58.61,66.25,0.882,58.42,0.997
worker-025,control,0.995,0.75,0.0,0.0,0.0,0.15,44.6,59.08,0.76,44.9,1.007
worker-026,cash_gift,0.995,0.75,1.0,0.0,0.0,0.45,52.48,63.15,0.748,47.24,0.9
worker-027,noncash_gift,0.995,0.75,0.85,0.35,0.0,0.55,52.87,63.98,0.766,49.03,0.927
worker-028,piece_rate,0.995,0.75,0.0,0.0,0.22,0.35,47.46,62.1,0.768,47.67,1.004
worker-029,employer_return,0.995,0.75,0.65,0.55,0.0,0.5,52.19,64.0,0.77,49.27,0.944
worker-030,control,1.03,0.25,0.0,0.0,0.0,0.15,44.1,59.62,0.788,46.98,1.065
worker-031,cash_gift,1.03,0.25,1.0,0.0,0.0,0.45,46.73,61.03,0.776,47.36,1.014
worker-032,noncash_gift,1.03,0.25,0.85,0.35,0.0,0.55,47.91,62.29,0.794,49.48,1.033
worker-033,piece_rate,1.03,0.25,0.0,0.0,0.22,0.35,46.96,62.69,0.796,49.88,1.062
worker-034,employer_return,1.03,0.25,0.65,0.55,0.0,0.5,48.28,62.85,0.798,50.15,1.039
worker-035,control,0.82,0.35,0.0,0.0,0.0,0.15,47.5,56.25,0.816,45.9,0.966
worker-036,cash_gift,0.82,0.35,1.0,0.0,0.0,0.45,51.17,57.82,0.804,46.49,0.908
worker-037,noncash_gift,0.82,0.35,0.85,0.35,0.0,0.55,52.2,58.89,0.822,48.42,0.928
worker-038,piece_rate,0.82,0.35,0.0,0.0,0.22,0.35,50.36,59.01,0.824,48.61,0.965
