worker_id,arm,bonus_rate,monitoring_intensity,feedback_score,digital_visibility,reciprocity_index,relational_motivation,visible_effort,productive_output,compliance_actions,gaming_score
monitor-worker-000,control,0.0,0.12,0.18,0,0.35,0.35,74.1,74.48,9.44,0.176
monitor-worker-001,pay_only,0.2,0.12,0.18,0,0.35,0.35,77.7,78.48,9.44,0.226
monitor-worker-002,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,80.0,76.03,14.96,0.364
monitor-worker-003,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,84.1,80.38,15.2,0.412
monitor-worker-004,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,85.51,79.47,19.34,0.48
monitor-worker-005,control,0.0,0.12,0.18,0,0.42,0.42,75.9,76.56,10.44,0.176
monitor-worker-006,pay_only,0.2,0.12,0.18,0,0.42,0.42,79.5,80.56,10.44,0.226
monitor-worker-007,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,81.8,78.11,15.96,0.364
monitor-worker-008,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,85.9,82.46,16.2,0.412
monitor-worker-009,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,87.31,81.55,20.34,0.48
monitor-worker-010,control,0.0,0.12,0.18,0,0.49,0.49,77.7,78.64,11.44,0.176
monitor-worker-011,pay_only,0.2,0.12,0.18,0,0.49,0.49,81.3,82.64,11.44,0.226
monitor-worker-012,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,83.6,80.19,16.96,0.364
monitor-worker-013,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,87.7,84.54,17.2,0.412
monitor-worker-014,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,89.11,83.63,21.34,0.48
monitor-worker-015,control,0.0,0.12,0.18,0,0.56,0.56,79.5,80.72,12.44,0.176
monitor-worker-016,pay_only,0.2,0.12,0.18,0,0.56,0.56,83.1,84.72,12.44,0.226
monitor-worker-017,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,85.4,82.27,17.96,0.364
monitor-worker-018,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,89.5,86.62,18.2,0.412
monitor-worker-019,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,90.91,85.71,22.34,0.48
monitor-worker-020,control,0.0,0.12,0.18,0,0.63,0.63,81.3,82.8,9.44,0.176
monitor-worker-021,pay_only,0.2,0.12,0.18,0,0.63,0.63,84.9,86.8,9.44,0.226
monitor-worker-022,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,87.2,84.35,14.96,0.364
monitor-worker-023,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,91.3,88.7,15.2,0.412
monitor-worker-024,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,92.71,87.79,19.34,0.48
monitor-worker-025,control,0.0,0.12,0.18,0,0.35,0.35,83.1,83.48,10.44,0.176
monitor-worker-026,pay_only,0.2,0.12,0.18,0,0.35,0.35,86.7,87.48,10.44,0.226
monitor-worker-027,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,89.0,85.03,15.96,0.364
monitor-worker-028,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,93.1,89.38,16.2,0.412
monitor-worker-029,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,94.51,88.47,20.34,0.48
monitor-worker-030,control,0.0,0.12,0.18,0,0.42,0.42,84.9,85.56,11.44,0.176
monitor-worker-031,pay_only,0.2,0.12,0.18,0,0.42,0.42,88.5,89.56,11.44,0.226
monitor-worker-032,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,90.8,87.11,16.96,0.364
monitor-worker-033,pay_monitoring,0.2,0.6,0.5,0,0.42,0.415,94.9,91.46,17.2,0.412
monitor-worker-034,digital_dashboard,0.12,0.82,0.63,1,0.42,0.393,96.31,90.55,21.34,0.48
monitor-worker-035,control,0.0,0.12,0.18,0,0.49,0.49,86.7,87.64,12.44,0.176
monitor-worker-036,pay_only,0.2,0.12,0.18,0,0.49,0.49,90.3,91.64,12.44,0.226
monitor-worker-037,monitoring_only,0.0,0.58,0.44,0,0.49,0.487,92.6,89.19,17.96,0.364
monitor-worker-038,pay_monitoring,0.2,0.6,0.5,0,0.49,0.485,96.7,93.54,18.2,0.412
monitor-worker-039,digital_dashboard,0.12,0.82,0.63,1,0.49,0.463,98.11,92.63,22.34,0.48
monitor-worker-040,control,0.0,0.12,0.18,0,0.56,0.56,88.5,89.72,9.44,0.176
monitor-worker-041,pay_only,0.2,0.12,0.18,0,0.56,0.56,92.1,93.72,9.44,0.226
monitor-worker-042,monitoring_only,0.0,0.58,0.44,0,0.56,0.557,94.4,91.27,14.96,0.364
monitor-worker-043,pay_monitoring,0.2,0.6,0.5,0,0.56,0.555,98.5,95.62,15.2,0.412
monitor-worker-044,digital_dashboard,0.12,0.82,0.63,1,0.56,0.533,99.91,94.71,19.34,0.48
monitor-worker-045,control,0.0,0.12,0.18,0,0.63,0.63,74.1,75.6,10.44,0.176
monitor-worker-046,pay_only,0.2,0.12,0.18,0,0.63,0.63,77.7,79.6,10.44,0.226
monitor-worker-047,monitoring_only,0.0,0.58,0.44,0,0.63,0.627,80.0,77.15,15.96,0.364
monitor-worker-048,pay_monitoring,0.2,0.6,0.5,0,0.63,0.625,84.1,81.5,16.2,0.412
monitor-worker-049,digital_dashboard,0.12,0.82,0.63,1,0.63,0.603,85.51,80.59,20.34,0.48
monitor-worker-050,control,0.0,0.12,0.18,0,0.35,0.35,75.9,76.28,11.44,0.176
monitor-worker-051,pay_only,0.2,0.12,0.18,0,0.35,0.35,79.5,80.28,11.44,0.226
monitor-worker-052,monitoring_only,0.0,0.58,0.44,0,0.35,0.347,81.8,77.83,16.96,0.364
monitor-worker-053,pay_monitoring,0.2,0.6,0.5,0,0.35,0.345,85.9,82.18,17.2,0.412
monitor-worker-054,digital_dashboard,0.12,0.82,0.63,1,0.35,0.323,87.31,81.27,21.34,0.48
monitor-worker-055,control,0.0,0.12,0.18,0,0.42,0.42,77.7,78.36,12.44,0.176
monitor-worker-056,pay_only,0.2,0.12,0.18,0,0.42,0.42,81.3,82.36,12.44,0.226
monitor-worker-057,monitoring_only,0.0,0.58,0.44,0,0.42,0.417,83.6,79.91,17.96,0.364
