worker_id,regime,skill,relationship_capital,evaluation_weight,discretion,influence_activity,productive_effort,objective_output,subjective_rating,pay_index
eval-worker-000,objective_metric,0.78,0.2,0.15,0.1,4.3,74.55,58.15,0.617,38.53
eval-worker-001,subjective_low_discretion,0.78,0.2,0.38,0.32,4.76,72.34,56.42,0.998,39.71
eval-worker-002,subjective_high_discretion,0.78,0.2,0.62,0.58,5.24,72.12,56.26,1.543,44.22
eval-worker-003,objective_metric,0.815,0.28,0.15,0.1,5.62,74.51,61.1,0.701,40.56
eval-worker-004,subjective_low_discretion,0.815,0.28,0.38,0.32,6.26,72.22,59.22,1.206,42.16
eval-worker-005,subjective_high_discretion,0.815,0.28,0.62,0.58,6.94,71.92,58.97,1.931,47.91
eval-worker-006,objective_metric,0.85,0.36,0.15,0.1,6.94,74.48,64.05,0.784,42.57
eval-worker-007,subjective_low_discretion,0.85,0.36,0.38,0.32,7.77,72.1,62.01,1.414,44.61
eval-worker-008,subjective_high_discretion,0.85,0.36,0.62,0.58,8.63,71.72,61.68,2.319,51.59
eval-worker-009,objective_metric,0.885,0.44,0.15,0.1,4.66,76.06,68.46,0.749,45.4
eval-worker-010,subjective_low_discretion,0.885,0.44,0.38,0.32,5.67,73.61,66.25,1.218,46.76
eval-worker-011,subjective_high_discretion,0.885,0.44,0.62,0.58,6.73,73.13,65.82,1.967,52.54
eval-worker-012,objective_metric,0.92,0.52,0.15,0.1,5.98,76.03,59.3,0.744,39.44
eval-worker-013,subjective_low_discretion,0.92,0.52,0.38,0.32,7.18,73.49,57.32,1.341,41.34
eval-worker-014,subjective_high_discretion,0.92,0.52,0.62,0.58,8.42,72.93,56.88,2.27,48.23
eval-worker-015,objective_metric,0.955,0.6,0.15,0.1,7.3,76.0,62.32,0.828,41.5
eval-worker-016,subjective_low_discretion,0.955,0.6,0.38,0.32,8.68,73.37,60.17,1.549,43.82
eval-worker-017,subjective_high_discretion,0.955,0.6,0.62,0.58,10.12,72.73,59.64,2.658,51.95
eval-worker-018,objective_metric,0.99,0.2,0.15,0.1,4.3,77.91,67.0,0.682,44.37
eval-worker-019,subjective_low_discretion,0.99,0.2,0.38,0.32,4.76,75.7,65.1,1.062,45.54
