worker_id,shift_id,exposure_arm,baseline_skill,intrinsic_effort,peer_effort_norm,peer_visibility,learning_signal,social_pressure,effort_units,deviation_from_norm,social_penalty_index,productivity_value,attendance_index
peer-worker-000,shift-00,low_peer_visible,0.78,42.0,38.0,1,0.12,0.2,40.72,2.72,0.544,55.52,0.817
peer-worker-001,shift-01,average_peer_visible,0.78,42.0,45.0,1,0.12,0.18,42.9,2.1,0.378,57.29,0.818
peer-worker-002,shift-02,high_peer_hidden,0.78,42.0,53.0,0,0.22,0.04,44.42,8.58,0.0,58.65,0.82
peer-worker-003,shift-03,high_peer_visible,0.78,42.0,53.0,1,0.24,0.26,47.5,5.5,1.43,60.41,0.811
peer-worker-004,shift-04,low_peer_visible,0.815,43.5,38.0,1,0.12,0.2,42.27,4.27,0.854,58.07,0.827
peer-worker-005,shift-05,average_peer_visible,0.815,43.5,45.0,1,0.12,0.18,44.48,0.52,0.094,60.21,0.831
peer-worker-006,shift-06,high_peer_hidden,0.815,43.5,53.0,0,0.22,0.04,46.27,6.73,0.0,61.71,0.832
peer-worker-007,shift-07,high_peer_visible,0.815,43.5,53.0,1,0.24,0.26,48.96,4.04,1.05,63.43,0.826
peer-worker-008,shift-08,low_peer_visible,0.85,45.0,38.0,1,0.12,0.2,43.82,5.82,1.164,60.72,0.837
peer-worker-009,shift-09,average_peer_visible,0.85,45.0,45.0,1,0.12,0.18,46.06,1.06,0.191,63.07,0.843
peer-worker-010,shift-10,high_peer_hidden,0.85,45.0,53.0,0,0.22,0.04,48.12,4.88,0.0,64.9,0.844
peer-worker-011,shift-11,high_peer_visible,0.85,45.0,53.0,1,0.24,0.26,50.42,2.58,0.671,66.56,0.84
peer-worker-012,shift-12,low_peer_visible,0.885,46.5,38.0,1,0.12,0.2,45.37,7.37,1.474,63.49,0.847
peer-worker-013,shift-13,average_peer_visible,0.885,46.5,45.0,1,0.12,0.18,47.64,2.64,0.475,65.95,0.853
peer-worker-014,shift-14,high_peer_hidden,0.885,46.5,53.0,0,0.22,0.04,49.97,3.03,0.0,68.22,0.856
peer-worker-015,shift-15,high_peer_visible,0.885,46.5,53.0,1,0.24,0.26,51.88,1.12,0.291,69.78,0.854
peer-worker-016,shift-16,low_peer_visible,0.92,48.0,38.0,1,0.12,0.2,45.52,7.52,1.504,65.2,0.859
peer-worker-017,shift-17,average_peer_visible,0.92,48.0,45.0,1,0.12,0.18,47.82,2.82,0.508,67.77,0.865
peer-worker-018,shift-18,high_peer_hidden,0.92,48.0,53.0,0,0.22,0.04,50.42,2.58,0.0,70.39,0.868
peer-worker-019,shift-19,high_peer_visible,0.92,48.0,53.0,1,0.24,0.26,51.94,1.06,0.276,71.66,0.866
peer-worker-020,shift-20,low_peer_visible,0.955,49.5,38.0,1,0.12,0.2,47.07,9.07,1.814,68.14,0.809
peer-worker-021,shift-21,average_peer_visible,0.955,49.5,45.0,1,0.12,0.18,49.4,4.4,0.792,70.82,0.815
peer-worker-022,shift-22,high_peer_hidden,0.955,49.5,53.0,0,0.22,0.04,52.27,0.73,0.0,73.92,0.82
peer-worker-023,shift-23,high_peer_visible,0.955,49.5,53.0,1,0.24,0.26,53.4,0.4,0.104,74.95,0.819
peer-worker-024,shift-24,low_peer_visible,0.99,42.0,38.0,1,0.12,0.2,41.42,3.42,0.684,64.7,0.828
peer-worker-025,shift-25,average_peer_visible,0.99,42.0,45.0,1,0.12,0.18,43.6,1.4,0.252,67.05,0.83
peer-worker-026,shift-26,high_peer_hidden,0.99,42.0,53.0,0,0.22,0.04,45.12,7.88,0.0,68.67,0.832
peer-worker-027,shift-27,high_peer_visible,0.99,42.0,53.0,1,0.24,0.26,48.2,4.8,1.248,71.16,0.825
peer-worker-028,shift-28,low_peer_visible,1.025,43.5,38.0,1,0.12,0.2,42.97,4.97,0.994,67.6,0.838
peer-worker-029,shift-29,average_peer_visible,1.025,43.5,45.0,1,0.12,0.18,45.18,0.18,0.032,70.29,0.844
peer-worker-030,shift-30,high_peer_hidden,1.025,43.5,53.0,0,0.22,0.04,46.97,6.03,0.0,72.14,0.844
peer-worker-031,shift-31,high_peer_visible,1.025,43.5,53.0,1,0.24,0.26,49.66,3.34,0.868,74.51,0.839
peer-worker-032,shift-32,low_peer_visible,0.78,45.0,38.0,1,0.12,0.2,43.12,5.12,1.024,57.17,0.85
peer-worker-033,shift-33,average_peer_visible,0.78,45.0,45.0,1,0.12,0.18,45.36,0.36,0.065,59.35,0.856
peer-worker-034,shift-34,high_peer_hidden,0.78,45.0,53.0,0,0.22,0.04,47.42,5.58,0.0,60.99,0.856
peer-worker-035,shift-35,high_peer_visible,0.78,45.0,53.0,1,0.24,0.26,49.72,3.28,0.853,62.4,0.851
peer-worker-036,shift-36,low_peer_visible,0.815,46.5,38.0,1,0.12,0.2,44.67,6.67,1.334,59.81,0.86
peer-worker-037,shift-37,average_peer_visible,0.815,46.5,45.0,1,0.12,0.18,46.94,1.94,0.349,62.1,0.866
peer-worker-038,shift-38,high_peer_hidden,0.815,46.5,53.0,0,0.22,0.04,49.27,3.73,0.0,64.16,0.868
peer-worker-039,shift-39,high_peer_visible,0.815,46.5,53.0,1,0.24,0.26,51.18,1.82,0.473,65.5,0.865
peer-worker-040,shift-40,low_peer_visible,0.85,48.0,38.0,1,0.12,0.2,46.22,8.22,1.644,62.55,0.81
peer-worker-041,shift-41,average_peer_visible,0.85,48.0,45.0,1,0.12,0.18,48.52,3.52,0.634,64.96,0.816
peer-worker-042,shift-42,high_peer_hidden,0.85,48.0,53.0,0,0.22,0.04,51.12,1.88,0.0,67.45,0.82
peer-worker-043,shift-43,high_peer_visible,0.85,48.0,53.0,1,0.24,0.26,52.64,0.36,0.094,68.7,0.819
peer-worker-044,shift-44,low_peer_visible,0.885,49.5,38.0,1,0.12,0.2,47.77,9.77,1.954,65.4,0.82
peer-worker-045,shift-45,average_peer_visible,0.885,49.5,45.0,1,0.12,0.18,50.1,5.1,0.918,67.93,0.826
peer-worker-046,shift-46,high_peer_hidden,0.885,49.5,53.0,0,0.22,0.04,52.97,0.03,0.0,70.88,0.832
peer-worker-047,shift-47,high_peer_visible,0.885,49.5,53.0,1,0.24,0.26,54.1,1.1,0.286,71.75,0.83
peer-worker-048,shift-48,low_peer_visible,0.92,42.0,38.0,1,0.12,0.2,40.72,2.72,0.544,61.22,0.841
peer-worker-049,shift-49,average_peer_visible,0.92,42.0,45.0,1,0.12,0.18,42.9,2.1,0.378,63.3,0.842
peer-worker-050,shift-50,high_peer_hidden,0.92,42.0,53.0,0,0.22,0.04,44.42,8.58,0.0,64.87,0.844
peer-worker-051,shift-51,high_peer_visible,0.92,42.0,53.0,1,0.24,0.26,47.5,5.5,1.43,67.06,0.835
peer-worker-052,shift-52,low_peer_visible,0.955,43.5,38.0,1,0.12,0.2,42.27,4.27,0.854,63.98,0.851
peer-worker-053,shift-53,average_peer_visible,0.955,43.5,45.0,1,0.12,0.18,44.48,0.52,0.094,66.44,0.855
peer-worker-054,shift-54,high_peer_hidden,0.955,43.5,53.0,0,0.22,0.04,46.27,6.73,0.0,68.19,0.856
peer-worker-055,shift-55,high_peer_visible,0.955,43.5,53.0,1,0.24,0.26,48.96,4.04,1.05,70.28,0.85
peer-worker-056,shift-56,low_peer_visible,0.99,45.0,38.0,1,0.12,0.2,43.82,5.82,1.164,66.86,0.861
peer-worker-057,shift-57,average_peer_visible,0.99,45.0,45.0,1,0.12,0.18,46.06,1.06,0.191,69.51,0.867
peer-worker-058,shift-58,high_peer_hidden,0.99,45.0,53.0,0,0.22,0.04,48.12,4.88,0.0,71.64,0.868
peer-worker-059,shift-59,high_peer_visible,0.99,45.0,53.0,1,0.24,0.26,50.42,2.58,0.671,73.61,0.864
peer-worker-060,shift-00,low_peer_visible,1.025,46.5,38.0,1,0.12,0.2,45.37,7.37,1.474,69.84,0.811
peer-worker-061,shift-01,average_peer_visible,1.025,46.5,45.0,1,0.12,0.18,47.64,2.64,0.475,72.62,0.817
peer-worker-062,shift-02,high_peer_hidden,1.025,46.5,53.0,0,0.22,0.04,49.97,3.03,0.0,75.22,0.82
peer-worker-063,shift-03,high_peer_visible,1.025,46.5,53.0,1,0.24,0.26,51.88,1.12,0.291,77.05,0.818
peer-worker-064,shift-04,low_peer_visible,0.78,48.0,38.0,1,0.12,0.2,45.52,7.52,1.504,58.83,0.823
peer-worker-065,shift-05,average_peer_visible,0.78,48.0,45.0,1,0.12,0.18,47.82,2.82,0.508,61.07,0.829
peer-worker-066,shift-06,high_peer_hidden,0.78,48.0,53.0,0,0.22,0.04,50.42,2.58,0.0,63.33,0.832
peer-worker-067,shift-07,high_peer_visible,0.78,48.0,53.0,1,0.24,0.26,51.94,1.06,0.276,64.39,0.83
peer-worker-068,shift-08,low_peer_visible,0.815,49.5,38.0,1,0.12,0.2,47.07,9.07,1.814,61.55,0.833
peer-worker-069,shift-09,average_peer_visible,0.815,49.5,45.0,1,0.12,0.18,49.4,4.4,0.792,63.9,0.839
peer-worker-070,shift-10,high_peer_hidden,0.815,49.5,53.0,0,0.22,0.04,52.27,0.73,0.0,66.6,0.844
peer-worker-071,shift-11,high_peer_visible,0.815,49.5,53.0,1,0.24,0.26,53.4,0.4,0.104,67.47,0.843
peer-worker-072,shift-12,low_peer_visible,0.85,42.0,38.0,1,0.12,0.2,41.42,3.42,0.684,58.9,0.852
peer-worker-073,shift-13,average_peer_visible,0.85,42.0,45.0,1,0.12,0.18,43.6,1.4,0.252,60.95,0.854
peer-worker-074,shift-14,high_peer_hidden,0.85,42.0,53.0,0,0.22,0.04,45.12,7.88,0.0,62.35,0.856
peer-worker-075,shift-15,high_peer_visible,0.85,42.0,53.0,1,0.24,0.26,48.2,4.8,1.248,64.41,0.849
