culture_message,worker_type,applicants,culture_fit,apply_score,accept_score,expected_retention
neutral,career_accelerator,40,0.22000000000000003,0.7,0.621,0.653
neutral,flexibility_pref,40,0.22000000000000003,0.6985,0.621,0.653
neutral,mission_fit,40,0.22000000000000003,0.7005,0.621,0.653
neutral,team_oriented,40,0.22000000000000003,0.7015,0.621,0.653
collaborative,career_accelerator,40,0.18,0.6625,0.619,0.639
collaborative,flexibility_pref,40,0.18,0.6575,0.619,0.639
collaborative,mission_fit,40,0.18,0.6595,0.619,0.639
collaborative,team_oriented,40,0.42000000000000004,0.9004999999999999,0.751,0.719
competitive,career_accelerator,40,0.4,0.8815,0.76,0.712
competitive,flexibility_pref,40,0.18,0.6599999999999999,0.639,0.639
competitive,mission_fit,40,0.18,0.6585,0.639,0.639
competitive,team_oriented,40,0.18,0.6595,0.639,0.639
flexible,career_accelerator,40,0.18,0.6605000000000001,0.659,0.639
flexible,flexibility_pref,40,0.44000000000000006,0.9225,0.8019999999999999,0.725
flexible,mission_fit,40,0.18,0.6575,0.659,0.639
flexible,team_oriented,40,0.18,0.6585,0.659,0.639
inclusive_growth,career_accelerator,40,0.18,0.6595,0.679,0.639
inclusive_growth,flexibility_pref,40,0.18,0.6615,0.679,0.639
inclusive_growth,mission_fit,40,0.39,0.8699999999999999,0.794,0.709
inclusive_growth,team_oriented,40,0.39,0.8675,0.794,0.709
