applicant_id,culture_message,worker_type,baseline_interest,culture_fit,apply_score,accept_score,expected_retention
culture-app-000,neutral,team_oriented,0.42,0.22,0.64,0.621,0.653
culture-app-001,collaborative,team_oriented,0.44,0.42,0.86,0.751,0.719
culture-app-002,competitive,team_oriented,0.46,0.18,0.64,0.639,0.639
culture-app-003,flexible,team_oriented,0.48,0.18,0.66,0.659,0.639
culture-app-004,inclusive_growth,team_oriented,0.5,0.39,0.89,0.794,0.709
culture-app-005,neutral,career_accelerator,0.52,0.22,0.74,0.621,0.653
culture-app-006,collaborative,career_accelerator,0.54,0.18,0.72,0.619,0.639
culture-app-007,competitive,career_accelerator,0.42,0.4,0.82,0.76,0.712
culture-app-008,flexible,career_accelerator,0.44,0.18,0.62,0.659,0.639
culture-app-009,inclusive_growth,career_accelerator,0.46,0.18,0.64,0.679,0.639
culture-app-010,neutral,flexibility_pref,0.48,0.22,0.7,0.621,0.653
culture-app-011,collaborative,flexibility_pref,0.5,0.18,0.68,0.619,0.639
culture-app-012,competitive,flexibility_pref,0.52,0.18,0.7,0.639,0.639
culture-app-013,flexible,flexibility_pref,0.54,0.44,0.98,0.802,0.725
culture-app-014,inclusive_growth,flexibility_pref,0.42,0.18,0.6,0.679,0.639
culture-app-015,neutral,mission_fit,0.44,0.22,0.66,0.621,0.653
culture-app-016,collaborative,mission_fit,0.46,0.18,0.64,0.619,0.639
culture-app-017,competitive,mission_fit,0.48,0.18,0.66,0.639,0.639
culture-app-018,flexible,mission_fit,0.5,0.18,0.68,0.659,0.639
culture-app-019,inclusive_growth,mission_fit,0.52,0.39,0.91,0.794,0.709
culture-app-020,neutral,team_oriented,0.54,0.22,0.76,0.621,0.653
culture-app-021,collaborative,team_oriented,0.42,0.42,0.84,0.751,0.719
culture-app-022,competitive,team_oriented,0.44,0.18,0.62,0.639,0.639
culture-app-023,flexible,team_oriented,0.46,0.18,0.64,0.659,0.639
culture-app-024,inclusive_growth,team_oriented,0.48,0.39,0.87,0.794,0.709
culture-app-025,neutral,career_accelerator,0.5,0.22,0.72,0.621,0.653
culture-app-026,collaborative,career_accelerator,0.52,0.18,0.7,0.619,0.639
culture-app-027,competitive,career_accelerator,0.54,0.4,0.94,0.76,0.712
culture-app-028,flexible,career_accelerator,0.42,0.18,0.6,0.659,0.639
culture-app-029,inclusive_growth,career_accelerator,0.44,0.18,0.62,0.679,0.639
culture-app-030,neutral,flexibility_pref,0.46,0.22,0.68,0.621,0.653
culture-app-031,collaborative,flexibility_pref,0.48,0.18,0.66,0.619,0.639
culture-app-032,competitive,flexibility_pref,0.5,0.18,0.68,0.639,0.639
culture-app-033,flexible,flexibility_pref,0.52,0.44,0.96,0.802,0.725
culture-app-034,inclusive_growth,flexibility_pref,0.54,0.18,0.72,0.679,0.639
culture-app-035,neutral,mission_fit,0.42,0.22,0.64,0.621,0.653
culture-app-036,collaborative,mission_fit,0.44,0.18,0.62,0.619,0.639
culture-app-037,competitive,mission_fit,0.46,0.18,0.64,0.639,0.639
culture-app-038,flexible,mission_fit,0.48,0.18,0.66,0.659,0.639
culture-app-039,inclusive_growth,mission_fit,0.5,0.39,0.89,0.794,0.709
culture-app-040,neutral,team_oriented,0.52,0.22,0.74,0.621,0.653
culture-app-041,collaborative,team_oriented,0.54,0.42,0.96,0.751,0.719
culture-app-042,competitive,team_oriented,0.42,0.18,0.6,0.639,0.639
culture-app-043,flexible,team_oriented,0.44,0.18,0.62,0.659,0.639
culture-app-044,inclusive_growth,team_oriented,0.46,0.39,0.85,0.794,0.709
culture-app-045,neutral,career_accelerator,0.48,0.22,0.7,0.621,0.653
