worker_id,manager_norm,baseline_performance,prior_team_culture,support_index,promotion_standard,conformity_pressure,culture_alignment,promotion_score,retention_index,local_norm_shift
manager-worker-000,supportive_growth,72.0,0.44,0.72,0.48,0.16,0.465,80.57,0.79,0.025
manager-worker-001,traditional_gatekeeping,72.0,0.44,0.3,0.68,0.36,0.282,69.29,0.653,-0.158
manager-worker-002,high_pressure_merit,72.0,0.44,0.48,0.76,0.42,0.334,71.67,0.686,-0.106
manager-worker-003,supportive_growth,73.6,0.48,0.72,0.48,0.16,0.487,82.28,0.792,0.007
manager-worker-004,traditional_gatekeeping,73.6,0.48,0.3,0.68,0.36,0.304,71.0,0.656,-0.176
manager-worker-005,high_pressure_merit,73.6,0.48,0.48,0.76,0.42,0.356,73.38,0.688,-0.124
manager-worker-006,supportive_growth,75.2,0.52,0.72,0.48,0.16,0.509,83.99,0.794,-0.011
manager-worker-007,traditional_gatekeeping,75.2,0.52,0.3,0.68,0.36,0.326,72.71,0.658,-0.194
manager-worker-008,high_pressure_merit,75.2,0.52,0.48,0.76,0.42,0.378,75.09,0.69,-0.142
manager-worker-009,supportive_growth,76.8,0.56,0.72,0.48,0.16,0.531,85.7,0.797,-0.029
manager-worker-010,traditional_gatekeeping,76.8,0.56,0.3,0.68,0.36,0.348,74.42,0.661,-0.212
manager-worker-011,high_pressure_merit,76.8,0.56,0.48,0.76,0.42,0.4,76.8,0.693,-0.16
manager-worker-012,supportive_growth,78.4,0.6,0.72,0.48,0.16,0.553,87.41,0.799,-0.047
manager-worker-013,traditional_gatekeeping,78.4,0.6,0.3,0.68,0.36,0.37,76.13,0.663,-0.23
manager-worker-014,high_pressure_merit,78.4,0.6,0.48,0.76,0.42,0.422,78.51,0.695,-0.178
manager-worker-015,supportive_growth,80.0,0.64,0.72,0.48,0.16,0.575,89.12,0.802,-0.065
manager-worker-016,traditional_gatekeeping,80.0,0.64,0.3,0.68,0.36,0.392,77.84,0.666,-0.248
manager-worker-017,high_pressure_merit,80.0,0.64,0.48,0.76,0.42,0.444,80.22,0.698,-0.196
manager-worker-018,supportive_growth,81.6,0.44,0.72,0.48,0.16,0.465,90.17,0.79,0.025
manager-worker-019,traditional_gatekeeping,81.6,0.44,0.3,0.68,0.36,0.282,78.89,0.653,-0.158
manager-worker-020,high_pressure_merit,81.6,0.44,0.48,0.76,0.42,0.334,81.27,0.686,-0.106
manager-worker-021,supportive_growth,83.2,0.48,0.72,0.48,0.16,0.487,91.88,0.792,0.007
manager-worker-022,traditional_gatekeeping,83.2,0.48,0.3,0.68,0.36,0.304,80.6,0.656,-0.176
manager-worker-023,high_pressure_merit,83.2,0.48,0.48,0.76,0.42,0.356,82.98,0.688,-0.124
manager-worker-024,supportive_growth,84.8,0.52,0.72,0.48,0.16,0.509,93.59,0.794,-0.011
manager-worker-025,traditional_gatekeeping,84.8,0.52,0.3,0.68,0.36,0.326,82.31,0.658,-0.194
manager-worker-026,high_pressure_merit,84.8,0.52,0.48,0.76,0.42,0.378,84.69,0.69,-0.142
manager-worker-027,supportive_growth,72.0,0.56,0.72,0.48,0.16,0.531,80.9,0.797,-0.029
manager-worker-028,traditional_gatekeeping,72.0,0.56,0.3,0.68,0.36,0.348,69.62,0.661,-0.212
manager-worker-029,high_pressure_merit,72.0,0.56,0.48,0.76,0.42,0.4,72.0,0.693,-0.16
manager-worker-030,supportive_growth,73.6,0.6,0.72,0.48,0.16,0.553,82.61,0.799,-0.047
manager-worker-031,traditional_gatekeeping,73.6,0.6,0.3,0.68,0.36,0.37,71.33,0.663,-0.23
manager-worker-032,high_pressure_merit,73.6,0.6,0.48,0.76,0.42,0.422,73.71,0.695,-0.178
manager-worker-033,supportive_growth,75.2,0.64,0.72,0.48,0.16,0.575,84.32,0.802,-0.065
manager-worker-034,traditional_gatekeeping,75.2,0.64,0.3,0.68,0.36,0.392,73.04,0.666,-0.248
manager-worker-035,high_pressure_merit,75.2,0.64,0.48,0.76,0.42,0.444,75.42,0.698,-0.196
manager-worker-036,supportive_growth,76.8,0.44,0.72,0.48,0.16,0.465,85.37,0.79,0.025
manager-worker-037,traditional_gatekeeping,76.8,0.44,0.3,0.68,0.36,0.282,74.09,0.653,-0.158
manager-worker-038,high_pressure_merit,76.8,0.44,0.48,0.76,0.42,0.334,76.47,0.686,-0.106
manager-worker-039,supportive_growth,78.4,0.48,0.72,0.48,0.16,0.487,87.08,0.792,0.007
manager-worker-040,traditional_gatekeeping,78.4,0.48,0.3,0.68,0.36,0.304,75.8,0.656,-0.176
manager-worker-041,high_pressure_merit,78.4,0.48,0.48,0.76,0.42,0.356,78.18,0.688,-0.124
manager-worker-042,supportive_growth,80.0,0.52,0.72,0.48,0.16,0.509,88.79,0.794,-0.011
manager-worker-043,traditional_gatekeeping,80.0,0.52,0.3,0.68,0.36,0.326,77.51,0.658,-0.194
manager-worker-044,high_pressure_merit,80.0,0.52,0.48,0.76,0.42,0.378,79.89,0.69,-0.142
manager-worker-045,supportive_growth,81.6,0.56,0.72,0.48,0.16,0.531,90.5,0.797,-0.029
manager-worker-046,traditional_gatekeeping,81.6,0.56,0.3,0.68,0.36,0.348,79.22,0.661,-0.212
manager-worker-047,high_pressure_merit,81.6,0.56,0.48,0.76,0.42,0.4,81.6,0.693,-0.16
manager-worker-048,supportive_growth,83.2,0.6,0.72,0.48,0.16,0.553,92.21,0.799,-0.047
manager-worker-049,traditional_gatekeeping,83.2,0.6,0.3,0.68,0.36,0.37,80.93,0.663,-0.23
manager-worker-050,high_pressure_merit,83.2,0.6,0.48,0.76,0.42,0.422,83.31,0.695,-0.178
manager-worker-051,supportive_growth,84.8,0.64,0.72,0.48,0.16,0.575,93.92,0.802,-0.065
manager-worker-052,traditional_gatekeeping,84.8,0.64,0.3,0.68,0.36,0.392,82.64,0.666,-0.248
manager-worker-053,high_pressure_merit,84.8,0.64,0.48,0.76,0.42,0.444,85.02,0.698,-0.196
manager-worker-054,supportive_growth,72.0,0.44,0.72,0.48,0.16,0.465,80.57,0.79,0.025
manager-worker-055,traditional_gatekeeping,72.0,0.44,0.3,0.68,0.36,0.282,69.29,0.653,-0.158
manager-worker-056,high_pressure_merit,72.0,0.44,0.48,0.76,0.42,0.334,71.67,0.686,-0.106
manager-worker-057,supportive_growth,73.6,0.48,0.72,0.48,0.16,0.487,82.28,0.792,0.007
manager-worker-058,traditional_gatekeeping,73.6,0.48,0.3,0.68,0.36,0.304,71.0,0.656,-0.176
manager-worker-059,high_pressure_merit,73.6,0.48,0.48,0.76,0.42,0.356,73.38,0.688,-0.124
manager-worker-060,supportive_growth,75.2,0.52,0.72,0.48,0.16,0.509,83.99,0.794,-0.011
manager-worker-061,traditional_gatekeeping,75.2,0.52,0.3,0.68,0.36,0.326,72.71,0.658,-0.194
manager-worker-062,high_pressure_merit,75.2,0.52,0.48,0.76,0.42,0.378,75.09,0.69,-0.142
manager-worker-063,supportive_growth,76.8,0.56,0.72,0.48,0.16,0.531,85.7,0.797,-0.029
manager-worker-064,traditional_gatekeeping,76.8,0.56,0.3,0.68,0.36,0.348,74.42,0.661,-0.212
manager-worker-065,high_pressure_merit,76.8,0.56,0.48,0.76,0.42,0.4,76.8,0.693,-0.16
manager-worker-066,supportive_growth,78.4,0.6,0.72,0.48,0.16,0.553,87.41,0.799,-0.047
manager-worker-067,traditional_gatekeeping,78.4,0.6,0.3,0.68,0.36,0.37,76.13,0.663,-0.23
manager-worker-068,high_pressure_merit,78.4,0.6,0.48,0.76,0.42,0.422,78.51,0.695,-0.178
manager-worker-069,supportive_growth,80.0,0.64,0.72,0.48,0.16,0.575,89.12,0.802,-0.065
manager-worker-070,traditional_gatekeeping,80.0,0.64,0.3,0.68,0.36,0.392,77.84,0.666,-0.248
