worker_id,comparison_arm,wage,peer_ref_wage,manager_ref_wage,comparison_info,transparency_depth,peer_gap,manager_gap,fairness_cost,morale_index,effort_units,quit_intent
fair-worker-000,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,51.66,0.1
fair-worker-001,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.0,51.0,0.1
fair-worker-002,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,73.27,48.29,0.183
fair-worker-003,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,72.33,48.11,0.202
fair-worker-004,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,78.94,50.57,0.129
fair-worker-005,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,51.91,0.1
fair-worker-006,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.4,51.41,0.1
fair-worker-007,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.07,49.14,0.169
fair-worker-008,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.18,48.97,0.188
fair-worker-009,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.57,50.92,0.127
fair-worker-010,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,52.16,0.1
fair-worker-011,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,82.8,51.83,0.1
fair-worker-012,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,76.87,49.99,0.156
fair-worker-013,manager_salary_info,18.8,19.2,29.0,1,0.85,0.4,10.2,1.167,76.03,49.84,0.174
fair-worker-014,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,80.2,51.27,0.125
fair-worker-015,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,52.41,0.1
fair-worker-016,underpaid_hidden,18.9,19.2,29.0,0,0.0,0.3,10.1,0.0,83.2,52.24,0.1
fair-worker-017,underpaid_informed,18.9,19.2,29.0,1,0.55,0.3,10.1,0.781,78.67,50.84,0.143
fair-worker-018,manager_salary_info,19.1,19.2,29.0,1,0.85,0.1,9.9,0.917,77.88,50.71,0.16
fair-worker-019,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,80.14,51.32,0.129
fair-worker-020,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.66,0.1
fair-worker-021,underpaid_hidden,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.0,52.66,0.1
fair-worker-022,underpaid_informed,19.2,19.2,29.0,1,0.55,0.0,9.8,0.539,78.87,51.69,0.13
fair-worker-023,manager_salary_info,19.4,19.2,29.0,1,0.85,0.0,9.6,0.816,77.27,51.3,0.155
fair-worker-024,compressed_pay,19.0,19.05,29.0,1,0.45,0.05,10.0,0.488,79.17,51.67,0.127
fair-worker-025,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.4,52.91,0.1
fair-worker-026,underpaid_hidden,18.0,19.2,29.0,0,0.0,1.2,11.0,0.0,82.4,52.25,0.1
fair-worker-027,underpaid_informed,18.0,19.2,29.0,1,0.55,1.2,11.0,1.505,73.67,49.54,0.183
fair-worker-028,manager_salary_info,18.2,19.2,29.0,1,0.85,1.0,10.8,1.668,72.73,49.36,0.202
fair-worker-029,compressed_pay,19.05,19.05,29.0,1,0.45,0.0,9.95,0.448,79.8,52.02,0.125
fair-worker-030,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,82.8,51.66,0.1
fair-worker-031,underpaid_hidden,18.3,19.2,29.0,0,0.0,0.9,10.7,0.0,82.8,51.16,0.1
fair-worker-032,underpaid_informed,18.3,19.2,29.0,1,0.55,0.9,10.7,1.263,75.47,48.89,0.169
fair-worker-033,manager_salary_info,18.5,19.2,29.0,1,0.85,0.7,10.5,1.417,74.58,48.72,0.188
fair-worker-034,compressed_pay,18.95,19.05,29.0,1,0.45,0.1,10.05,0.527,79.74,50.57,0.129
fair-worker-035,equal_pay,19.2,19.2,29.0,0,0.0,0.0,9.8,0.0,83.2,51.91,0.1
fair-worker-036,underpaid_hidden,18.6,19.2,29.0,0,0.0,0.6,10.4,0.0,83.2,51.58,0.1
fair-worker-037,underpaid_informed,18.6,19.2,29.0,1,0.55,0.6,10.4,1.022,77.27,49.74,0.156
