worker_id,week,arm,at_risk,exit_this_week,hazard_probability,belief_this_week,applications_this_week
search-worker-000,1,control,1,0,0.147,0.242,1.82
search-worker-000,2,control,1,0,0.163,0.25,1.71
search-worker-000,3,control,1,0,0.175,0.258,1.58
search-worker-000,4,control,1,0,0.187,0.266,1.46
search-worker-000,5,control,1,0,0.199,0.274,1.34
search-worker-000,6,control,1,1,0.211,0.282,1.23
search-worker-001,1,belief_info,1,0,0.196,0.372,3.64
search-worker-001,2,belief_info,1,0,0.212,0.381,3.52
search-worker-001,3,belief_info,1,0,0.224,0.389,3.4
search-worker-001,4,belief_info,1,1,0.236,0.396,3.28
search-worker-002,1,planning_prompt,1,0,0.199,0.317,3.92
search-worker-002,2,planning_prompt,1,1,0.215,0.325,3.79
search-worker-003,1,belief_planning,1,0,0.23,0.408,5.02
search-worker-003,2,belief_planning,1,0,0.246,0.416,4.9
search-worker-003,3,belief_planning,1,0,0.258,0.424,4.78
search-worker-003,4,belief_planning,1,0,0.27,0.432,4.66
search-worker-003,5,belief_planning,1,0,0.282,0.44,4.54
search-worker-003,6,belief_planning,1,1,0.294,0.448,4.42
search-worker-004,1,control,1,0,0.15,0.263,2.4
search-worker-004,2,control,1,0,0.166,0.271,2.28
search-worker-004,3,control,1,0,0.182,0.279,2.16
search-worker-004,4,control,1,1,0.194,0.287,2.04
search-worker-005,1,belief_info,1,1,0.199,0.394,4.22
search-worker-006,1,planning_prompt,1,0,0.202,0.338,4.49
search-worker-006,2,planning_prompt,1,0,0.218,0.346,4.37
search-worker-006,3,planning_prompt,1,0,0.234,0.354,4.25
search-worker-006,4,planning_prompt,1,0,0.246,0.362,4.13
search-worker-006,5,planning_prompt,1,1,0.258,0.37,4.01
search-worker-007,1,belief_planning,1,0,0.233,0.429,5.59
search-worker-007,2,belief_planning,1,0,0.249,0.437,5.47
search-worker-007,3,belief_planning,1,1,0.265,0.445,5.35
search-worker-008,1,control,1,1,0.153,0.284,2.98
search-worker-009,1,belief_info,1,0,0.203,0.415,4.79
search-worker-009,2,belief_info,1,0,0.219,0.423,4.67
search-worker-009,3,belief_info,1,0,0.235,0.431,4.55
search-worker-009,4,belief_info,1,1,0.251,0.439,4.43
search-worker-010,1,planning_prompt,1,0,0.205,0.359,5.07
search-worker-010,2,planning_prompt,1,1,0.221,0.367,4.95
search-worker-011,1,belief_planning,1,0,0.236,0.45,6.17
search-worker-011,2,belief_planning,1,0,0.252,0.458,6.05
search-worker-011,3,belief_planning,1,0,0.268,0.466,5.93
search-worker-011,4,belief_planning,1,0,0.284,0.474,5.81
search-worker-011,5,belief_planning,1,0,0.296,0.482,5.69
search-worker-011,6,belief_planning,1,1,0.308,0.49,5.57
search-worker-012,1,control,1,0,0.155,0.293,3.55
search-worker-012,2,control,1,0,0.171,0.301,3.43
