worker_id,arm,treated,information_content,planning_support,salience_boost,baseline_belief,post_belief,baseline_applications,applications_week1,search_plan_score,search_cost_index,prior_duration_weeks,exit_by_week4,observed_duration_weeks,censored_at_week8
search-worker-000,control,0,0.0,0.0,0.0,0.24,0.234,2.0,1.82,40.75,0.25,2,0,6,0
search-worker-001,belief_info,1,1.0,0.2,0.35,0.24,0.364,2.0,3.64,52.25,0.25,2,1,4,0
search-worker-002,planning_prompt,1,0.25,1.0,0.45,0.24,0.309,2.0,3.92,57.42,0.25,2,1,2,0
search-worker-003,belief_planning,1,1.0,1.0,0.65,0.24,0.4,2.0,5.02,63.85,0.25,2,0,6,0
search-worker-004,control,0,0.0,0.0,0.0,0.258,0.255,2.45,2.4,41.18,0.285,3,1,4,0
search-worker-005,belief_info,1,1.0,0.2,0.35,0.258,0.386,2.45,4.22,52.68,0.285,3,1,1,0
search-worker-006,planning_prompt,1,0.25,1.0,0.45,0.258,0.33,2.45,4.49,57.85,0.285,3,0,5,0
search-worker-007,belief_planning,1,1.0,1.0,0.65,0.258,0.421,2.45,5.59,64.27,0.285,3,1,3,0
search-worker-008,control,0,0.0,0.0,0.0,0.276,0.276,2.9,2.98,41.6,0.32,4,1,1,0
search-worker-009,belief_info,1,1.0,0.2,0.35,0.276,0.407,2.9,4.79,53.1,0.32,4,1,4,0
search-worker-010,planning_prompt,1,0.25,1.0,0.45,0.276,0.351,2.9,5.07,58.27,0.32,4,1,2,0
search-worker-011,belief_planning,1,1.0,1.0,0.65,0.276,0.442,2.9,6.17,64.7,0.32,4,0,6,0
search-worker-012,control,0,0.0,0.0,0.0,0.294,0.285,3.35,3.55,42.02,0.355,5,1,4,0
search-worker-013,belief_info,1,1.0,0.2,0.35,0.294,0.416,3.35,5.37,53.52,0.355,5,1,2,0
search-worker-014,planning_prompt,1,0.25,1.0,0.45,0.294,0.36,3.35,5.64,58.7,0.355,5,0,5,0
search-worker-015,belief_planning,1,1.0,1.0,0.65,0.294,0.451,3.35,6.74,65.12,0.355,5,1,3,0
search-worker-016,control,0,0.0,0.0,0.0,0.312,0.306,3.8,3.53,42.45,0.39,6,1,1,0
search-worker-017,belief_info,1,1.0,0.2,0.35,0.312,0.437,3.8,5.34,53.95,0.39,6,0,5,0
search-worker-018,planning_prompt,1,0.25,1.0,0.45,0.312,0.381,3.8,5.62,59.12,0.39,6,1,2,0
search-worker-019,belief_planning,1,1.0,1.0,0.65,0.312,0.472,3.8,6.72,65.55,0.39,6,1,1,0
search-worker-020,control,0,0.0,0.0,0.0,0.33,0.327,2.0,1.85,42.88,0.425,7,1,4,0
search-worker-021,belief_info,1,1.0,0.2,0.35,0.33,0.458,2.0,3.67,54.38,0.425,7,1,2,0
search-worker-022,planning_prompt,1,0.25,1.0,0.45,0.33,0.402,2.0,3.94,59.55,0.425,7,0,6,0
search-worker-023,belief_planning,1,1.0,1.0,0.65,0.33,0.494,2.0,5.05,65.97,0.425,7,1,3,0
search-worker-024,control,0,0.0,0.0,0.0,0.348,0.336,2.45,2.43,39.7,0.46,2,1,1,0
