arm,week,at_risk,exits,mean_model_hazard,mean_belief,mean_applications,observed_hazard
control,1,200,32,0.153295,0.32364,2.8645,0.16
control,2,168,32,0.16870833333333332,0.3299404761904762,2.7016666666666667,0.19047619047619047
control,3,136,32,0.18434558823529412,0.33858823529411763,2.5980147058823526,0.23529411764705882
control,4,104,40,0.1983076923076923,0.34483653846153844,2.435480769230769,0.38461538461538464
control,5,64,32,0.211609375,0.3510625,2.2721875,0.5
control,6,32,32,0.2265,0.3635,2.2646875,1.0
belief_info,1,200,40,0.20268,0.45442,4.68125,0.2
belief_info,2,160,32,0.2185875,0.462425,4.561249999999999,0.2
belief_info,3,128,40,0.233546875,0.4693203125,4.413125,0.3125
belief_info,4,88,32,0.2479772727272727,0.47675,4.280340909090909,0.36363636363636365
belief_info,5,56,32,0.2634821428571429,0.4890357142857143,4.265535714285714,0.5714285714285714
belief_info,6,24,24,0.278125,0.500375,4.23125,1.0
planning_prompt,1,200,37,0.20520499999999997,0.39863,4.95425,0.185
planning_prompt,2,163,40,0.2208711656441718,0.40546625766871164,4.8279141104294485,0.24539877300613497
planning_prompt,3,123,32,0.23617886178861788,0.4131138211382114,4.7056910569105685,0.2601626016260163
planning_prompt,4,91,32,0.2518241758241758,0.4237582417582417,4.662197802197802,0.3516483516483517
planning_prompt,5,59,32,0.2662372881355932,0.4323728813559322,4.5794915254237285,0.5423728813559322
planning_prompt,6,27,27,0.27714814814814814,0.43177777777777776,4.317407407407408,1.0
belief_planning,1,200,51,0.235945,0.48988,6.0575,0.255
belief_planning,2,149,32,0.25112751677852346,0.4951073825503356,5.886778523489933,0.21476510067114093
belief_planning,3,117,32,0.2671965811965812,0.5047777777777778,5.814444444444444,0.27350427350427353
belief_planning,4,85,32,0.2817176470588236,0.5123647058823529,5.692941176470588,0.3764705882352941
belief_planning,5,53,40,0.2934905660377358,0.5139622641509434,5.434528301886793,0.7547169811320755
belief_planning,6,13,13,0.29976923076923073,0.4977692307692308,4.876153846153846,1.0
