worker_id,arm,baseline_skill,reciprocity_index,social_preference_weight,gift_value,piece_rate,employer_effort,effort_minutes,output_units,quality_score,value_created
gift-worker-000,control,0.78,0.18,0.2,0.0,0.0,0.0,38.4,53.95,0.722,38.97
gift-worker-001,cash_gift,0.78,0.18,0.2,1.0,0.0,0.0,39.75,55.01,0.712,39.19
gift-worker-002,noncash_gift,0.78,0.18,0.2,0.85,0.0,0.25,40.92,55.92,0.727,40.68
gift-worker-003,piece_rate,0.78,0.18,0.2,0.0,0.22,0.0,41.04,57.33,0.722,41.42
gift-worker-004,employer_return,0.78,0.18,0.2,0.65,0.0,0.55,42.3,57.0,0.733,41.8
gift-worker-005,control,0.815,0.27,0.26,0.0,0.0,0.0,38.92,55.72,0.758,42.24
gift-worker-006,cash_gift,0.815,0.27,0.26,1.0,0.0,0.0,40.95,57.37,0.748,42.92
gift-worker-007,noncash_gift,0.815,0.27,0.26,0.85,0.0,0.25,42.02,58.24,0.763,44.45
gift-worker-008,piece_rate,0.815,0.27,0.26,0.0,0.22,0.0,41.56,59.19,0.758,44.87
gift-worker-009,employer_return,0.815,0.27,0.26,0.65,0.0,0.55,43.26,59.26,0.769,45.58
gift-worker-010,control,0.85,0.36,0.32,0.0,0.0,0.0,39.44,57.52,0.794,45.66
gift-worker-011,cash_gift,0.85,0.36,0.32,1.0,0.0,0.0,42.14,59.82,0.784,46.89
gift-worker-012,noncash_gift,0.85,0.36,0.32,0.85,0.0,0.25,43.11,60.64,0.799,48.44
gift-worker-013,piece_rate,0.85,0.36,0.32,0.0,0.22,0.0,42.08,61.09,0.794,48.49
gift-worker-014,employer_return,0.85,0.36,0.32,0.65,0.0,0.55,44.22,61.59,0.805,49.57
gift-worker-015,control,0.885,0.45,0.38,0.0,0.0,0.0,39.96,59.36,0.83,49.25
gift-worker-016,cash_gift,0.885,0.45,0.38,1.0,0.0,0.0,43.34,62.35,0.82,51.1
gift-worker-017,noncash_gift,0.885,0.45,0.38,0.85,0.0,0.25,44.2,63.12,0.835,52.68
gift-worker-018,piece_rate,0.885,0.45,0.38,0.0,0.22,0.0,42.6,63.02,0.83,52.28
gift-worker-019,employer_return,0.885,0.45,0.38,0.65,0.0,0.55,45.18,63.98,0.841,53.78
gift-worker-020,control,0.92,0.54,0.44,0.0,0.0,0.0,40.48,61.24,0.865,52.99
gift-worker-021,cash_gift,0.92,0.54,0.44,1.0,0.0,0.0,44.53,64.97,0.855,55.57
gift-worker-022,noncash_gift,0.92,0.54,0.44,0.85,0.0,0.25,45.3,65.67,0.87,57.15
gift-worker-023,piece_rate,0.92,0.54,0.44,0.0,0.22,0.0,43.12,64.99,0.865,56.23
gift-worker-024,employer_return,0.92,0.54,0.44,0.65,0.0,0.55,46.14,66.45,0.876,58.23
gift-worker-025,control,0.955,0.63,0.5,0.0,0.0,0.0,39.0,61.25,0.726,44.46
gift-worker-026,cash_gift,0.955,0.63,0.5,1.0,0.0,0.0,43.73,65.76,0.716,47.08
gift-worker-027,noncash_gift,0.955,0.63,0.5,0.85,0.0,0.25,44.39,66.39,0.731,48.53
gift-worker-028,piece_rate,0.955,0.63,0.5,0.0,0.22,0.0,41.64,65.09,0.726,47.25
gift-worker-029,employer_return,0.955,0.63,0.5,0.65,0.0,0.55,45.1,67.07,0.737,49.43
gift-worker-030,control,0.99,0.72,0.2,0.0,0.0,0.0,38.8,62.41,0.757,47.27
gift-worker-031,cash_gift,0.99,0.72,0.2,1.0,0.0,0.0,44.2,67.76,0.747,50.64
gift-worker-032,noncash_gift,0.99,0.72,0.2,0.85,0.0,0.25,44.77,68.32,0.762,52.09
gift-worker-033,piece_rate,0.99,0.72,0.2,0.0,0.22,0.0,41.44,66.35,0.757,50.25
