worker_id,knowledge_group,desired_earnings,observed_earnings,kink,schedule_knowledge,adjustment_cost,distance_to_kink,phaseout_rate
schedule-worker-000,high_knowledge,16600,16600.0,20000.0,0.78,0.18,-3400.0,0.0
schedule-worker-001,low_knowledge,16600,16600.0,20000.0,0.28,0.18,-3400.0,0.0
schedule-worker-002,low_knowledge,16600,16600.0,20000.0,0.28,0.18,-3400.0,0.0
schedule-worker-003,high_knowledge,16697,16697.0,20000.0,0.78,0.198,-3303.0,0.0
schedule-worker-004,low_knowledge,16697,16697.0,20000.0,0.28,0.198,-3303.0,0.0
schedule-worker-005,low_knowledge,16697,16697.0,20000.0,0.28,0.198,-3303.0,0.0
schedule-worker-006,high_knowledge,16794,16794.0,20000.0,0.78,0.216,-3206.0,0.0
schedule-worker-007,low_knowledge,16794,16794.0,20000.0,0.28,0.216,-3206.0,0.0
schedule-worker-008,low_knowledge,16794,16794.0,20000.0,0.28,0.216,-3206.0,0.0
schedule-worker-009,high_knowledge,16891,16891.0,20000.0,0.78,0.234,-3109.0,0.0
schedule-worker-010,low_knowledge,16891,16891.0,20000.0,0.28,0.234,-3109.0,0.0
schedule-worker-011,low_knowledge,16891,16891.0,20000.0,0.28,0.234,-3109.0,0.0
schedule-worker-012,high_knowledge,16988,16988.0,20000.0,0.78,0.252,-3012.0,0.0
schedule-worker-013,low_knowledge,16988,16988.0,20000.0,0.28,0.252,-3012.0,0.0
schedule-worker-014,low_knowledge,16988,16988.0,20000.0,0.28,0.252,-3012.0,0.0
schedule-worker-015,high_knowledge,17085,17085.0,20000.0,0.78,0.27,-2915.0,0.0
schedule-worker-016,low_knowledge,17085,17085.0,20000.0,0.28,0.27,-2915.0,0.0
schedule-worker-017,low_knowledge,17085,17085.0,20000.0,0.28,0.27,-2915.0,0.0
schedule-worker-018,high_knowledge,17182,17182.0,20000.0,0.78,0.288,-2818.0,0.0
schedule-worker-019,low_knowledge,17182,17182.0,20000.0,0.28,0.288,-2818.0,0.0
schedule-worker-020,low_knowledge,17182,17182.0,20000.0,0.28,0.288,-2818.0,0.0
schedule-worker-021,high_knowledge,17195,17195.0,20000.0,0.78,0.306,-2805.0,0.0
schedule-worker-022,low_knowledge,17195,17195.0,20000.0,0.28,0.306,-2805.0,0.0
schedule-worker-023,low_knowledge,17195,17195.0,20000.0,0.28,0.306,-2805.0,0.0
schedule-worker-024,high_knowledge,17292,17292.0,20000.0,0.78,0.324,-2708.0,0.0
schedule-worker-025,low_knowledge,17292,17292.0,20000.0,0.28,0.324,-2708.0,0.0
schedule-worker-026,low_knowledge,17292,17292.0,20000.0,0.28,0.324,-2708.0,0.0
schedule-worker-027,high_knowledge,17389,17389.0,20000.0,0.78,0.18,-2611.0,0.0
schedule-worker-028,low_knowledge,17389,17389.0,20000.0,0.28,0.18,-2611.0,0.0
schedule-worker-029,low_knowledge,17389,17389.0,20000.0,0.28,0.18,-2611.0,0.0
schedule-worker-030,high_knowledge,17486,17486.0,20000.0,0.78,0.198,-2514.0,0.0
schedule-worker-031,low_knowledge,17486,17486.0,20000.0,0.28,0.198,-2514.0,0.0
schedule-worker-032,low_knowledge,17486,17486.0,20000.0,0.28,0.198,-2514.0,0.0
schedule-worker-033,high_knowledge,17583,17583.0,20000.0,0.78,0.216,-2417.0,0.0
schedule-worker-034,low_knowledge,17583,17583.0,20000.0,0.28,0.216,-2417.0,0.0
schedule-worker-035,low_knowledge,17583,17583.0,20000.0,0.28,0.216,-2417.0,0.0
schedule-worker-036,high_knowledge,17680,17680.0,20000.0,0.78,0.234,-2320.0,0.0
schedule-worker-037,low_knowledge,17680,17680.0,20000.0,0.28,0.234,-2320.0,0.0
schedule-worker-038,low_knowledge,17680,17680.0,20000.0,0.28,0.234,-2320.0,0.0
schedule-worker-039,high_knowledge,17777,17777.0,20000.0,0.78,0.252,-2223.0,0.0
schedule-worker-040,low_knowledge,17777,17777.0,20000.0,0.28,0.252,-2223.0,0.0
schedule-worker-041,low_knowledge,17777,17777.0,20000.0,0.28,0.252,-2223.0,0.0
schedule-worker-042,high_knowledge,17790,17790.0,20000.0,0.78,0.27,-2210.0,0.0
schedule-worker-043,low_knowledge,17790,17790.0,20000.0,0.28,0.27,-2210.0,0.0
schedule-worker-044,low_knowledge,17790,17790.0,20000.0,0.28,0.27,-2210.0,0.0
schedule-worker-045,high_knowledge,17887,17887.0,20000.0,0.78,0.288,-2113.0,0.0
schedule-worker-046,low_knowledge,17887,17887.0,20000.0,0.28,0.288,-2113.0,0.0
schedule-worker-047,low_knowledge,17887,17887.0,20000.0,0.28,0.288,-2113.0,0.0
schedule-worker-048,high_knowledge,17984,17984.0,20000.0,0.78,0.306,-2016.0,0.0
