worker_id,firm_id,default_group,firm_response_type,active_choice_required,passive_choice,default_contribution_rate,default_equity_share,sophistication_index,liquidity_need_index,annual_income,target_contribution_rate,target_equity_share,participation,contribution_rate,equity_share,default_gap,welfare_distance,undersaving,oversaving_liquidity_risk
default-worker-0000,firm-00,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.18,0.4,42000,0.031,0.477,1,0.03,0.45,-0.001,0.01,0,0
default-worker-0001,firm-01,standard_default,insure,0,1,0.06,0.6,0.18,0.4,42600,0.031,0.477,1,0.06,0.6,0.029,0.075,0,0
default-worker-0002,firm-02,high_default,insure_or_oversteer,0,1,0.1,0.7,0.18,0.4,43200,0.031,0.477,1,0.1,0.7,0.07,0.154,0,0
default-worker-0003,firm-03,active_choice,accommodate,1,0,0.0,0.0,0.18,0.4,43800,0.031,0.477,1,0.033,0.47,0.003,0.006,0,0
default-worker-0004,firm-04,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.27,0.48,42950,0.037,0.495,1,0.03,0.45,-0.007,0.023,0,0
default-worker-0005,firm-05,standard_default,insure,0,1,0.06,0.6,0.27,0.48,43550,0.037,0.495,1,0.06,0.6,0.023,0.063,0,1
default-worker-0006,firm-06,high_default,insure_or_oversteer,0,0,0.1,0.7,0.27,0.48,44150,0.037,0.495,1,0.034,0.492,-0.002,0.004,0,0
default-worker-0007,firm-07,active_choice,accommodate,1,0,0.0,0.0,0.27,0.48,44750,0.037,0.495,1,0.036,0.507,-0.0,0.004,0,0
default-worker-0008,firm-08,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.36,0.56,43900,0.043,0.513,1,0.03,0.45,-0.013,0.036,0,0
default-worker-0009,firm-09,standard_default,insure,0,1,0.06,0.6,0.36,0.56,44500,0.043,0.513,1,0.06,0.6,0.017,0.05,0,1
default-worker-0010,firm-10,high_default,insure_or_oversteer,0,1,0.1,0.7,0.36,0.56,45100,0.043,0.513,1,0.1,0.7,0.057,0.131,0,1
default-worker-0011,firm-11,active_choice,accommodate,1,0,0.0,0.0,0.36,0.56,45700,0.043,0.513,1,0.045,0.504,0.003,0.006,0,0
default-worker-0012,firm-12,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.45,0.64,44850,0.049,0.531,1,0.03,0.45,-0.019,0.049,1,0
default-worker-0013,firm-13,standard_default,insure,0,1,0.06,0.6,0.45,0.64,45450,0.049,0.531,1,0.06,0.6,0.011,0.037,0,0
default-worker-0014,firm-14,high_default,insure_or_oversteer,0,0,0.1,0.7,0.45,0.64,46050,0.049,0.531,1,0.046,0.526,-0.003,0.005,0,0
default-worker-0015,firm-15,active_choice,accommodate,1,0,0.0,0.0,0.45,0.64,46650,0.049,0.531,1,0.048,0.541,-0.0,0.004,0,0
default-worker-0016,firm-16,low_default,exploit_or_underinsure,0,0,0.03,0.45,0.54,0.16,45800,0.08,0.638,1,0.082,0.623,0.002,0.007,0,0
default-worker-0017,firm-17,standard_default,insure,0,0,0.06,0.6,0.54,0.16,46400,0.08,0.638,1,0.078,0.638,-0.002,0.002,0,0
default-worker-0018,firm-18,high_default,insure_or_oversteer,0,1,0.1,0.7,0.54,0.16,47000,0.08,0.638,1,0.1,0.7,0.02,0.042,0,0
default-worker-0019,firm-19,active_choice,accommodate,1,0,0.0,0.0,0.54,0.16,47600,0.08,0.638,1,0.083,0.628,0.002,0.006,0,0
default-worker-0020,firm-20,low_default,exploit_or_underinsure,0,1,0.03,0.45,0.63,0.24,46750,0.071,0.656,1,0.03,0.45,-0.041,0.116,1,0
default-worker-0021,firm-21,standard_default,insure,0,1,0.06,0.6,0.63,0.24,47350,0.071,0.656,1,0.06,0.6,-0.011,0.032,0,0
