worker_id,arm,information,bargaining_support,current_wage,true_outside_wage,perceived_outside_wage,belief_gap,search_friction_index,market_power_index,applications_next_month,bargaining_attempt,moved_job,wage_growth_next_quarter,segmentation_index
belief-worker-0000,control,0,0,17.5,18.2,16.06,2.14,0.38,0.58,0.55,0,0,0.002,0.496
belief-worker-0001,outside_option_info,1,0,17.75,18.46,17.55,0.91,0.38,0.58,2.45,0,0,0.012,0.425
belief-worker-0002,bargaining_prompt,0,1,18.0,18.72,16.91,1.81,0.38,0.58,1.45,0,0,0.002,0.474
belief-worker-0003,info_bargaining,1,1,18.25,18.98,18.44,0.54,0.38,0.58,3.38,0,1,0.097,0.403
belief-worker-0004,control,0,0,17.92,18.74,16.27,2.47,0.47,0.66,0.5,0,0,0.0,0.58
belief-worker-0005,outside_option_info,1,0,18.17,19.01,17.95,1.05,0.47,0.66,2.4,0,0,0.01,0.5
belief-worker-0006,bargaining_prompt,0,1,18.42,19.27,17.18,2.08,0.47,0.66,1.4,0,0,0.0,0.556
belief-worker-0007,info_bargaining,1,1,18.67,19.53,18.91,0.62,0.47,0.66,3.34,0,0,0.01,0.476
belief-worker-0008,control,0,0,18.34,19.29,17.2,2.09,0.56,0.18,0.67,0,0,0.009,0.429
belief-worker-0009,outside_option_info,1,0,18.59,19.56,18.67,0.89,0.56,0.18,2.59,0,0,0.019,0.363
belief-worker-0010,bargaining_prompt,0,1,18.84,19.82,18.06,1.76,0.56,0.18,1.57,0,0,0.009,0.409
belief-worker-0011,info_bargaining,1,1,19.09,20.08,19.56,0.52,0.56,0.18,3.56,0,0,0.019,0.342
belief-worker-0012,control,0,0,18.76,19.85,17.41,2.43,0.65,0.26,0.62,0,0,0.007,0.513
belief-worker-0013,outside_option_info,1,0,19.01,20.11,19.08,1.04,0.65,0.26,2.53,1,0,0.062,0.438
belief-worker-0014,bargaining_prompt,0,1,19.26,20.38,18.33,2.05,0.65,0.26,1.52,0,0,0.007,0.49
belief-worker-0015,info_bargaining,1,1,19.51,20.64,20.03,0.61,0.65,0.26,3.52,0,0,0.017,0.415
belief-worker-0016,control,0,0,19.18,20.41,17.62,2.78,0.74,0.34,0.57,0,0,0.006,0.597
belief-worker-0017,outside_option_info,1,0,19.43,20.67,19.49,1.18,0.74,0.34,2.48,0,0,0.016,0.513
belief-worker-0018,bargaining_prompt,0,1,19.68,20.94,18.6,2.34,0.74,0.34,1.47,0,0,0.006,0.571
belief-worker-0019,info_bargaining,1,1,19.93,21.21,20.51,0.69,0.74,0.34,3.47,0,0,0.016,0.487
belief-worker-0020,control,0,0,19.6,20.97,17.82,3.15,0.83,0.42,0.12,0,0,0.004,0.681
belief-worker-0021,outside_option_info,1,0,19.85,21.24,19.9,1.34,0.83,0.42,2.03,1,0,0.059,0.588
belief-worker-0022,bargaining_prompt,0,1,20.1,21.51,18.86,2.65,0.83,0.42,1.02,0,0,0.004,0.652
belief-worker-0023,info_bargaining,1,1,20.35,21.77,20.99,0.78,0.83,0.42,3.03,0,0,0.014,0.559
belief-worker-0024,control,0,0,20.02,21.54,19.6,1.94,0.2,0.5,0.86,0,0,0.003,0.362
belief-worker-0025,outside_option_info,1,0,20.27,21.81,20.98,0.83,0.2,0.5,2.89,0,0,0.013,0.306
belief-worker-0026,bargaining_prompt,0,1,20.52,22.08,20.45,1.63,0.2,0.5,1.76,0,0,0.003,0.345
belief-worker-0027,info_bargaining,1,1,20.77,22.35,21.86,0.48,0.2,0.5,3.86,1,0,0.058,0.288
belief-worker-0028,control,0,0,20.44,22.12,19.82,2.3,0.29,0.58,0.81,0,0,0.002,0.446
belief-worker-0029,outside_option_info,1,0,20.69,22.39,21.41,0.98,0.29,0.58,2.84,0,0,0.012,0.381
belief-worker-0030,bargaining_prompt,0,1,20.94,22.66,20.73,1.93,0.29,0.58,1.71,0,1,0.087,0.426
belief-worker-0031,info_bargaining,1,1,21.19,22.93,22.36,0.57,0.29,0.58,3.82,0,0,0.012,0.361
belief-worker-0032,control,0,0,20.86,22.7,20.03,2.67,0.38,0.66,0.76,0,0,0.0,0.53
belief-worker-0033,outside_option_info,1,0,21.11,22.97,21.83,1.13,0.38,0.66,2.79,0,0,0.01,0.456
belief-worker-0034,bargaining_prompt,0,1,21.36,23.24,21.0,2.24,0.38,0.66,1.66,0,0,0.0,0.507
belief-worker-0035,info_bargaining,1,1,21.61,23.51,22.85,0.66,0.38,0.66,3.78,1,0,0.055,0.433
belief-worker-0036,control,0,0,21.28,22.13,19.91,2.22,0.47,0.18,0.93,0,0,0.009,0.379
belief-worker-0037,outside_option_info,1,0,21.53,22.39,21.45,0.94,0.47,0.18,2.83,0,0,0.019,0.318
belief-worker-0038,bargaining_prompt,0,1,21.78,22.65,20.79,1.86,0.47,0.18,1.83,0,0,0.009,0.36
belief-worker-0039,info_bargaining,1,1,22.03,22.91,22.36,0.55,0.47,0.18,3.79,0,0,0.019,0.3
belief-worker-0040,control,0,0,21.7,22.7,20.1,2.6,0.56,0.26,0.48,1,0,0.052,0.463
belief-worker-0041,outside_option_info,1,0,21.95,22.96,21.86,1.1,0.56,0.26,2.38,0,0,0.017,0.393
belief-worker-0042,bargaining_prompt,0,1,22.2,23.22,21.04,2.18,0.56,0.26,1.38,0,0,0.007,0.441
belief-worker-0043,info_bargaining,1,1,22.45,23.48,22.84,0.65,0.56,0.26,3.35,1,0,0.062,0.372
belief-worker-0044,control,0,0,22.12,23.27,20.28,2.99,0.65,0.34,0.43,0,0,0.006,0.547
belief-worker-0045,outside_option_info,1,0,22.37,23.53,22.26,1.27,0.65,0.34,2.33,0,0,0.016,0.468
