account_id,arm,disclosure,switching_help,high_switching_cost,sales_contact,fee_salience_index,demand_elasticity_index,switched_plan,chose_low_fee_plan,realized_fee_bps
plan-account-0000,opaque,0,0,0,0,0.25,0.375,0,1,90
plan-account-0001,fee_disclosure,1,0,1,0,0.67,0.405,0,0,108
plan-account-0002,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0003,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0004,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0005,disclosure_switching_help,1,1,0,0,0.85,0.747,0,1,84
plan-account-0006,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0007,fee_disclosure,1,0,0,1,0.55,0.461,0,0,134
plan-account-0008,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,106
plan-account-0009,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0010,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0011,disclosure_switching_help,1,1,1,1,0.73,0.343,1,1,102
plan-account-0012,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0013,fee_disclosure,1,0,1,0,0.67,0.405,0,1,96
plan-account-0014,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,88
plan-account-0015,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0016,fee_disclosure,1,0,0,0,0.67,0.635,0,1,100
plan-account-0017,disclosure_switching_help,1,1,1,0,0.85,0.517,1,1,92
plan-account-0018,opaque,0,0,0,1,0.13,0.201,0,0,160
plan-account-0019,fee_disclosure,1,0,1,1,0.55,0.231,0,1,122
plan-account-0020,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0021,opaque,0,0,1,1,0.13,0.05,0,1,136
plan-account-0022,fee_disclosure,1,0,1,1,0.55,0.231,0,0,154
plan-account-0023,disclosure_switching_help,1,1,0,1,0.73,0.573,0,0,154
plan-account-0024,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0025,fee_disclosure,1,0,0,0,0.67,0.635,1,1,72
plan-account-0026,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,108
plan-account-0027,opaque,0,0,0,0,0.25,0.375,0,1,94
plan-account-0028,fee_disclosure,1,0,1,0,0.67,0.405,0,0,112
plan-account-0029,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,84
plan-account-0030,opaque,0,0,1,1,0.13,0.05,0,0,144
plan-account-0031,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0032,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,106
plan-account-0033,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0034,fee_disclosure,1,0,0,1,0.55,0.461,0,0,138
plan-account-0035,disclosure_switching_help,1,1,1,1,0.73,0.343,0,1,110
plan-account-0036,opaque,0,0,0,0,0.25,0.375,0,0,134
plan-account-0037,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
plan-account-0038,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0039,opaque,0,0,1,0,0.25,0.145,0,0,138
plan-account-0040,fee_disclosure,1,0,1,0,0.67,0.405,0,1,100
plan-account-0041,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,92
plan-account-0042,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0043,fee_disclosure,1,0,0,1,0.55,0.461,0,1,122
plan-account-0044,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,150
plan-account-0045,opaque,0,0,0,1,0.13,0.201,0,0,164
plan-account-0046,fee_disclosure,1,0,1,1,0.55,0.231,0,1,126
plan-account-0047,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0048,opaque,0,0,1,0,0.25,0.145,0,1,90
plan-account-0049,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0050,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,72
plan-account-0051,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0052,fee_disclosure,1,0,0,0,0.67,0.635,1,1,76
plan-account-0053,disclosure_switching_help,1,1,1,0,0.85,0.517,0,0,112
plan-account-0054,opaque,0,0,0,1,0.13,0.201,0,0,144
plan-account-0055,fee_disclosure,1,0,1,1,0.55,0.231,0,0,134
plan-account-0056,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0057,opaque,0,0,1,1,0.13,0.05,0,0,148
plan-account-0058,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0059,disclosure_switching_help,1,1,0,1,0.73,0.573,0,1,110
plan-account-0060,opaque,0,0,1,0,0.25,0.145,0,0,134
plan-account-0061,fee_disclosure,1,0,0,0,0.67,0.635,0,0,124
plan-account-0062,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,96
plan-account-0063,opaque,0,0,0,0,0.25,0.375,0,0,138
plan-account-0064,fee_disclosure,1,0,1,0,0.67,0.405,0,0,128
plan-account-0065,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,100
plan-account-0066,opaque,0,0,1,1,0.13,0.05,0,0,160
plan-account-0067,fee_disclosure,1,0,1,1,0.55,0.231,0,1,122
plan-account-0068,disclosure_switching_help,1,1,0,1,0.73,0.573,1,1,114
plan-account-0069,opaque,0,0,1,1,0.13,0.05,0,0,164
plan-account-0070,fee_disclosure,1,0,0,1,0.55,0.461,0,1,126
plan-account-0071,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,154
plan-account-0072,opaque,0,0,0,0,0.25,0.375,0,0,118
plan-account-0073,fee_disclosure,1,0,1,0,0.67,0.405,0,1,80
plan-account-0074,disclosure_switching_help,1,1,1,0,0.85,0.517,0,1,80
plan-account-0075,opaque,0,0,1,0,0.25,0.145,0,1,94
plan-account-0076,fee_disclosure,1,0,1,0,0.67,0.405,0,1,84
plan-account-0077,disclosure_switching_help,1,1,0,0,0.85,0.747,1,1,76
plan-account-0078,opaque,0,0,1,1,0.13,0.05,0,1,116
plan-account-0079,fee_disclosure,1,0,0,1,0.55,0.461,1,0,126
plan-account-0080,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,134
plan-account-0081,opaque,0,0,0,1,0.13,0.201,0,0,148
plan-account-0082,fee_disclosure,1,0,1,1,0.55,0.231,0,0,138
plan-account-0083,disclosure_switching_help,1,1,1,1,0.73,0.343,0,0,138
plan-account-0084,opaque,0,0,1,0,0.25,0.145,0,1,106
plan-account-0085,fee_disclosure,1,0,1,0,0.67,0.405,0,0,124
