worker_id,arm,treated,salience,simplification,assistance,trust_support,expected_credit,baseline_awareness,post_awareness,baseline_trust,admin_burden,work_constraint,perceived_value,procedural_cost,net_perceived_gain,application_started,application_completed,claimed_by_deadline,weeks_to_claim,filing_accuracy,earnings_response_index
takeup-worker-0000,control,0,0.0,0.0,0.0,0.0,420,0.16,0.153,0.32,0.78,0.2,258.78,261.9,-3.12,0,0,0,6,0.578,0.19
takeup-worker-0001,salience_notice,1,0.75,0.0,0.0,0.1,420,0.16,0.294,0.32,0.78,0.2,291.35,231.15,60.2,0,0,0,6,0.603,0.235
takeup-worker-0002,simplified_form,1,0.25,0.8,0.0,0.0,420,0.16,0.294,0.32,0.78,0.2,291.35,197.15,94.2,1,0,0,6,0.683,0.235
takeup-worker-0003,assistance,1,0.25,0.0,0.85,0.35,420,0.16,0.304,0.32,0.78,0.2,293.66,182.15,111.51,0,0,0,6,0.673,0.238
takeup-worker-0004,full_support,1,0.8,0.8,0.75,0.45,420,0.16,0.495,0.32,0.78,0.2,337.79,108.9,228.89,0,0,0,6,0.779,0.299
takeup-worker-0005,control,0,0.0,0.0,0.0,0.0,455,0.188,0.184,0.355,0.745,0.232,289.67,260.62,29.04,0,0,0,6,0.581,0.202
takeup-worker-0006,salience_notice,1,0.75,0.0,0.0,0.1,455,0.188,0.325,0.355,0.745,0.232,324.95,229.88,95.08,0,0,0,6,0.607,0.247
takeup-worker-0007,simplified_form,1,0.25,0.8,0.0,0.0,455,0.188,0.325,0.355,0.745,0.232,324.95,195.88,129.08,1,0,0,6,0.687,0.247
takeup-worker-0008,assistance,1,0.25,0.0,0.85,0.35,455,0.188,0.335,0.355,0.745,0.232,327.46,180.88,146.58,0,0,0,6,0.677,0.25
takeup-worker-0009,full_support,1,0.8,0.8,0.75,0.45,455,0.188,0.526,0.355,0.745,0.232,375.25,107.62,267.63,0,0,0,6,0.783,0.311
takeup-worker-0010,control,0,0.0,0.0,0.0,0.0,490,0.216,0.215,0.39,0.71,0.264,321.99,259.35,62.64,0,0,0,6,0.585,0.213
takeup-worker-0011,salience_notice,1,0.75,0.0,0.0,0.1,490,0.216,0.356,0.39,0.71,0.264,359.99,228.6,131.39,0,0,0,6,0.611,0.258
takeup-worker-0012,simplified_form,1,0.25,0.8,0.0,0.0,490,0.216,0.356,0.39,0.71,0.264,359.99,194.6,165.39,0,0,0,6,0.691,0.258
takeup-worker-0013,assistance,1,0.25,0.0,0.85,0.35,490,0.216,0.366,0.39,0.71,0.264,362.68,179.6,183.08,1,1,1,2,0.681,0.342
takeup-worker-0014,full_support,1,0.8,0.8,0.75,0.45,490,0.216,0.557,0.39,0.71,0.264,414.16,106.35,307.81,0,0,0,6,0.787,0.323
takeup-worker-0015,control,0,0.0,0.0,0.0,0.0,525,0.244,0.246,0.425,0.675,0.296,355.74,258.07,97.67,1,0,0,6,0.589,0.225
takeup-worker-0016,salience_notice,1,0.75,0.0,0.0,0.1,525,0.244,0.387,0.425,0.675,0.296,396.45,227.32,169.13,0,0,0,6,0.615,0.27
takeup-worker-0017,simplified_form,1,0.25,0.8,0.0,0.0,525,0.244,0.387,0.425,0.675,0.296,396.45,193.32,203.13,0,0,0,6,0.695,0.27
