arm,week,at_risk,claims,mean_model_hazard,mean_post_awareness,mean_procedural_cost,observed_claim_hazard
control,1,16,0,0.019684999999999998,0.305265,257.2548,0.0
control,2,16,12,0.021124999999999998,0.305265,257.2548,0.75
control,3,4,0,0.0063351063829787235,0.30290425531914894,257.15606382978723,0.0
control,4,4,4,0.006718085106382978,0.30290425531914894,257.15606382978723,1.0
control,5,0,0,0.0,0.3016195652173913,256.96934782608696,0.0
control,6,0,0,0.0,0.3016195652173913,256.96934782608696,0.0
salience_notice,1,63,24,0.086755,0.446265,226.505,0.38095238095238093
salience_notice,2,39,27,0.06282954545454546,0.44272727272727275,227.08409090909092,0.6923076923076923
salience_notice,3,12,4,0.02812080536912752,0.4376979865771812,226.52322147651006,0.3333333333333333
salience_notice,4,8,8,0.019620689655172413,0.43555172413793103,226.71158620689656,1.0
salience_notice,5,0,0,0.0,0.4317518248175182,227.3251094890511,0.0
salience_notice,6,0,0,0.0,0.4317518248175182,227.3251094890511,0.0
simplified_form,1,88,25,0.140565,0.446265,192.505,0.2840909090909091
simplified_form,2,63,27,0.11838285714285714,0.4396514285714285,192.95714285714286,0.42857142857142855
simplified_form,3,36,12,0.08657432432432433,0.43668918918918914,194.2052702702703,0.3333333333333333
simplified_form,4,24,24,0.06259558823529411,0.43081617647058823,194.59720588235294,1.0
simplified_form,5,0,0,0.0,0.42701785714285717,195.45875,0.0
simplified_form,6,0,0,0.0,0.42701785714285717,195.45875,0.0
assistance,1,97,31,0.15551,0.456265,177.505,0.31958762886597936
assistance,2,66,28,0.12795266272189348,0.4515325443786982,177.40242603550294,0.42424242424242425
assistance,3,38,14,0.09469503546099291,0.4490921985815603,177.67113475177305,0.3684210526315789
assistance,4,24,24,0.06691338582677164,0.44663779527559055,178.2551968503937,1.0
assistance,5,0,0,0.0,0.44423300970873786,177.9240776699029,0.0
assistance,6,0,0,0.0,0.44423300970873786,177.9240776699029,0.0
full_support,1,166,76,0.35007,0.647265,104.25479999999999,0.4578313253012048
full_support,2,90,30,0.3116774193548387,0.6389193548387097,104.35516129032258,0.3333333333333333
full_support,3,60,39,0.286468085106383,0.6360531914893617,103.7913829787234,0.65
full_support,4,21,20,0.17816363636363636,0.6265636363636363,107.77309090909091,0.9523809523809523
full_support,5,1,1,0.014714285714285714,0.6166285714285714,109.85857142857144,1.0
full_support,6,0,0,0.0,0.6175588235294117,110.29029411764705,0.0
