worker_id,knowledge_group,neighborhood,desired_earnings,observed_earnings,distance_to_phasein_end,segment,local_knowledge,adjustment_cost,true_marginal_subsidy,perceived_subsidy
eitc-worker-0000,high_knowledge,neighborhood-00,8200,8200.0,-5800.0,phase_in,0.78,0.18,0.34,0.265
eitc-worker-0001,low_knowledge,neighborhood-01,8200,8200.0,-5800.0,phase_in,0.315,0.18,0.34,0.107
eitc-worker-0002,low_knowledge,neighborhood-02,8200,8200.0,-5800.0,phase_in,0.33,0.18,0.34,0.112
eitc-worker-0003,high_knowledge,neighborhood-03,8281,8281.0,-5719.0,phase_in,0.825,0.196,0.34,0.281
eitc-worker-0004,low_knowledge,neighborhood-04,8281,8281.0,-5719.0,phase_in,0.36,0.196,0.34,0.122
eitc-worker-0005,low_knowledge,neighborhood-05,8281,8281.0,-5719.0,phase_in,0.3,0.196,0.34,0.102
eitc-worker-0006,high_knowledge,neighborhood-06,8362,8362.0,-5638.0,phase_in,0.795,0.212,0.34,0.27
eitc-worker-0007,low_knowledge,neighborhood-07,8362,8362.0,-5638.0,phase_in,0.33,0.212,0.34,0.112
eitc-worker-0008,low_knowledge,neighborhood-08,8362,8362.0,-5638.0,phase_in,0.345,0.212,0.34,0.117
eitc-worker-0009,high_knowledge,neighborhood-09,8443,8443.0,-5557.0,phase_in,0.84,0.228,0.34,0.286
eitc-worker-0010,low_knowledge,neighborhood-10,8443,8443.0,-5557.0,phase_in,0.3,0.228,0.34,0.102
eitc-worker-0011,low_knowledge,neighborhood-11,8443,8443.0,-5557.0,phase_in,0.315,0.228,0.34,0.107
eitc-worker-0012,high_knowledge,neighborhood-12,8524,8524.0,-5476.0,phase_in,0.81,0.244,0.34,0.275
eitc-worker-0013,low_knowledge,neighborhood-13,8524,8524.0,-5476.0,phase_in,0.345,0.244,0.34,0.117
eitc-worker-0014,low_knowledge,neighborhood-14,8524,8524.0,-5476.0,phase_in,0.36,0.244,0.34,0.122
eitc-worker-0015,high_knowledge,neighborhood-15,8605,8605.0,-5395.0,phase_in,0.78,0.26,0.34,0.265
eitc-worker-0016,low_knowledge,neighborhood-16,8605,8605.0,-5395.0,phase_in,0.315,0.26,0.34,0.107
eitc-worker-0017,low_knowledge,neighborhood-17,8605,8605.0,-5395.0,phase_in,0.33,0.26,0.34,0.112
eitc-worker-0018,high_knowledge,neighborhood-18,8686,8686.0,-5314.0,phase_in,0.825,0.276,0.34,0.281
eitc-worker-0019,low_knowledge,neighborhood-19,8686,8686.0,-5314.0,phase_in,0.36,0.276,0.34,0.122
eitc-worker-0020,low_knowledge,neighborhood-20,8686,8686.0,-5314.0,phase_in,0.3,0.276,0.34,0.102
eitc-worker-0021,high_knowledge,neighborhood-21,8767,8767.0,-5233.0,phase_in,0.795,0.292,0.34,0.27
eitc-worker-0022,low_knowledge,neighborhood-22,8767,8767.0,-5233.0,phase_in,0.33,0.292,0.34,0.112
eitc-worker-0023,low_knowledge,neighborhood-23,8767,8767.0,-5233.0,phase_in,0.345,0.292,0.34,0.117
