worker_id,arm,inertia,sophistication,liquidity_need,match_rate,default_rate,active_prompt,commitment,benchmark_rate,chosen_rate,participation,welfare_gap,welfare_score
default-worker-0000,opt_in,0.3,0.22,0.18,0.03,0.0,0.0,0.0,0.057,0.028,1,0.029,0.051
default-worker-0001,auto_enroll_3,0.3,0.22,0.18,0.03,0.03,0.0,0.0,0.057,0.029,1,0.028,0.052
default-worker-0002,auto_enroll_6,0.3,0.22,0.18,0.03,0.06,0.0,0.0,0.057,0.038,1,0.019,0.061
default-worker-0003,active_choice,0.3,0.22,0.18,0.03,0.0,1.0,0.0,0.057,0.045,1,0.012,0.068
default-worker-0004,commitment_escalation,0.3,0.22,0.18,0.03,0.03,0.0,1.0,0.057,0.039,1,0.019,0.061
default-worker-0005,opt_in,0.355,0.275,0.225,0.035,0.0,0.0,0.0,0.063,0.033,1,0.03,0.05
default-worker-0006,auto_enroll_3,0.355,0.275,0.225,0.035,0.03,0.0,0.0,0.063,0.032,1,0.031,0.049
default-worker-0007,auto_enroll_6,0.355,0.275,0.225,0.035,0.06,0.0,0.0,0.063,0.043,1,0.02,0.06
default-worker-0008,active_choice,0.355,0.275,0.225,0.035,0.0,1.0,0.0,0.063,0.05,1,0.012,0.068
default-worker-0009,commitment_escalation,0.355,0.275,0.225,0.035,0.03,0.0,1.0,0.063,0.041,1,0.021,0.059
default-worker-0010,opt_in,0.41,0.33,0.27,0.04,0.0,0.0,0.0,0.068,0.038,1,0.03,0.05
default-worker-0011,auto_enroll_3,0.41,0.33,0.27,0.04,0.03,0.0,0.0,0.068,0.035,1,0.033,0.047
default-worker-0012,auto_enroll_6,0.41,0.33,0.27,0.04,0.06,0.0,0.0,0.068,0.047,1,0.021,0.059
default-worker-0013,active_choice,0.41,0.33,0.27,0.04,0.0,1.0,0.0,0.068,0.056,1,0.013,0.067
default-worker-0014,commitment_escalation,0.41,0.33,0.27,0.04,0.03,0.0,1.0,0.068,0.044,1,0.024,0.056
default-worker-0015,opt_in,0.465,0.385,0.315,0.045,0.0,0.0,0.0,0.074,0.044,1,0.029,0.051
default-worker-0016,auto_enroll_3,0.465,0.385,0.315,0.045,0.03,0.0,0.0,0.074,0.038,1,0.036,0.044
default-worker-0017,auto_enroll_6,0.465,0.385,0.315,0.045,0.06,0.0,0.0,0.074,0.052,1,0.022,0.058
default-worker-0018,active_choice,0.465,0.385,0.315,0.045,0.0,1.0,0.0,0.074,0.061,1,0.013,0.067
default-worker-0019,commitment_escalation,0.465,0.385,0.315,0.045,0.03,0.0,1.0,0.074,0.046,1,0.028,0.052
default-worker-0020,opt_in,0.52,0.44,0.36,0.05,0.0,0.0,0.0,0.079,0.05,1,0.029,0.051
default-worker-0021,auto_enroll_3,0.52,0.44,0.36,0.05,0.03,0.0,0.0,0.079,0.04,1,0.039,0.041
default-worker-0022,auto_enroll_6,0.52,0.44,0.36,0.05,0.06,0.0,0.0,0.079,0.055,1,0.024,0.056
default-worker-0023,active_choice,0.52,0.44,0.36,0.05,0.0,1.0,0.0,0.079,0.066,1,0.013,0.067
default-worker-0024,commitment_escalation,0.52,0.44,0.36,0.05,0.03,0.0,1.0,0.079,0.047,1,0.032,0.048
default-worker-0025,opt_in,0.575,0.495,0.405,0.03,0.0,0.0,0.0,0.06,0.04,1,0.02,0.06
default-worker-0026,auto_enroll_3,0.575,0.495,0.405,0.03,0.03,0.0,0.0,0.06,0.034,1,0.025,0.055
default-worker-0027,auto_enroll_6,0.575,0.495,0.405,0.03,0.06,0.0,0.0,0.06,0.052,1,0.008,0.072
default-worker-0028,active_choice,0.575,0.495,0.405,0.03,0.0,1.0,0.0,0.06,0.051,1,0.009,0.071
