worker_id,origin_norm_group,family_obligation_index,generalized_trust_index,formal_protection_index,local_labor_demand_index,supports_employment_protection,employed,changed_region_for_work,female_labor_force_participation
low_-000,low_family_obligation,0.21,0.656,0.49,0.92,1,0,1,1
low_-001,low_family_obligation,0.22,0.668,0.56,0.945,0,1,1,0
low_-002,low_family_obligation,0.23,0.68,0.63,0.97,0,1,0,1
low_-003,low_family_obligation,0.24,0.692,0.7,0.995,1,0,1,1
low_-004,low_family_obligation,0.25,0.704,0.42,1.02,0,1,0,0
low_-005,low_family_obligation,0.26,0.656,0.49,1.045,0,0,0,1
low_-006,low_family_obligation,0.27,0.668,0.56,0.92,1,1,1,0
low_-007,low_family_obligation,0.21,0.68,0.63,0.945,0,1,0,0
low_-008,low_family_obligation,0.22,0.692,0.7,0.97,0,0,1,1
low_-009,low_family_obligation,0.23,0.704,0.42,0.995,0,1,1,0
low_-010,low_family_obligation,0.24,0.656,0.49,1.02,0,1,0,0
low_-011,low_family_obligation,0.25,0.668,0.56,1.045,1,0,1,1
low_-012,low_family_obligation,0.26,0.68,0.63,0.92,0,1,1,0
low_-013,low_family_obligation,0.27,0.692,0.7,0.945,0,1,0,1
low_-014,low_family_obligation,0.21,0.704,0.42,0.97,1,1,1,0
low_-015,low_family_obligation,0.22,0.656,0.49,0.995,0,1,0,0
low_-016,low_family_obligation,0.23,0.668,0.56,1.02,0,0,0,1
low_-017,low_family_obligation,0.24,0.68,0.63,1.045,1,1,1,0
low_-018,low_family_obligation,0.25,0.692,0.7,0.92,0,1,0,0
low_-019,low_family_obligation,0.26,0.704,0.42,0.945,1,0,1,1
low_-020,low_family_obligation,0.27,0.656,0.49,0.97,0,1,1,0
low_-021,low_family_obligation,0.21,0.668,0.56,0.995,0,1,0,1
low_-022,low_family_obligation,0.22,0.68,0.63,1.02,1,0,1,0
low_-023,low_family_obligation,0.23,0.692,0.7,1.045,0,1,0,0
low_-024,low_family_obligation,0.24,0.704,0.42,0.92,0,0,0,1
low_-025,low_family_obligation,0.25,0.656,0.49,0.945,1,1,1,0
low_-026,low_family_obligation,0.26,0.668,0.56,0.97,0,1,0,0
low_-027,low_family_obligation,0.27,0.68,0.63,0.995,0,0,1,1
low_-028,low_family_obligation,0.21,0.692,0.7,1.02,0,1,1,0
low_-029,low_family_obligation,0.22,0.704,0.42,1.045,0,1,0,1
low_-030,low_family_obligation,0.23,0.656,0.49,0.92,1,0,1,1
low_-031,low_family_obligation,0.24,0.668,0.56,0.945,0,1,0,0
low_-032,low_family_obligation,0.25,0.68,0.63,0.97,0,1,0,1
low_-033,low_family_obligation,0.26,0.692,0.7,0.995,1,1,1,0
low_-034,low_family_obligation,0.27,0.704,0.42,1.02,0,1,0,0
low_-035,low_family_obligation,0.21,0.656,0.49,1.045,0,0,1,1
low_-036,low_family_obligation,0.22,0.668,0.56,0.92,0,1,1,0
low_-037,low_family_obligation,0.23,0.68,0.63,0.945,0,1,0,0
low_-038,low_family_obligation,0.24,0.692,0.7,0.97,1,0,1,1
low_-039,low_family_obligation,0.25,0.704,0.42,0.995,0,1,1,0
low_-040,low_family_obligation,0.26,0.656,0.49,1.02,0,1,0,1
low_-041,low_family_obligation,0.27,0.668,0.56,1.045,1,1,1,0
low_-042,low_family_obligation,0.21,0.68,0.63,0.92,0,1,0,0
low_-043,low_family_obligation,0.22,0.692,0.7,0.945,0,0,0,1
low_-044,low_family_obligation,0.23,0.704,0.42,0.97,1,1,1,0
low_-045,low_family_obligation,0.24,0.656,0.49,0.995,0,1,0,0
low_-046,low_family_obligation,0.25,0.668,0.56,1.02,1,0,1,1
low_-047,low_family_obligation,0.26,0.68,0.63,1.045,0,1,1,0
low_-048,low_family_obligation,0.27,0.692,0.7,0.92,0,1,0,1
low_-049,low_family_obligation,0.21,0.704,0.42,0.945,1,0,1,0
low_-050,low_family_obligation,0.22,0.656,0.49,0.97,0,1,0,0
low_-051,low_family_obligation,0.23,0.668,0.56,0.995,0,0,0,1
low_-052,low_family_obligation,0.24,0.68,0.63,1.02,1,1,1,0
low_-053,low_family_obligation,0.25,0.692,0.7,1.045,0,1,0,0
low_-054,low_family_obligation,0.26,0.704,0.42,0.92,0,0,1,1
low_-055,low_family_obligation,0.27,0.656,0.49,0.945,0,1,1,0
