worker_id,network_group,informal_insurance_index,network_job_share,community_obligation_index,urban_wage_offer_ratio,urban_job_access_index,migrated_to_city,took_network_job
weak-000,weak_network_insurance,0.252,0.165,0.25,1.28,0.55,1,0
weak-001,weak_network_insurance,0.26,0.175,0.262,1.295,0.56,1,0
weak-002,weak_network_insurance,0.268,0.185,0.274,1.31,0.57,0,0
weak-003,weak_network_insurance,0.276,0.195,0.286,1.325,0.58,1,0
weak-004,weak_network_insurance,0.284,0.165,0.298,1.34,0.59,1,0
weak-005,weak_network_insurance,0.292,0.175,0.31,1.28,0.6,0,0
weak-006,weak_network_insurance,0.3,0.185,0.25,1.295,0.61,1,1
weak-007,weak_network_insurance,0.308,0.195,0.262,1.31,0.55,0,0
weak-008,weak_network_insurance,0.252,0.165,0.274,1.325,0.56,1,0
weak-009,weak_network_insurance,0.26,0.175,0.286,1.34,0.57,1,1
weak-010,weak_network_insurance,0.268,0.185,0.298,1.28,0.58,0,0
weak-011,weak_network_insurance,0.276,0.195,0.31,1.295,0.59,1,0
weak-012,weak_network_insurance,0.284,0.165,0.25,1.31,0.6,1,0
weak-013,weak_network_insurance,0.292,0.175,0.262,1.325,0.61,0,0
weak-014,weak_network_insurance,0.3,0.185,0.274,1.34,0.55,1,0
weak-015,weak_network_insurance,0.308,0.195,0.286,1.28,0.56,0,0
weak-016,weak_network_insurance,0.252,0.165,0.298,1.295,0.57,1,0
weak-017,weak_network_insurance,0.26,0.175,0.31,1.31,0.58,1,1
weak-018,weak_network_insurance,0.268,0.185,0.25,1.325,0.59,0,0
weak-019,weak_network_insurance,0.276,0.195,0.262,1.34,0.6,1,0
weak-020,weak_network_insurance,0.284,0.165,0.274,1.28,0.61,1,0
weak-021,weak_network_insurance,0.292,0.175,0.286,1.295,0.55,0,0
weak-022,weak_network_insurance,0.3,0.185,0.298,1.31,0.56,1,0
weak-023,weak_network_insurance,0.308,0.195,0.31,1.325,0.57,0,0
weak-024,weak_network_insurance,0.252,0.165,0.25,1.34,0.58,0,0
weak-025,weak_network_insurance,0.26,0.175,0.262,1.28,0.59,1,1
weak-026,weak_network_insurance,0.268,0.185,0.274,1.295,0.6,0,0
weak-027,weak_network_insurance,0.276,0.195,0.286,1.31,0.61,1,0
weak-028,weak_network_insurance,0.284,0.165,0.298,1.325,0.55,1,1
weak-029,weak_network_insurance,0.292,0.175,0.31,1.34,0.56,0,0
weak-030,weak_network_insurance,0.3,0.185,0.25,1.28,0.57,1,0
weak-031,weak_network_insurance,0.308,0.195,0.262,1.295,0.58,1,0
weak-032,weak_network_insurance,0.252,0.165,0.274,1.31,0.59,0,0
weak-033,weak_network_insurance,0.26,0.175,0.286,1.325,0.6,1,1
weak-034,weak_network_insurance,0.268,0.185,0.298,1.34,0.61,0,0
weak-035,weak_network_insurance,0.276,0.195,0.31,1.28,0.55,1,0
weak-036,weak_network_insurance,0.284,0.165,0.25,1.295,0.56,1,1
weak-037,weak_network_insurance,0.292,0.175,0.262,1.31,0.57,0,0
weak-038,weak_network_insurance,0.3,0.185,0.274,1.325,0.58,1,0
weak-039,weak_network_insurance,0.308,0.195,0.286,1.34,0.59,1,0
weak-040,weak_network_insurance,0.252,0.165,0.298,1.28,0.6,0,0
weak-041,weak_network_insurance,0.26,0.175,0.31,1.295,0.61,1,0
weak-042,weak_network_insurance,0.268,0.185,0.25,1.31,0.55,0,0
weak-043,weak_network_insurance,0.276,0.195,0.262,1.325,0.56,1,0
weak-044,weak_network_insurance,0.284,0.165,0.274,1.34,0.57,1,1
weak-045,weak_network_insurance,0.292,0.175,0.286,1.28,0.58,0,0
weak-046,weak_network_insurance,0.3,0.185,0.298,1.295,0.59,1,0
weak-047,weak_network_insurance,0.308,0.195,0.31,1.31,0.6,1,0
weak-048,weak_network_insurance,0.252,0.165,0.25,1.325,0.61,0,0
weak-049,weak_network_insurance,0.26,0.175,0.262,1.34,0.55,1,0
weak-050,weak_network_insurance,0.268,0.185,0.274,1.28,0.56,1,0
weak-051,weak_network_insurance,0.276,0.195,0.286,1.295,0.57,0,0
weak-052,weak_network_insurance,0.284,0.165,0.298,1.31,0.58,1,1
weak-053,weak_network_insurance,0.292,0.175,0.31,1.325,0.59,0,0
weak-054,weak_network_insurance,0.3,0.185,0.25,1.34,0.6,1,0
weak-055,weak_network_insurance,0.308,0.195,0.262,1.28,0.61,1,1
weak-056,weak_network_insurance,0.252,0.165,0.274,1.295,0.55,0,0
weak-057,weak_network_insurance,0.26,0.175,0.286,1.31,0.56,1,0
weak-058,weak_network_insurance,0.268,0.185,0.298,1.325,0.57,1,0
weak-059,weak_network_insurance,0.276,0.195,0.31,1.34,0.58,0,0
weak-060,weak_network_insurance,0.284,0.165,0.25,1.28,0.59,1,1
weak-061,weak_network_insurance,0.292,0.175,0.262,1.295,0.6,0,0
weak-062,weak_network_insurance,0.3,0.185,0.274,1.31,0.61,1,0
weak-063,weak_network_insurance,0.308,0.195,0.286,1.325,0.55,1,1
weak-064,weak_network_insurance,0.252,0.165,0.298,1.34,0.56,0,0
weak-065,weak_network_insurance,0.26,0.175,0.31,1.28,0.57,1,0
weak-066,weak_network_insurance,0.268,0.185,0.25,1.295,0.58,1,0
weak-067,weak_network_insurance,0.276,0.195,0.262,1.31,0.59,0,0
weak-068,weak_network_insurance,0.284,0.165,0.274,1.325,0.6,1,0
weak-069,weak_network_insurance,0.292,0.175,0.286,1.34,0.61,0,0
weak-070,weak_network_insurance,0.3,0.185,0.298,1.28,0.55,1,0
weak-071,weak_network_insurance,0.308,0.195,0.31,1.295,0.56,1,1
weak-072,weak_network_insurance,0.252,0.165,0.25,1.31,0.57,0,0
weak-073,weak_network_insurance,0.26,0.175,0.262,1.325,0.58,1,0
weak-074,weak_network_insurance,0.268,0.185,0.274,1.34,0.59,1,0
weak-075,weak_network_insurance,0.276,0.195,0.286,1.28,0.6,0,0
weak-076,weak_network_insurance,0.284,0.165,0.298,1.295,0.61,1,0
weak-077,weak_network_insurance,0.292,0.175,0.31,1.31,0.55,1,0
weak-078,weak_network_insurance,0.3,0.185,0.25,1.325,0.56,0,0
weak-079,weak_network_insurance,0.308,0.195,0.262,1.34,0.57,1,1
midd-000,middle_network_insurance,0.492,0.315,0.36,1.21,0.48,1,0
midd-001,middle_network_insurance,0.5,0.325,0.372,1.225,0.49,0,1
midd-002,middle_network_insurance,0.508,0.335,0.384,1.24,0.5,0,0
midd-003,middle_network_insurance,0.516,0.345,0.396,1.255,0.51,1,0
midd-004,middle_network_insurance,0.524,0.315,0.408,1.27,0.52,0,1
midd-005,middle_network_insurance,0.532,0.325,0.42,1.21,0.53,0,0
midd-006,middle_network_insurance,0.54,0.335,0.36,1.225,0.54,1,1
midd-007,middle_network_insurance,0.548,0.345,0.372,1.24,0.48,0,0
midd-008,middle_network_insurance,0.492,0.315,0.384,1.255,0.49,1,0
midd-009,middle_network_insurance,0.5,0.325,0.396,1.27,0.5,1,1
midd-010,middle_network_insurance,0.508,0.335,0.408,1.21,0.51,0,0
midd-011,middle_network_insurance,0.516,0.345,0.42,1.225,0.52,1,0
midd-012,middle_network_insurance,0.524,0.315,0.36,1.24,0.53,0,1
midd-013,middle_network_insurance,0.532,0.325,0.372,1.255,0.54,0,0
midd-014,middle_network_insurance,0.54,0.335,0.384,1.27,0.48,1,0
midd-015,middle_network_insurance,0.548,0.345,0.396,1.21,0.49,0,0
midd-016,middle_network_insurance,0.492,0.315,0.408,1.225,0.5,1,0
midd-017,middle_network_insurance,0.5,0.325,0.42,1.24,0.51,1,1
