locality,year,legal_rule_index,inspector_access_index,worker_knowledge_index,effective_law_index,compliance_index,benefit_receipt_rate,formal_share,informal_share,formal_wage_index,local_demand_index,wage_rigidity_index
capital_core,2014,1.0,0.72,0.698,0.503,0.667,0.722,0.834,0.166,1.011,0.88,0.16
capital_core,2015,1.0,0.74,0.703,0.52,0.68,0.732,0.835,0.165,1.009,0.906,0.16
capital_core,2016,1.0,0.757,0.706,0.535,0.691,0.741,0.836,0.164,1.008,0.927,0.16
capital_core,2017,1.0,0.745,0.708,0.527,0.687,0.737,0.836,0.164,1.01,0.941,0.16
capital_core,2018,1.0,0.751,0.684,0.514,0.677,0.729,0.834,0.166,1.009,0.946,0.16
capital_core,2019,1.0,0.751,0.684,0.514,0.678,0.729,0.834,0.166,1.009,0.945,0.16
capital_core,2020,1.0,0.724,0.685,0.495,0.664,0.719,0.833,0.167,1.012,0.943,0.16
capital_core,2021,1.0,0.719,0.686,0.493,0.663,0.718,0.833,0.167,1.013,0.943,0.16
capital_core,2022,1.0,0.717,0.664,0.476,0.651,0.708,0.831,0.169,1.013,0.951,0.16
capital_core,2023,1.0,0.696,0.668,0.465,0.644,0.703,0.831,0.169,1.017,0.967,0.16
capital_core,2024,1.0,0.704,0.674,0.475,0.652,0.709,0.832,0.168,1.017,0.99,0.16
capital_core,2025,1.0,0.718,0.682,0.49,0.664,0.719,0.834,0.166,1.016,1.017,0.16
industrial_corridor,2014,1.0,0.66,0.628,0.414,0.605,0.671,0.778,0.222,1.016,0.88,0.18
industrial_corridor,2015,1.0,0.68,0.633,0.43,0.618,0.681,0.778,0.222,1.015,0.906,0.18
industrial_corridor,2016,1.0,0.697,0.636,0.443,0.627,0.689,0.779,0.221,1.014,0.927,0.18
industrial_corridor,2017,1.0,0.685,0.638,0.437,0.623,0.686,0.779,0.221,1.016,0.941,0.18
industrial_corridor,2018,1.0,0.691,0.614,0.424,0.615,0.678,0.777,0.223,1.015,0.946,0.18
industrial_corridor,2019,1.0,0.691,0.614,0.424,0.615,0.678,0.777,0.223,1.015,0.945,0.18
industrial_corridor,2020,1.0,0.664,0.615,0.408,0.603,0.669,0.777,0.223,1.018,0.943,0.18
industrial_corridor,2021,1.0,0.659,0.616,0.406,0.602,0.668,0.777,0.223,1.019,0.943,0.18
industrial_corridor,2022,1.0,0.657,0.594,0.39,0.591,0.659,0.775,0.225,1.019,0.951,0.18
industrial_corridor,2023,1.0,0.636,0.598,0.38,0.585,0.654,0.775,0.225,1.023,0.967,0.18
industrial_corridor,2024,1.0,0.644,0.604,0.389,0.592,0.66,0.776,0.224,1.023,0.99,0.18
industrial_corridor,2025,1.0,0.658,0.612,0.403,0.603,0.669,0.777,0.223,1.022,1.017,0.18
secondary_city,2014,1.0,0.54,0.558,0.301,0.526,0.608,0.694,0.306,1.031,0.88,0.21
secondary_city,2015,1.0,0.56,0.563,0.315,0.537,0.616,0.694,0.306,1.029,0.906,0.21
secondary_city,2016,1.0,0.577,0.566,0.327,0.546,0.623,0.695,0.305,1.028,0.927,0.21
secondary_city,2017,1.0,0.565,0.568,0.321,0.542,0.62,0.695,0.305,1.03,0.941,0.21
secondary_city,2018,1.0,0.571,0.544,0.311,0.535,0.614,0.693,0.307,1.029,0.946,0.21
secondary_city,2019,1.0,0.571,0.544,0.311,0.535,0.614,0.693,0.307,1.029,0.945,0.21
secondary_city,2020,1.0,0.544,0.545,0.296,0.525,0.606,0.693,0.307,1.033,0.943,0.21
secondary_city,2021,1.0,0.539,0.546,0.294,0.524,0.605,0.693,0.307,1.033,0.943,0.21
secondary_city,2022,1.0,0.537,0.524,0.281,0.515,0.598,0.692,0.308,1.033,0.951,0.21
secondary_city,2023,1.0,0.516,0.528,0.272,0.509,0.593,0.692,0.308,1.037,0.967,0.21
secondary_city,2024,1.0,0.524,0.534,0.28,0.516,0.599,0.693,0.307,1.037,0.99,0.21
secondary_city,2025,1.0,0.538,0.542,0.292,0.525,0.606,0.694,0.306,1.036,1.017,0.21
border_services,2014,1.0,0.47,0.478,0.225,0.472,0.563,0.63,0.37,1.038,0.88,0.23
border_services,2015,1.0,0.49,0.483,0.237,0.482,0.57,0.63,0.37,1.037,0.906,0.23
border_services,2016,1.0,0.507,0.486,0.246,0.49,0.576,0.63,0.37,1.036,0.927,0.23
border_services,2017,1.0,0.495,0.488,0.241,0.487,0.574,0.631,0.369,1.038,0.941,0.23
border_services,2018,1.0,0.501,0.464,0.232,0.481,0.568,0.629,0.371,1.037,0.946,0.23
border_services,2019,1.0,0.501,0.464,0.233,0.481,0.568,0.629,0.371,1.037,0.945,0.23
