firm_id,sector,year,productivity_index,visibility_index,enforcement_index,registration_cost_index,payroll_tax_index,worker_skill_index,benefit_value_index,registered_firm,payroll_reported_share,hidden_worker_share,contract_quality_index,effective_enforceability_index,firm_size,formal_wage_index,informal_wage_index
textiles_micro,manufacturing,2018,0.348,0.3,0.371,0.512,0.39,0.318,0.47,0,0.188,0.812,0.263,0.172,10,0.961,0.923
textiles_micro,manufacturing,2019,0.374,0.3,0.379,0.501,0.41,0.34,0.47,0,0.189,0.811,0.266,0.175,11,0.97,0.932
textiles_micro,manufacturing,2020,0.394,0.3,0.382,0.486,0.427,0.362,0.47,0,0.189,0.811,0.269,0.177,11,0.978,0.939
textiles_micro,manufacturing,2021,0.409,0.3,0.396,0.471,0.44,0.383,0.47,0,0.191,0.809,0.271,0.181,11,0.984,0.944
textiles_micro,manufacturing,2022,0.418,0.3,0.427,0.455,0.448,0.403,0.47,0,0.197,0.803,0.273,0.187,12,0.989,0.949
textiles_micro,manufacturing,2023,0.422,0.3,0.464,0.44,0.45,0.424,0.47,0,0.205,0.795,0.276,0.195,12,0.993,0.951
textiles_micro,manufacturing,2024,0.425,0.3,0.492,0.428,0.445,0.444,0.47,0,0.213,0.787,0.278,0.2,12,0.998,0.954
textiles_micro,manufacturing,2025,0.429,0.3,0.503,0.419,0.433,0.464,0.47,0,0.219,0.781,0.28,0.203,12,1.003,0.957
food_stall_cluster,services,2018,0.287,0.22,0.325,0.432,0.34,0.263,0.38,0,0.175,0.825,0.253,0.159,8,0.934,0.904
food_stall_cluster,services,2019,0.313,0.22,0.334,0.421,0.36,0.285,0.38,0,0.176,0.824,0.256,0.162,9,0.943,0.912
food_stall_cluster,services,2020,0.334,0.22,0.337,0.406,0.377,0.307,0.38,0,0.176,0.824,0.259,0.164,9,0.951,0.92
food_stall_cluster,services,2021,0.349,0.22,0.35,0.391,0.39,0.328,0.38,0,0.178,0.822,0.261,0.168,10,0.958,0.926
food_stall_cluster,services,2022,0.359,0.22,0.379,0.375,0.398,0.349,0.38,0,0.184,0.816,0.264,0.174,10,0.963,0.93
food_stall_cluster,services,2023,0.364,0.22,0.416,0.36,0.4,0.369,0.38,0,0.193,0.807,0.266,0.181,10,0.968,0.933
food_stall_cluster,services,2024,0.367,0.22,0.446,0.348,0.395,0.389,0.38,0,0.201,0.799,0.268,0.186,10,0.972,0.935
food_stall_cluster,services,2025,0.37,0.22,0.458,0.339,0.383,0.41,0.38,0,0.207,0.793,0.27,0.19,11,0.977,0.938
repair_workshop,services,2018,0.461,0.38,0.417,0.482,0.34,0.347,0.44,0,0.227,0.773,0.285,0.194,14,1.002,0.949
repair_workshop,services,2019,0.485,0.38,0.424,0.471,0.36,0.369,0.44,0,0.227,0.773,0.288,0.197,14,1.011,0.957
repair_workshop,services,2020,0.505,0.38,0.427,0.456,0.377,0.39,0.44,0,0.227,0.773,0.29,0.199,15,1.018,0.964
repair_workshop,services,2021,0.518,0.38,0.443,0.441,0.39,0.411,0.44,0,0.229,0.771,0.293,0.203,15,1.024,0.97
repair_workshop,services,2022,0.526,0.38,0.475,0.425,0.398,0.432,0.44,0,0.235,0.765,0.295,0.21,15,1.029,0.973
repair_workshop,services,2023,0.53,0.38,0.512,0.41,0.4,0.452,0.44,0,0.244,0.756,0.297,0.217,15,1.033,0.976
repair_workshop,services,2024,0.532,0.38,0.538,0.398,0.395,0.473,0.44,1,0.731,0.269,0.805,0.6,24,1.037,0.95
repair_workshop,services,2025,0.537,0.38,0.549,0.389,0.383,0.493,0.44,1,0.737,0.263,0.807,0.606,25,1.043,0.953
garment_exporter,manufacturing,2018,0.757,0.72,0.611,0.392,0.39,0.541,0.66,1,0.798,0.202,0.846,0.665,31,1.126,1.004
garment_exporter,manufacturing,2019,0.779,0.72,0.615,0.381,0.41,0.562,0.66,1,0.797,0.203,0.849,0.669,32,1.134,1.011
garment_exporter,manufacturing,2020,0.795,0.72,0.621,0.366,0.427,0.584,0.66,1,0.797,0.203,0.851,0.673,32,1.14,1.017
garment_exporter,manufacturing,2021,0.805,0.72,0.643,0.351,0.44,0.604,0.66,1,0.8,0.2,0.852,0.685,33,1.145,1.022
garment_exporter,manufacturing,2022,0.81,0.72,0.678,0.335,0.448,0.625,0.66,1,0.806,0.194,0.855,0.703,33,1.149,1.025
garment_exporter,manufacturing,2023,0.813,0.72,0.713,0.32,0.45,0.645,0.66,1,0.814,0.186,0.857,0.721,33,1.153,1.027
garment_exporter,manufacturing,2024,0.816,0.72,0.734,0.308,0.445,0.665,0.66,1,0.82,0.18,0.858,0.733,33,1.158,1.03
garment_exporter,manufacturing,2025,0.823,0.72,0.74,0.299,0.433,0.686,0.66,1,0.826,0.174,0.86,0.737,33,1.164,1.034
logistics_medium,transport,2018,0.635,0.61,0.549,0.452,0.34,0.471,0.58,1,0.772,0.228,0.826,0.621,28,1.079,0.97
