establishment_id,sector,election_year,union_vote_share,won_recognition,close_to_threshold,organizing_demand_index,labor_market_tightness_index,employer_opposition_index,organizing_cost_index,pre_wage_index,post_wage_index,wage_change,employment_pre,employment_post,employment_change,payroll_pre,payroll_post,payroll_change,survived_three_years
est-001,hospital,2018,0.516,1,1,0.56,0.68,0.445,0.468,1.133,1.183,0.05,87,90,3,98.542,106.452,7.91,1
est-002,warehouse,2019,0.528,1,1,0.481,0.759,0.638,0.495,1.041,1.089,0.049,120,122,2,124.873,132.871,7.998,1
est-003,hotel,2020,0.486,0,1,0.542,0.515,0.58,0.527,0.944,0.962,0.018,77,80,3,72.653,76.932,4.28,1
est-004,food_processing,2021,0.478,0,1,0.609,0.529,0.52,0.507,0.986,1.005,0.019,104,108,4,102.495,108.529,6.034,0
est-005,nursing_home,2022,0.531,1,1,0.654,0.602,0.489,0.482,0.919,0.969,0.051,68,70,2,62.48,67.854,5.374,1
est-006,retail,2023,0.501,1,1,0.475,0.463,0.667,0.56,0.89,0.936,0.046,54,55,1,48.034,51.479,3.445,1
est-007,transport,2018,0.49,0,1,0.582,0.693,0.544,0.481,1.071,1.091,0.02,97,101,4,103.852,110.142,6.29,1
est-008,manufacturing,2019,0.475,0,1,0.525,0.553,0.59,0.523,1.085,1.103,0.018,141,144,3,152.928,158.785,5.857,1
est-009,hospital,2020,0.542,1,1,0.591,0.623,0.435,0.475,1.151,1.201,0.05,94,96,2,108.187,115.31,7.123,1
est-010,warehouse,2021,0.508,1,1,0.49,0.695,0.62,0.504,1.059,1.107,0.048,128,130,2,135.529,143.929,8.4,1
est-011,hotel,2022,0.461,0,1,0.528,0.448,0.554,0.537,0.962,0.98,0.018,84,87,3,80.793,85.219,4.426,1
est-012,food_processing,2023,0.496,0,1,0.577,0.463,0.488,0.518,1.004,1.023,0.019,112,116,4,112.448,118.642,6.194,0
est-013,nursing_home,2018,0.541,1,1,0.609,0.54,0.452,0.492,0.938,0.987,0.05,76,78,2,71.258,77.02,5.762,1
est-014,retail,2019,0.468,0,1,0.422,0.41,0.627,0.569,0.909,0.924,0.016,62,65,3,56.339,60.09,3.751,1
est-015,transport,2020,0.477,0,1,0.53,0.653,0.502,0.487,1.09,1.11,0.019,105,109,4,114.481,120.942,6.461,1
est-016,manufacturing,2021,0.501,1,1,0.481,0.527,0.547,0.525,1.105,1.152,0.048,149,150,1,164.611,172.864,8.253,1
est-017,hospital,2022,0.542,1,1,0.562,0.614,0.394,0.472,1.172,1.222,0.05,102,104,2,119.507,127.056,7.549,1
est-018,warehouse,2023,0.481,0,1,0.48,0.702,0.581,0.496,1.08,1.099,0.018,136,140,4,146.885,153.793,6.908,1
est-019,hotel,2018,0.473,0,1,0.54,0.472,0.52,0.525,0.984,1.002,0.018,93,96,3,91.466,96.162,4.697,1
est-020,food_processing,2019,0.532,1,1,0.612,0.502,0.46,0.501,1.026,1.076,0.05,120,122,2,123.126,131.228,8.102,1
est-021,nursing_home,2020,0.537,1,1,0.663,0.591,0.431,0.473,0.96,1.011,0.051,84,86,2,80.633,86.932,6.299,1
est-022,retail,2021,0.456,0,1,0.493,0.47,0.613,0.547,0.931,0.948,0.017,70,73,3,65.179,69.218,4.039,1
est-023,transport,2022,0.51,1,1,0.61,0.718,0.497,0.465,1.113,1.163,0.051,114,117,3,126.85,136.115,9.265,0
est-024,manufacturing,2023,0.532,1,1,0.564,0.594,0.551,0.504,1.127,1.176,0.049,157,159,2,176.944,186.994,10.05,1
est-025,hospital,2018,0.528,1,1,0.64,0.678,0.406,0.453,1.194,1.245,0.051,111,114,3,132.489,141.919,9.43,1
est-026,warehouse,2019,0.477,0,1,0.546,0.76,0.602,0.482,1.102,1.121,0.02,144,148,4,158.624,165.917,7.293,1
est-027,hotel,2020,0.507,1,1,0.589,0.519,0.548,0.516,1.004,1.053,0.049,101,103,2,101.452,108.498,7.045,1
est-028,food_processing,2021,0.539,1,1,0.639,0.536,0.493,0.498,1.046,1.096,0.05,128,130,2,133.941,142.524,8.583,1
est-029,nursing_home,2022,0.506,1,1,0.668,0.61,0.469,0.476,0.98,1.03,0.051,92,94,2,90.125,96.866,6.74,1
est-030,retail,2023,0.454,0,1,0.477,0.473,0.655,0.556,0.95,0.967,0.017,78,81,3,74.114,78.311,4.197,1
est-031,transport,2018,0.531,1,1,0.576,0.704,0.54,0.479,1.131,1.181,0.05,121,123,2,136.868,145.268,8.4,0
est-032,manufacturing,2019,0.512,1,1,0.517,0.564,0.594,0.522,1.145,1.193,0.048,165,167,2,188.909,199.219,10.311,1
est-033,hospital,2020,0.49,0,1,0.587,0.634,0.447,0.475,1.211,1.231,0.02,118,122,4,142.901,150.205,7.304,1
est-034,warehouse,2021,0.483,0,1,0.495,0.705,0.639,0.505,1.119,1.137,0.018,152,156,4,170.04,177.375,7.335,1
est-035,hotel,2022,0.519,1,1,0.547,0.456,0.58,0.539,1.021,1.069,0.048,108,109,1,110.317,116.551,6.234,1
est-036,food_processing,2023,0.508,1,1,0.613,0.469,0.52,0.519,1.063,1.112,0.049,136,138,2,144.624,153.52,8.895,1
est-037,nursing_home,2018,0.484,0,1,0.661,0.544,0.488,0.493,0.997,1.017,0.02,99,103,4,98.685,104.76,6.075,1
est-038,retail,2019,0.477,0,1,0.492,0.411,0.666,0.569,0.968,0.984,0.016,86,89,3,83.225,87.585,4.36,1
est-039,transport,2020,0.541,1,1,0.614,0.65,0.542,0.486,1.149,1.199,0.05,129,131,2,148.247,157.097,8.85,0
est-040,manufacturing,2021,0.487,0,1,0.575,0.522,0.588,0.524,1.164,1.182,0.019,173,176,3,201.3,208.048,6.747,1
est-041,hospital,2022,0.495,0,1,0.659,0.606,0.432,0.471,1.23,1.251,0.021,126,130,4,155.032,162.678,7.646,1
est-042,warehouse,2023,0.521,1,1,0.576,0.693,0.617,0.495,1.139,1.188,0.049,160,162,2,182.213,192.489,10.276,1
est-043,hotel,2018,0.523,1,1,0.63,0.461,0.551,0.524,1.042,1.091,0.049,116,117,1,120.914,127.692,6.777,1
est-044,food_processing,2019,0.491,0,1,0.689,0.49,0.485,0.5,1.085,1.105,0.02,144,148,4,156.246,163.591,7.345,1
est-045,nursing_home,2020,0.508,1,1,0.725,0.58,0.449,0.472,1.019,1.071,0.051,108,110,2,110.061,117.763,7.702,1
est-046,retail,2021,0.513,1,1,0.538,0.46,0.624,0.546,0.991,1.038,0.047,94,95,1,93.108,98.608,5.5,1
est-047,transport,2022,0.531,1,1,0.638,0.709,0.499,0.464,1.172,1.223,0.051,137,140,3,160.612,171.257,10.645,1
est-048,manufacturing,2023,0.474,0,1,0.576,0.587,0.545,0.503,1.187,1.206,0.019,181,185,4,214.834,223.129,8.294,1
