worker_id,establishment_id,sector,won_recognition,incumbent_worker,skill_index,pre_wage_index,post_wage_index,wage_change,separated_within_two_years,grievance_channel_index
est-001-w01,est-001,hospital,1,1,0.35,1.154,1.195,0.041,1,0.721
est-001-w02,est-001,hospital,1,1,0.4,1.169,1.21,0.041,0,0.721
est-001-w03,est-001,hospital,1,1,0.45,1.184,1.225,0.041,0,0.721
est-001-w04,est-001,hospital,1,1,0.5,1.163,1.204,0.041,0,0.721
est-001-w05,est-001,hospital,1,1,0.55,1.178,1.219,0.041,0,0.721
est-001-w06,est-001,hospital,1,1,0.35,1.178,1.219,0.041,0,0.721
est-001-w07,est-001,hospital,1,1,0.4,1.157,1.198,0.041,0,0.721
est-001-w08,est-001,hospital,1,0,0.45,1.172,1.203,0.031,0,0.721
est-001-w09,est-001,hospital,1,0,0.5,1.187,1.218,0.031,1,0.721
est-001-w10,est-001,hospital,1,0,0.55,1.166,1.197,0.031,0,0.721
est-002-w01,est-002,warehouse,1,1,0.36,1.063,1.102,0.039,0,0.707
est-002-w02,est-002,warehouse,1,1,0.41,1.078,1.117,0.039,0,0.707
est-002-w03,est-002,warehouse,1,1,0.46,1.093,1.132,0.039,0,0.707
est-002-w04,est-002,warehouse,1,1,0.51,1.072,1.111,0.039,0,0.707
est-002-w05,est-002,warehouse,1,1,0.56,1.087,1.126,0.039,0,0.707
est-002-w06,est-002,warehouse,1,1,0.36,1.087,1.126,0.039,0,0.707
est-002-w07,est-002,warehouse,1,1,0.41,1.066,1.105,0.039,1,0.707
est-002-w08,est-002,warehouse,1,0,0.46,1.081,1.11,0.029,0,0.707
est-002-w09,est-002,warehouse,1,0,0.51,1.096,1.125,0.029,0,0.707
est-002-w10,est-002,warehouse,1,0,0.56,1.075,1.104,0.029,1,0.707
est-003-w01,est-003,hotel,0,1,0.369,0.966,0.988,0.022,0,0.298
est-003-w02,est-003,hotel,0,1,0.419,0.981,1.003,0.022,0,0.298
est-003-w03,est-003,hotel,0,1,0.469,0.996,1.018,0.022,0,0.298
est-003-w04,est-003,hotel,0,1,0.519,0.975,0.997,0.022,0,0.298
est-003-w05,est-003,hotel,0,1,0.569,0.99,1.012,0.022,0,0.298
est-003-w06,est-003,hotel,0,1,0.369,0.99,1.012,0.022,0,0.298
est-003-w07,est-003,hotel,0,1,0.419,0.969,0.991,0.022,0,0.298
est-003-w08,est-003,hotel,0,0,0.469,0.984,0.996,0.012,1,0.298
est-003-w09,est-003,hotel,0,0,0.519,0.999,1.011,0.012,0,0.298
est-003-w10,est-003,hotel,0,0,0.569,0.978,0.99,0.012,0,0.298
est-004-w01,est-004,food_processing,0,1,0.377,1.009,1.031,0.023,1,0.31
est-004-w02,est-004,food_processing,0,1,0.427,1.024,1.046,0.023,0,0.31
est-004-w03,est-004,food_processing,0,1,0.477,1.039,1.061,0.023,0,0.31
est-004-w04,est-004,food_processing,0,1,0.527,1.018,1.04,0.023,0,0.31
est-004-w05,est-004,food_processing,0,1,0.577,1.033,1.055,0.023,0,0.31
est-004-w06,est-004,food_processing,0,1,0.377,1.033,1.055,0.023,1,0.31
est-004-w07,est-004,food_processing,0,1,0.427,1.012,1.034,0.023,0,0.31
est-004-w08,est-004,food_processing,0,0,0.477,1.027,1.039,0.013,0,0.31
est-004-w09,est-004,food_processing,0,0,0.527,1.042,1.054,0.013,1,0.31
est-004-w10,est-004,food_processing,0,0,0.577,1.021,1.033,0.013,0,0.31
est-005-w01,est-005,nursing_home,1,1,0.384,0.942,0.983,0.041,0,0.738
est-005-w02,est-005,nursing_home,1,1,0.434,0.957,0.998,0.041,0,0.738
est-005-w03,est-005,nursing_home,1,1,0.484,0.972,1.013,0.041,0,0.738
est-005-w04,est-005,nursing_home,1,1,0.534,0.951,0.992,0.041,1,0.738
est-005-w05,est-005,nursing_home,1,1,0.584,0.966,1.007,0.041,0,0.738
est-005-w06,est-005,nursing_home,1,1,0.384,0.966,1.007,0.041,0,0.738
est-005-w07,est-005,nursing_home,1,1,0.434,0.945,0.986,0.041,1,0.738
est-005-w08,est-005,nursing_home,1,0,0.484,0.96,0.991,0.031,0,0.738
est-005-w09,est-005,nursing_home,1,0,0.534,0.975,1.006,0.031,0,0.738
est-005-w10,est-005,nursing_home,1,0,0.584,0.954,0.985,0.031,0,0.738
est-006-w01,est-006,retail,1,1,0.388,0.913,0.952,0.039,0,0.706
est-006-w02,est-006,retail,1,1,0.438,0.928,0.967,0.039,0,0.706
est-006-w03,est-006,retail,1,1,0.488,0.943,0.982,0.039,0,0.706
est-006-w04,est-006,retail,1,1,0.538,0.922,0.961,0.039,0,0.706
est-006-w05,est-006,retail,1,1,0.588,0.937,0.976,0.039,1,0.706
est-006-w06,est-006,retail,1,1,0.388,0.937,0.976,0.039,0,0.706
est-006-w07,est-006,retail,1,1,0.438,0.916,0.955,0.039,0,0.706
est-006-w08,est-006,retail,1,0,0.488,0.931,0.96,0.029,1,0.706
est-006-w09,est-006,retail,1,0,0.538,0.946,0.975,0.029,0,0.706
est-006-w10,est-006,retail,1,0,0.588,0.925,0.954,0.029,0,0.706
est-007-w01,est-007,transport,0,1,0.39,1.094,1.117,0.022,0,0.305
est-007-w02,est-007,transport,0,1,0.44,1.109,1.132,0.022,0,0.305
est-007-w03,est-007,transport,0,1,0.49,1.124,1.147,0.022,1,0.305
est-007-w04,est-007,transport,0,1,0.54,1.103,1.126,0.022,0,0.305
est-007-w05,est-007,transport,0,1,0.59,1.118,1.141,0.022,0,0.305
est-007-w06,est-007,transport,0,1,0.39,1.118,1.141,0.022,1,0.305
est-007-w07,est-007,transport,0,1,0.44,1.097,1.12,0.022,0,0.305
est-007-w08,est-007,transport,0,0,0.49,1.112,1.125,0.012,0,0.305
est-007-w09,est-007,transport,0,0,0.54,1.127,1.14,0.012,0,0.305
est-007-w10,est-007,transport,0,0,0.59,1.106,1.119,0.012,0,0.305
est-008-w01,est-008,manufacturing,0,1,0.389,1.108,1.13,0.022,1,0.294
est-008-w02,est-008,manufacturing,0,1,0.439,1.123,1.145,0.022,0,0.294
est-008-w03,est-008,manufacturing,0,1,0.489,1.138,1.16,0.022,0,0.294
est-008-w04,est-008,manufacturing,0,1,0.539,1.117,1.139,0.022,1,0.294
est-008-w05,est-008,manufacturing,0,1,0.589,1.132,1.154,0.022,0,0.294
est-008-w06,est-008,manufacturing,0,1,0.389,1.132,1.154,0.022,0,0.294
