worker_id,origin_norm_group,origin_female_lfp,origin_fertility,family_role_norm_index,current_peer_pressure_index,host_labor_demand_index,host_wage_index,childcare_cost_index,education_years,married,children_under6,works_for_pay,weekly_hours
wk5-001,egalitarian_family_role,0.708,1.675,0.19,0.255,0.44,0.88,0.24,11,1,1,0,0
wk5-002,egalitarian_family_role,0.714,1.725,0.2,0.273,0.495,0.915,0.295,12,1,1,0,0
wk5-003,egalitarian_family_role,0.72,1.775,0.21,0.291,0.55,0.95,0.35,13,1,1,0,0
wk5-004,egalitarian_family_role,0.726,1.825,0.22,0.309,0.605,0.985,0.405,14,1,1,0,0
wk5-005,egalitarian_family_role,0.732,1.675,0.23,0.327,0.66,1.02,0.46,15,0,1,0,0
wk5-006,egalitarian_family_role,0.708,1.725,0.24,0.345,0.715,1.055,0.515,16,0,1,0,0
wk5-007,egalitarian_family_role,0.714,1.775,0.25,0.255,0.77,1.09,0.57,17,0,0,0,0
wk5-008,egalitarian_family_role,0.72,1.825,0.19,0.273,0.825,1.125,0.24,11,0,0,0,0
wk5-009,egalitarian_family_role,0.726,1.675,0.2,0.291,0.44,1.16,0.295,12,0,0,1,27.3
wk5-010,egalitarian_family_role,0.732,1.725,0.21,0.309,0.495,0.88,0.35,13,0,0,1,27.2
wk5-011,egalitarian_family_role,0.708,1.775,0.22,0.327,0.55,0.915,0.405,14,0,0,1,24.0
wk5-012,egalitarian_family_role,0.714,1.825,0.23,0.345,0.605,0.95,0.46,15,0,0,1,25.7
wk5-013,egalitarian_family_role,0.72,1.675,0.24,0.255,0.66,0.985,0.515,16,0,0,1,27.5
wk5-014,egalitarian_family_role,0.726,1.725,0.25,0.273,0.715,1.02,0.57,17,0,0,1,29.2
wk5-015,egalitarian_family_role,0.732,1.775,0.19,0.291,0.77,1.055,0.24,11,0,0,1,31.0
wk5-016,egalitarian_family_role,0.708,1.825,0.2,0.309,0.825,1.09,0.295,12,0,0,1,27.8
wk5-017,egalitarian_family_role,0.714,1.675,0.21,0.327,0.44,1.125,0.35,13,1,0,1,25.1
