applicant_id,applicant_group,job_frame,offered_wage_index,care_obligation_index,self_promotion_confidence_index,perceived_norm_fit_index,application_submitted
app-0001,women,neutral,1.0,0.24,0.44,0.556,0
app-0002,men,neutral,1.0,0.24,0.44,0.576,0
app-0003,women,neutral,1.0,0.3,0.495,0.568,0
app-0004,men,neutral,1.0,0.3,0.495,0.588,0
app-0005,women,neutral,1.0,0.36,0.55,0.58,1
app-0006,men,neutral,1.0,0.36,0.55,0.6,1
app-0007,women,neutral,1.0,0.42,0.605,0.592,1
app-0008,men,neutral,1.0,0.42,0.605,0.612,1
app-0009,women,neutral,1.0,0.48,0.66,0.604,1
app-0010,men,neutral,1.0,0.48,0.66,0.624,1
app-0011,women,neutral,1.0,0.54,0.715,0.556,1
app-0012,men,neutral,1.0,0.54,0.715,0.576,1
app-0013,women,neutral,1.0,0.24,0.77,0.568,1
app-0014,men,neutral,1.0,0.24,0.77,0.588,1
app-0015,women,neutral,1.0,0.3,0.44,0.58,1
app-0016,men,neutral,1.0,0.3,0.44,0.6,1
app-0017,women,neutral,1.0,0.36,0.495,0.592,1
app-0018,men,neutral,1.0,0.36,0.495,0.612,0
app-0019,women,neutral,1.0,0.42,0.55,0.604,0
app-0020,men,neutral,1.0,0.42,0.55,0.624,0
app-0021,women,neutral,1.0,0.48,0.605,0.556,0
app-0022,men,neutral,1.0,0.48,0.605,0.576,0
app-0023,women,neutral,1.0,0.54,0.66,0.568,0
app-0024,men,neutral,1.0,0.54,0.66,0.588,0
app-0025,women,neutral,1.0,0.24,0.715,0.58,0
app-0026,men,neutral,1.0,0.24,0.715,0.6,0
app-0027,women,neutral,1.0,0.3,0.77,0.592,0
app-0028,men,neutral,1.0,0.3,0.77,0.612,0
app-0029,women,neutral,1.0,0.36,0.44,0.604,0
app-0030,men,neutral,1.0,0.36,0.44,0.624,0
app-0031,women,neutral,1.0,0.42,0.495,0.556,0
app-0032,men,neutral,1.0,0.42,0.495,0.576,1
app-0033,women,neutral,1.0,0.48,0.55,0.568,1
app-0034,men,neutral,1.0,0.48,0.55,0.588,1
app-0035,women,neutral,1.0,0.54,0.605,0.58,1
app-0036,men,neutral,1.0,0.54,0.605,0.6,1
app-0037,women,neutral,1.0,0.24,0.66,0.592,1
app-0038,men,neutral,1.0,0.24,0.66,0.612,1
app-0039,women,neutral,1.0,0.3,0.715,0.604,1
app-0040,men,neutral,1.0,0.3,0.715,0.624,1
app-0041,women,neutral,1.0,0.36,0.77,0.556,1
app-0042,men,neutral,1.0,0.36,0.77,0.576,1
app-0043,women,neutral,1.0,0.42,0.44,0.568,1
app-0044,men,neutral,1.0,0.42,0.44,0.588,1
app-0045,women,neutral,1.0,0.48,0.495,0.58,0
app-0046,men,neutral,1.0,0.48,0.495,0.6,0
app-0047,women,neutral,1.0,0.54,0.55,0.592,0
app-0048,men,neutral,1.0,0.54,0.55,0.612,0
app-0049,women,neutral,1.0,0.24,0.605,0.604,0
app-0050,men,neutral,1.0,0.24,0.605,0.624,0
app-0051,women,neutral,1.0,0.3,0.66,0.556,0
app-0052,men,neutral,1.0,0.3,0.66,0.576,0
app-0053,women,neutral,1.0,0.36,0.715,0.568,0
app-0054,men,neutral,1.0,0.36,0.715,0.588,0
app-0055,women,neutral,1.0,0.42,0.77,0.58,0
app-0056,men,neutral,1.0,0.42,0.77,0.6,0
app-0057,women,neutral,1.0,0.48,0.44,0.592,0
app-0058,men,neutral,1.0,0.48,0.44,0.612,0
app-0059,women,neutral,1.0,0.54,0.495,0.604,1
app-0060,men,neutral,1.0,0.54,0.495,0.624,1
app-0061,women,neutral,1.0,0.24,0.55,0.556,1
app-0062,men,neutral,1.0,0.24,0.55,0.576,1
app-0063,women,neutral,1.0,0.3,0.605,0.568,1
app-0064,men,neutral,1.0,0.3,0.605,0.588,1
app-0065,women,neutral,1.0,0.36,0.66,0.58,1
app-0066,men,neutral,1.0,0.36,0.66,0.6,1
app-0067,women,neutral,1.0,0.42,0.715,0.592,1
app-0068,men,neutral,1.0,0.42,0.715,0.612,1
app-0069,women,neutral,1.0,0.48,0.77,0.604,1
app-0070,men,neutral,1.0,0.48,0.77,0.624,1
app-0071,women,neutral,1.0,0.54,0.44,0.556,1
app-0072,men,neutral,1.0,0.54,0.44,0.576,0
app-0073,women,neutral,1.0,0.24,0.495,0.568,0
app-0074,men,neutral,1.0,0.24,0.495,0.588,0
app-0075,women,neutral,1.0,0.3,0.55,0.58,0
app-0076,men,neutral,1.0,0.3,0.55,0.6,0
app-0077,women,neutral,1.0,0.36,0.605,0.592,0
app-0078,men,neutral,1.0,0.36,0.605,0.612,0
app-0079,women,neutral,1.0,0.42,0.66,0.604,0
app-0080,men,neutral,1.0,0.42,0.66,0.624,0
app-0081,women,neutral,1.0,0.48,0.715,0.556,0
app-0082,men,neutral,1.0,0.48,0.715,0.576,0
app-0083,women,neutral,1.0,0.54,0.77,0.568,0
app-0084,men,neutral,1.0,0.54,0.77,0.588,0
app-0085,women,neutral,1.0,0.24,0.44,0.58,0
app-0086,men,neutral,1.0,0.24,0.44,0.6,1
app-0087,women,neutral,1.0,0.3,0.495,0.592,1
app-0088,men,neutral,1.0,0.3,0.495,0.612,1
app-0089,women,neutral,1.0,0.36,0.55,0.604,1
app-0090,men,neutral,1.0,0.36,0.55,0.624,1
app-0091,women,neutral,1.0,0.42,0.605,0.556,1
app-0092,men,neutral,1.0,0.42,0.605,0.576,1
app-0093,women,neutral,1.0,0.48,0.66,0.568,1
app-0094,men,neutral,1.0,0.48,0.66,0.588,1
app-0095,women,neutral,1.0,0.54,0.715,0.58,1
app-0096,men,neutral,1.0,0.54,0.715,0.6,1
app-0097,women,neutral,1.0,0.24,0.77,0.592,1
app-0098,men,neutral,1.0,0.24,0.77,0.612,1
app-0099,women,neutral,1.0,0.3,0.44,0.604,0
app-0100,men,neutral,1.0,0.3,0.44,0.624,0
app-0101,women,neutral,1.0,0.36,0.495,0.556,0
app-0102,men,neutral,1.0,0.36,0.495,0.576,0
app-0103,women,neutral,1.0,0.42,0.55,0.568,0
app-0104,men,neutral,1.0,0.42,0.55,0.588,0
app-0105,women,neutral,1.0,0.48,0.605,0.58,0
app-0106,men,neutral,1.0,0.48,0.605,0.6,0
app-0107,women,neutral,1.0,0.54,0.66,0.592,0
app-0108,men,neutral,1.0,0.54,0.66,0.612,0
app-0109,women,neutral,1.0,0.24,0.715,0.604,0
app-0110,men,neutral,1.0,0.24,0.715,0.624,0
app-0111,women,neutral,1.0,0.3,0.77,0.556,0
app-0112,men,neutral,1.0,0.3,0.77,0.576,0
app-0113,women,neutral,1.0,0.36,0.44,0.568,1
app-0114,men,neutral,1.0,0.36,0.44,0.588,1
app-0115,women,neutral,1.0,0.42,0.495,0.58,1
