applicant_group,job_frame,observations,offered_wage_index,care_obligation_index,self_promotion_confidence_index,perceived_norm_fit_index,application_rate
men,competitive,80,1.06,0.39,0.6091,0.63,0.5125
men,competitive_with_flexibility,80,1.04,0.3915,0.6036,0.62,0.4875
men,neutral,80,1.0,0.387,0.6009,0.6,0.5
men,pink_collar,80,0.97,0.393,0.6029,0.32,0.425
men,team_based,80,0.98,0.3885,0.605,0.61,0.5
women,competitive,80,1.06,0.39,0.6091,0.34,0.475
women,competitive_with_flexibility,80,1.04,0.3915,0.6036,0.52,0.4625
women,neutral,80,1.0,0.387,0.6009,0.58,0.4875
women,pink_collar,80,0.97,0.393,0.6029,0.6,0.475
women,team_based,80,0.98,0.3885,0.605,0.63,0.5125
