application_id,group_signal,credential_origin,resume_quality,local_experience,neighborhood_signal,occupation,employer_sector,callback
wk6-app-0001,white_name_local_credential,local,high,1,disadvantaged,administrative,public,0
wk6-app-0002,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0003,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0004,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0005,white_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0006,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0007,white_name_local_credential,local,high,1,neutral,administrative,public,0
wk6-app-0008,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0009,white_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0010,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0011,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0012,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0013,white_name_local_credential,local,standard,1,disadvantaged,administrative,public,0
wk6-app-0014,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0015,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0016,white_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0017,white_name_local_credential,local,high,1,disadvantaged,sales,private,0
wk6-app-0018,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0019,white_name_local_credential,local,standard,1,neutral,administrative,public,1
wk6-app-0020,white_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0021,white_name_local_credential,local,high,1,disadvantaged,professional,private,1
wk6-app-0022,white_name_local_credential,local,high,1,neutral,administrative,private,1
wk6-app-0023,white_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0024,white_name_local_credential,local,standard,1,neutral,professional,private,1
wk6-app-0025,white_name_local_credential,local,standard,1,disadvantaged,administrative,public,0
wk6-app-0026,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0027,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0028,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0029,white_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0030,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0031,white_name_local_credential,local,high,1,neutral,administrative,public,0
wk6-app-0032,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0033,white_name_local_credential,local,standard,1,disadvantaged,professional,private,0
wk6-app-0034,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0035,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0036,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0037,white_name_local_credential,local,high,1,disadvantaged,administrative,public,0
wk6-app-0038,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0039,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0040,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0041,white_name_local_credential,local,high,1,disadvantaged,sales,private,0
wk6-app-0042,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0043,white_name_local_credential,local,standard,1,neutral,administrative,public,1
wk6-app-0044,white_name_local_credential,local,standard,1,neutral,sales,private,1
wk6-app-0045,white_name_local_credential,local,standard,1,disadvantaged,professional,private,1
wk6-app-0046,white_name_local_credential,local,high,1,neutral,administrative,private,1
wk6-app-0047,white_name_local_credential,local,high,1,neutral,sales,private,1
wk6-app-0048,white_name_local_credential,local,standard,1,neutral,professional,private,1
wk6-app-0049,white_name_local_credential,local,standard,1,disadvantaged,administrative,public,0
wk6-app-0050,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0051,white_name_local_credential,local,high,1,neutral,professional,private,0
wk6-app-0052,white_name_local_credential,local,high,1,neutral,administrative,private,0
wk6-app-0053,white_name_local_credential,local,standard,1,disadvantaged,sales,private,0
wk6-app-0054,white_name_local_credential,local,standard,1,neutral,professional,private,0
wk6-app-0055,white_name_local_credential,local,standard,1,neutral,administrative,public,0
wk6-app-0056,white_name_local_credential,local,high,1,neutral,sales,private,0
wk6-app-0057,white_name_local_credential,local,high,1,disadvantaged,professional,private,0
wk6-app-0058,white_name_local_credential,local,standard,1,neutral,administrative,private,0
wk6-app-0059,white_name_local_credential,local,standard,1,neutral,sales,private,0
wk6-app-0060,white_name_local_credential,local,standard,1,neutral,professional,private,0
