district_id,matched_pair,historical_mita_exposure,near_boundary,distance_to_boundary,altitude_index,ruggedness_index,precolonial_density,public_goods_index,road_access_index,schooling_years,migration_rate,nonfarm_share,wage_index,employer_power_index
wk7-district-001,pair-01,1,1,1.5,0.48,0.25,0.39,0.517,0.579,7.645,0.162,0.43,0.989,0.564
wk7-district-002,pair-02,1,1,3.75,0.55,0.32,0.43,0.543,0.596,7.646,0.163,0.449,0.99,0.573
wk7-district-003,pair-03,1,1,6.0,0.62,0.35,0.47,0.568,0.614,7.653,0.163,0.468,0.99,0.583
wk7-district-004,pair-04,1,1,8.25,0.69,0.42,0.51,0.504,0.632,7.614,0.164,0.487,0.991,0.593
wk7-district-005,pair-05,1,1,10.5,0.76,0.45,0.55,0.529,0.57,7.621,0.162,0.501,0.992,0.564
wk7-district-006,pair-06,1,1,12.75,0.83,0.52,0.59,0.554,0.587,7.622,0.163,0.43,0.989,0.573
wk7-district-007,pair-07,1,1,15.0,0.9,0.25,0.63,0.49,0.605,7.633,0.163,0.449,0.99,0.583
wk7-district-008,pair-08,1,0,17.25,0.97,0.32,0.67,0.516,0.623,7.634,0.164,0.468,0.99,0.593
wk7-district-009,pair-09,1,0,19.5,0.48,0.35,0.71,0.541,0.561,7.641,0.162,0.483,0.991,0.564
wk7-district-010,pair-10,1,0,21.75,0.55,0.42,0.75,0.477,0.578,7.601,0.162,0.502,0.992,0.574
wk7-district-011,pair-11,1,0,24.0,0.62,0.45,0.39,0.502,0.596,7.608,0.163,0.431,0.989,0.583
wk7-district-012,pair-12,1,0,26.25,0.69,0.52,0.43,0.528,0.614,7.609,0.163,0.45,0.99,0.593
wk7-district-013,pair-13,1,1,1.5,0.76,0.25,0.47,0.517,0.579,7.645,0.162,0.466,0.99,0.564
wk7-district-014,pair-14,1,1,3.75,0.83,0.32,0.51,0.543,0.596,7.646,0.163,0.485,0.991,0.573
wk7-district-015,pair-15,1,1,6.0,0.9,0.35,0.55,0.568,0.614,7.653,0.163,0.504,0.992,0.583
wk7-district-016,pair-16,1,1,8.25,0.97,0.42,0.59,0.504,0.632,7.614,0.164,0.433,0.989,0.593
wk7-district-017,pair-17,1,1,10.5,0.48,0.45,0.63,0.529,0.57,7.621,0.162,0.447,0.99,0.564
wk7-district-018,pair-18,1,1,12.75,0.55,0.52,0.67,0.554,0.587,7.622,0.163,0.466,0.99,0.573
wk7-district-019,pair-19,1,1,15.0,0.62,0.25,0.71,0.49,0.605,7.633,0.163,0.485,0.991,0.583
wk7-district-020,pair-20,1,0,17.25,0.69,0.32,0.75,0.516,0.623,7.634,0.164,0.504,0.992,0.593
wk7-district-021,pair-21,1,0,19.5,0.76,0.35,0.39,0.541,0.561,7.641,0.162,0.429,0.989,0.564
wk7-district-022,pair-22,1,0,21.75,0.83,0.42,0.43,0.477,0.578,7.601,0.162,0.448,0.99,0.574
wk7-district-023,pair-23,1,0,24.0,0.9,0.45,0.47,0.502,0.596,7.608,0.163,0.467,0.99,0.583
wk7-district-024,pair-24,1,0,26.25,0.97,0.52,0.51,0.528,0.614,7.609,0.163,0.486,0.991,0.593
wk7-district-025,pair-01,1,1,1.5,0.48,0.25,0.39,0.517,0.579,7.645,0.162,0.43,0.989,0.564
wk7-district-026,pair-02,1,1,3.75,0.55,0.32,0.43,0.543,0.596,7.646,0.163,0.449,0.99,0.573
wk7-district-027,pair-03,1,1,6.0,0.62,0.35,0.47,0.568,0.614,7.653,0.163,0.468,0.99,0.583
wk7-district-028,pair-04,1,1,8.25,0.69,0.42,0.51,0.504,0.632,7.614,0.164,0.487,0.991,0.593
wk7-district-029,pair-05,1,1,10.5,0.76,0.45,0.55,0.529,0.57,7.621,0.162,0.501,0.992,0.564
wk7-district-030,pair-06,1,1,12.75,0.83,0.52,0.59,0.554,0.587,7.622,0.163,0.43,0.989,0.573
wk7-district-031,pair-07,1,1,15.0,0.9,0.25,0.63,0.49,0.605,7.633,0.163,0.449,0.99,0.583
wk7-district-032,pair-08,1,0,17.25,0.97,0.32,0.67,0.516,0.623,7.634,0.164,0.468,0.99,0.593
wk7-district-033,pair-09,1,0,19.5,0.48,0.35,0.71,0.541,0.561,7.641,0.162,0.483,0.991,0.564
wk7-district-034,pair-10,1,0,21.75,0.55,0.42,0.75,0.477,0.578,7.601,0.162,0.502,0.992,0.574
wk7-district-035,pair-11,1,0,24.0,0.62,0.45,0.39,0.502,0.596,7.608,0.163,0.431,0.989,0.583
wk7-district-036,pair-12,1,0,26.25,0.69,0.52,0.43,0.528,0.614,7.609,0.163,0.45,0.99,0.593
wk7-district-037,pair-13,1,1,1.5,0.76,0.25,0.47,0.517,0.579,7.645,0.162,0.466,0.99,0.564
wk7-district-038,pair-14,1,1,3.75,0.83,0.32,0.51,0.543,0.596,7.646,0.163,0.485,0.991,0.573
wk7-district-039,pair-15,1,1,6.0,0.9,0.35,0.55,0.568,0.614,7.653,0.163,0.504,0.992,0.583
wk7-district-040,pair-16,1,1,8.25,0.97,0.42,0.59,0.504,0.632,7.614,0.164,0.433,0.989,0.593
wk7-district-041,pair-17,1,1,10.5,0.48,0.45,0.63,0.529,0.57,7.621,0.162,0.447,0.99,0.564
wk7-district-042,pair-18,1,1,12.75,0.55,0.52,0.67,0.554,0.587,7.622,0.163,0.466,0.99,0.573
wk7-district-043,pair-19,1,1,15.0,0.62,0.25,0.71,0.49,0.605,7.633,0.163,0.485,0.991,0.583
wk7-district-044,pair-20,1,0,17.25,0.69,0.32,0.75,0.516,0.623,7.634,0.164,0.504,0.992,0.593
wk7-district-045,pair-21,1,0,19.5,0.76,0.35,0.39,0.541,0.561,7.641,0.162,0.429,0.989,0.564
wk7-district-046,pair-22,1,0,21.75,0.83,0.42,0.43,0.477,0.578,7.601,0.162,0.448,0.99,0.574
wk7-district-047,pair-23,1,0,24.0,0.9,0.45,0.47,0.502,0.596,7.608,0.163,0.467,0.99,0.583
wk7-district-048,pair-24,1,0,26.25,0.97,0.52,0.51,0.528,0.614,7.609,0.163,0.486,0.991,0.593
wk7-district-049,pair-01,0,1,1.85,0.45,0.25,0.38,0.636,0.678,8.449,0.2,0.501,1.05,0.472
wk7-district-050,pair-02,0,1,4.1,0.52,0.32,0.42,0.662,0.696,8.45,0.201,0.52,1.05,0.482
wk7-district-051,pair-03,0,1,6.35,0.59,0.35,0.46,0.687,0.714,8.457,0.201,0.539,1.051,0.492
wk7-district-052,pair-04,0,1,8.6,0.66,0.42,0.5,0.623,0.731,8.417,0.202,0.558,1.052,0.502
