worker_id,firm_id,treated_information,sector,firm_size,worker_type,low_baseline_knowledge,local_capacity_index,firm_visibility_index,baseline_knowledge_index,followup_knowledge_index,perceived_enforcement_index,claim_intention_index,formal_contract,employment_at_followup,wage_index
wk8-worker-001,wk8-firm-001,1,retail,micro,new_entrant,1,0.42,0.25,0.353,0.669,0.626,0.326,0,1,0.96
wk8-worker-002,wk8-firm-001,1,manufacturing,micro,new_entrant,1,0.42,0.25,0.353,0.669,0.626,0.326,0,1,0.96
wk8-worker-003,wk8-firm-001,0,services,micro,new_entrant,1,0.42,0.25,0.353,0.369,0.426,0.246,0,0,0.93
wk8-worker-004,wk8-firm-002,0,construction,micro,new_entrant,0,0.42,0.25,0.433,0.449,0.426,0.262,0,0,0.9
wk8-worker-005,wk8-firm-002,1,retail,small,new_entrant,0,0.42,0.42,0.441,0.698,0.64,0.384,0,1,0.967
wk8-worker-006,wk8-firm-002,1,manufacturing,small,new_entrant,0,0.42,0.42,0.441,0.698,0.64,0.384,0,1,0.967
wk8-worker-007,wk8-firm-003,0,services,small,new_entrant,1,0.42,0.42,0.361,0.378,0.44,0.3,0,0,0.937
wk8-worker-008,wk8-firm-003,0,construction,small,new_entrant,1,0.42,0.42,0.361,0.378,0.44,0.3,0,0,0.907
wk8-worker-009,wk8-firm-003,1,retail,medium,incumbent,1,0.42,0.62,0.371,0.688,0.656,0.383,1,1,1.045
wk8-worker-010,wk8-firm-004,1,manufacturing,medium,incumbent,0,0.42,0.62,0.451,0.708,0.656,0.387,1,1,1.045
wk8-worker-011,wk8-firm-004,0,services,medium,incumbent,0,0.42,0.62,0.451,0.468,0.456,0.319,0,1,0.965
wk8-worker-012,wk8-firm-004,0,construction,medium,incumbent,0,0.42,0.62,0.451,0.468,0.456,0.319,0,1,0.935
wk8-worker-013,wk8-firm-005,1,retail,large,incumbent,1,0.51,0.82,0.381,0.701,0.699,0.39,1,1,1.053
wk8-worker-014,wk8-firm-005,1,manufacturing,large,incumbent,1,0.51,0.82,0.381,0.701,0.699,0.39,1,1,1.053
wk8-worker-015,wk8-firm-005,0,services,large,incumbent,1,0.51,0.82,0.381,0.401,0.499,0.31,0,1,0.973
wk8-worker-016,wk8-firm-006,0,construction,large,incumbent,0,0.51,0.82,0.461,0.481,0.499,0.326,0,1,0.943
wk8-worker-017,wk8-firm-006,1,retail,micro,migrant,0,0.51,0.25,0.433,0.693,0.653,0.334,0,1,0.96
wk8-worker-018,wk8-firm-006,1,manufacturing,micro,migrant,0,0.51,0.25,0.433,0.693,0.653,0.334,0,1,0.96
wk8-worker-019,wk8-firm-007,0,services,micro,migrant,1,0.51,0.25,0.353,0.373,0.453,0.25,0,1,0.93
wk8-worker-020,wk8-firm-007,0,construction,micro,migrant,1,0.51,0.25,0.353,0.373,0.453,0.25,0,1,0.9
wk8-worker-021,wk8-firm-007,1,retail,small,migrant,1,0.51,0.42,0.361,0.681,0.667,0.383,0,1,0.967
wk8-worker-022,wk8-firm-008,1,manufacturing,small,migrant,0,0.51,0.42,0.441,0.701,0.667,0.387,0,1,0.967
wk8-worker-023,wk8-firm-008,0,services,small,migrant,0,0.51,0.42,0.441,0.461,0.467,0.319,0,1,0.937
wk8-worker-024,wk8-firm-008,0,construction,small,migrant,0,0.51,0.42,0.441,0.461,0.467,0.319,0,1,0.907
wk8-worker-025,wk8-firm-009,1,retail,medium,low_wage,1,0.6,0.62,0.371,0.695,0.71,0.39,1,1,1.025
wk8-worker-026,wk8-firm-009,1,manufacturing,medium,low_wage,1,0.6,0.62,0.371,0.695,0.71,0.39,1,1,1.025
wk8-worker-027,wk8-firm-009,0,services,medium,low_wage,1,0.6,0.62,0.371,0.395,0.51,0.31,0,1,0.945
wk8-worker-028,wk8-firm-010,0,construction,medium,low_wage,0,0.6,0.62,0.451,0.475,0.51,0.326,0,1,0.915
wk8-worker-029,wk8-firm-010,1,retail,large,low_wage,0,0.6,0.82,0.461,0.725,0.726,0.398,1,1,1.033
wk8-worker-030,wk8-firm-010,1,manufacturing,large,low_wage,0,0.6,0.82,0.461,0.725,0.726,0.398,1,1,1.033
wk8-worker-031,wk8-firm-011,0,services,large,low_wage,1,0.6,0.82,0.381,0.405,0.526,0.314,0,1,0.953
wk8-worker-032,wk8-firm-011,0,construction,large,low_wage,1,0.6,0.82,0.381,0.405,0.526,0.314,0,1,0.923
wk8-worker-033,wk8-firm-011,1,retail,micro,new_entrant,1,0.6,0.25,0.353,0.677,0.68,0.333,0,1,0.96
wk8-worker-034,wk8-firm-012,1,manufacturing,micro,new_entrant,0,0.6,0.25,0.433,0.697,0.68,0.337,0,1,0.96
wk8-worker-035,wk8-firm-012,0,services,micro,new_entrant,0,0.6,0.25,0.433,0.457,0.48,0.269,0,0,0.93
wk8-worker-036,wk8-firm-012,0,construction,micro,new_entrant,0,0.6,0.25,0.433,0.457,0.48,0.269,0,0,0.9
wk8-worker-037,wk8-firm-013,1,retail,small,new_entrant,1,0.69,0.42,0.361,0.689,0.721,0.39,0,1,0.967
wk8-worker-038,wk8-firm-013,1,manufacturing,small,new_entrant,1,0.69,0.42,0.361,0.689,0.721,0.39,0,1,0.967
wk8-worker-039,wk8-firm-013,0,services,small,new_entrant,1,0.69,0.42,0.361,0.389,0.521,0.31,0,0,0.937
wk8-worker-040,wk8-firm-014,0,construction,small,new_entrant,0,0.69,0.42,0.441,0.469,0.521,0.326,0,0,0.907
wk8-worker-041,wk8-firm-014,1,retail,medium,incumbent,0,0.69,0.62,0.451,0.719,0.737,0.397,1,1,1.045
wk8-worker-042,wk8-firm-014,1,manufacturing,medium,incumbent,0,0.69,0.62,0.451,0.719,0.737,0.397,1,1,1.045
wk8-worker-043,wk8-firm-015,0,services,medium,incumbent,1,0.69,0.62,0.371,0.399,0.537,0.313,0,1,0.965
wk8-worker-044,wk8-firm-015,0,construction,medium,incumbent,1,0.69,0.62,0.371,0.399,0.537,0.313,0,1,0.935
wk8-worker-045,wk8-firm-015,1,retail,large,incumbent,1,0.69,0.82,0.381,0.709,0.753,0.397,1,1,1.053
wk8-worker-046,wk8-firm-016,1,manufacturing,large,incumbent,0,0.69,0.82,0.461,0.729,0.753,0.401,1,1,1.053
wk8-worker-047,wk8-firm-016,0,services,large,incumbent,0,0.69,0.82,0.461,0.489,0.553,0.333,1,1,1.023
wk8-worker-048,wk8-firm-016,0,construction,large,incumbent,0,0.69,0.82,0.461,0.489,0.553,0.333,0,1,0.943
wk8-worker-049,wk8-firm-017,1,retail,micro,migrant,1,0.78,0.25,0.353,0.684,0.734,0.34,0,1,0.96
wk8-worker-050,wk8-firm-017,1,manufacturing,micro,migrant,1,0.78,0.25,0.353,0.684,0.734,0.34,0,1,0.96
wk8-worker-051,wk8-firm-017,0,services,micro,migrant,1,0.78,0.25,0.353,0.384,0.534,0.26,0,1,0.93
wk8-worker-052,wk8-firm-018,0,construction,micro,migrant,0,0.78,0.25,0.433,0.464,0.534,0.276,0,1,0.9
wk8-worker-053,wk8-firm-018,1,retail,small,migrant,0,0.78,0.42,0.441,0.712,0.748,0.397,1,1,1.017
wk8-worker-054,wk8-firm-018,1,manufacturing,small,migrant,0,0.78,0.42,0.441,0.712,0.748,0.397,1,1,1.017
wk8-worker-055,wk8-firm-019,0,services,small,migrant,1,0.78,0.42,0.361,0.392,0.548,0.313,0,1,0.937
wk8-worker-056,wk8-firm-019,0,construction,small,migrant,1,0.78,0.42,0.361,0.392,0.548,0.313,0,1,0.907
wk8-worker-057,wk8-firm-019,1,retail,medium,low_wage,1,0.78,0.62,0.371,0.702,0.764,0.397,1,1,1.025
wk8-worker-058,wk8-firm-020,1,manufacturing,medium,low_wage,0,0.78,0.62,0.451,0.722,0.764,0.401,1,1,1.025
wk8-worker-059,wk8-firm-020,0,services,medium,low_wage,0,0.78,0.62,0.451,0.482,0.564,0.333,0,1,0.945
wk8-worker-060,wk8-firm-020,0,construction,medium,low_wage,0,0.78,0.62,0.451,0.482,0.564,0.333,0,1,0.915
wk8-worker-061,wk8-firm-021,1,retail,large,low_wage,1,0.42,0.82,0.381,0.698,0.672,0.387,1,1,1.033
wk8-worker-062,wk8-firm-021,1,manufacturing,large,low_wage,1,0.42,0.82,0.381,0.698,0.672,0.387,1,1,1.033
wk8-worker-063,wk8-firm-021,0,services,large,low_wage,1,0.42,0.82,0.381,0.398,0.472,0.307,0,1,0.953
wk8-worker-064,wk8-firm-022,0,construction,large,low_wage,0,0.42,0.82,0.461,0.478,0.472,0.323,0,1,0.923
wk8-worker-065,wk8-firm-022,1,retail,micro,new_entrant,0,0.42,0.25,0.433,0.689,0.626,0.33,0,1,0.96
wk8-worker-066,wk8-firm-022,1,manufacturing,micro,new_entrant,0,0.42,0.25,0.433,0.689,0.626,0.33,0,1,0.96
wk8-worker-067,wk8-firm-023,0,services,micro,new_entrant,1,0.42,0.25,0.353,0.369,0.426,0.246,0,0,0.93
wk8-worker-068,wk8-firm-023,0,construction,micro,new_entrant,1,0.42,0.25,0.353,0.369,0.426,0.246,0,0,0.9
wk8-worker-069,wk8-firm-023,1,retail,small,new_entrant,1,0.42,0.42,0.361,0.678,0.64,0.38,0,1,0.967
