country,region,year,post_reform,legal_access_score,workplace_protection_score,family_law_score,paid_leave_weeks,female_lfp_rate,male_lfp_rate,female_employment_rate,male_employment_rate,female_weekly_hours,male_weekly_hours,female_authority_share
Aster,high_income,2012,0,0.74,0.71,0.7,12,0.62,0.8,0.585,0.775,32.96,40.09,0.41
Aster,high_income,2013,0,0.752,0.728,0.71,12,0.626,0.802,0.591,0.777,33.21,40.2,0.414
Aster,high_income,2014,0,0.764,0.746,0.72,12,0.632,0.804,0.597,0.779,33.46,40.31,0.418
Aster,high_income,2015,0,0.776,0.764,0.73,12,0.638,0.806,0.603,0.781,33.7,40.42,0.422
Aster,high_income,2016,1,0.863,0.837,0.785,15,0.694,0.818,0.669,0.793,34.25,40.59,0.456
Aster,high_income,2017,1,0.875,0.855,0.795,15,0.7,0.82,0.675,0.795,34.5,40.7,0.46
Aster,high_income,2018,1,0.887,0.873,0.805,15,0.706,0.822,0.681,0.797,34.75,40.81,0.464
Aster,high_income,2019,1,0.899,0.891,0.815,15,0.712,0.824,0.687,0.799,35.0,40.92,0.468
Aster,high_income,2020,1,0.911,0.909,0.825,15,0.718,0.826,0.693,0.801,35.24,41.03,0.472
Aster,high_income,2021,1,0.923,0.927,0.835,16,0.724,0.828,0.699,0.803,35.49,41.14,0.476
Boreal,middle_income,2012,0,0.58,0.55,0.54,10,0.54,0.78,0.505,0.755,32.32,39.96,0.33
Boreal,middle_income,2013,0,0.592,0.568,0.55,10,0.546,0.782,0.511,0.757,32.57,40.07,0.334
Boreal,middle_income,2014,0,0.604,0.586,0.56,10,0.552,0.784,0.517,0.759,32.82,40.18,0.338
Boreal,middle_income,2015,0,0.616,0.604,0.57,10,0.558,0.786,0.523,0.761,33.06,40.29,0.342
Boreal,middle_income,2016,0,0.628,0.622,0.58,10,0.564,0.788,0.529,0.763,33.31,40.4,0.346
Boreal,middle_income,2017,1,0.715,0.695,0.635,13,0.62,0.8,0.595,0.775,33.86,40.57,0.38
Boreal,middle_income,2018,1,0.727,0.713,0.645,13,0.626,0.802,0.601,0.777,34.11,40.68,0.384
Boreal,middle_income,2019,1,0.739,0.731,0.655,13,0.632,0.804,0.607,0.779,34.36,40.79,0.388
Boreal,middle_income,2020,1,0.751,0.749,0.665,13,0.638,0.806,0.613,0.781,34.6,40.9,0.392
Boreal,middle_income,2021,1,0.763,0.767,0.675,14,0.644,0.808,0.619,0.783,34.85,41.01,0.396
Canto,middle_income,2012,0,0.48,0.45,0.44,9,0.49,0.77,0.455,0.745,31.92,39.88,0.27
Canto,middle_income,2013,0,0.492,0.468,0.45,9,0.496,0.772,0.461,0.747,32.17,39.99,0.274
Canto,middle_income,2014,0,0.504,0.486,0.46,9,0.502,0.774,0.467,0.749,32.42,40.1,0.278
Canto,middle_income,2015,0,0.516,0.504,0.47,9,0.508,0.776,0.473,0.751,32.66,40.21,0.282
Canto,middle_income,2016,0,0.528,0.522,0.48,9,0.514,0.778,0.479,0.753,32.91,40.32,0.286
Canto,middle_income,2017,0,0.54,0.54,0.49,9,0.52,0.78,0.485,0.755,33.16,40.43,0.29
Canto,middle_income,2018,1,0.627,0.613,0.545,12,0.576,0.792,0.551,0.767,33.71,40.6,0.324
Canto,middle_income,2019,1,0.639,0.631,0.555,12,0.582,0.794,0.557,0.769,33.96,40.71,0.328
Canto,middle_income,2020,1,0.651,0.649,0.565,12,0.588,0.796,0.563,0.771,34.2,40.82,0.332
Canto,middle_income,2021,1,0.663,0.667,0.575,12,0.594,0.798,0.569,0.773,34.45,40.93,0.336
Dara,emerging,2012,0,0.39,0.36,0.35,8,0.42,0.75,0.385,0.725,31.56,39.81,0.21
Dara,emerging,2013,0,0.402,0.378,0.36,8,0.426,0.752,0.391,0.727,31.81,39.92,0.214
Dara,emerging,2014,0,0.414,0.396,0.37,8,0.432,0.754,0.397,0.729,32.06,40.03,0.218
Dara,emerging,2015,0,0.426,0.414,0.38,8,0.438,0.756,0.403,0.731,32.3,40.14,0.222
Dara,emerging,2016,0,0.438,0.432,0.39,8,0.444,0.758,0.409,0.733,32.55,40.25,0.226
