event_time,female_earnings_index,male_earnings_index,gap_female_minus_male_earnings_index,female_hours_index,male_hours_index,gap_female_minus_male_hours_index,female_employment_index,male_employment_index,gap_female_minus_male_employment_index
-4,100.0,101.0,-1.0,100.0,101.0,-1.0,100.0,99.0,1.0
-3,100.6,101.7,-1.1,100.0,101.2,-1.2,100.0,99.1,0.9
-2,101.2,102.4,-1.2,100.0,101.4,-1.4,100.0,99.2,0.8
-1,101.8,103.1,-1.3,100.0,101.6,-1.6,100.0,99.3,0.7
0,72.4,105.8,-33.4,78.0,102.8,-24.8,86.0,99.4,-13.4
1,75.5,106.5,-31.0,79.8,103.0,-23.2,87.1,99.5,-12.4
2,78.6,107.2,-28.6,81.6,103.2,-21.6,88.2,99.6,-11.4
3,81.7,107.9,-26.2,83.4,103.4,-20.0,89.3,99.7,-10.4
4,84.8,108.6,-23.8,85.2,103.6,-18.4,90.4,99.8,-9.4
5,87.4,109.3,-21.9,87.0,103.8,-16.8,91.0,99.9,-8.9
6,88.0,110.0,-22.0,87.0,104.0,-17.0,91.0,100.0,-9.0
7,88.6,110.7,-22.1,87.0,104.2,-17.2,91.0,100.1,-9.1
8,89.2,111.4,-22.2,87.0,104.4,-17.4,91.0,100.2,-9.2
