gender,event_time,earnings_index,hours_index,employment_index
female,-4,100.0,100,100
male,-4,101.0,101.0,99.0
female,-3,100.6,100,100
male,-3,101.7,101.2,99.1
female,-2,101.2,100,100
male,-2,102.4,101.4,99.2
female,-1,101.8,100,100
male,-1,103.1,101.6,99.3
female,0,72.4,78.0,86.0
male,0,105.8,102.8,99.4
female,1,75.5,79.8,87.1
male,1,106.5,103.0,99.5
female,2,78.6,81.6,88.2
male,2,107.2,103.2,99.6
female,3,81.7,83.4,89.3
male,3,107.9,103.4,99.7
female,4,84.8,85.2,90.4
male,4,108.6,103.6,99.8
female,5,87.4,87.0,91
male,5,109.3,103.8,99.9
female,6,88.0,87,91
male,6,110.0,104.0,100.0
female,7,88.6,87,91
male,7,110.7,104.2,100.1
female,8,89.2,87,91
male,8,111.4,104.4,100.2
