household_id,parent,event_time,earnings_index,hours,employment_rate,job_quality_index,weekly_care_hours
1,mother,-4,73.1336,37.7035,0.9398,67.9377,14.4030
1,father,-4,80.2604,39.9467,0.9866,72.0566,7.3560
1,mother,-3,71.6818,36.3038,0.9389,67.8136,11.4129
1,father,-3,80.3384,40.3795,0.9573,70.0869,6.3049
1,mother,-2,73.1916,36.6553,0.9511,67.5980,11.0576
1,father,-2,79.9541,40.6859,0.9715,69.4957,6.8230
1,mother,-1,76.8904,36.4781,0.9415,68.9369,11.8460
1,father,-1,79.0831,39.4321,0.9575,69.5252,8.7092
1,mother,0,69.2179,34.0094,0.9554,68.0433,11.5844
1,father,0,80.3584,39.6868,0.9716,71.0362,9.1262
1,mother,1,64.9487,32.4971,0.8555,67.4700,19.8941
1,father,1,82.7060,40.2372,0.9510,70.8805,7.4971
1,mother,2,59.5744,32.1043,0.8317,62.3948,22.7433
1,father,2,80.6678,40.5225,0.9664,71.5451,10.3086
1,mother,3,56.5389,31.9343,0.7942,60.9631,26.3193
1,father,3,78.4574,39.7682,0.9761,70.8728,11.5922
1,mother,4,52.3241,31.0513,0.8035,62.2386,27.5510
1,father,4,81.0109,39.8178,0.9708,68.1224,11.4394
1,mother,5,53.2616,30.8051,0.7824,60.3703,27.3550
1,father,5,82.3695,41.8133,0.9641,68.7672,12.6903
1,mother,6,53.2299,29.4799,0.8016,60.8382,29.2927
1,father,6,83.7093,41.1252,0.9466,70.9784,13.6547
1,mother,7,54.3427,30.0226,0.7756,59.2318,28.4454
1,father,7,83.3980,40.4598,0.9513,71.4403,12.3287
1,mother,8,52.1465,29.4437,0.7864,62.2522,29.8583
1,father,8,81.0602,39.4164,0.9687,69.5438,12.1555
2,mother,-4,70.8486,36.4860,0.9361,67.5450,12.4483
2,father,-4,83.1640,41.2703,0.9693,70.0310,5.8205
2,mother,-3,69.8818,36.9654,0.9310,68.6329,9.2518
2,father,-3,83.7433,40.5787,0.9703,71.8066,7.8059
2,mother,-2,67.1745,35.2878,0.9352,68.2764,13.6958
2,father,-2,79.0753,40.6193,0.9669,68.6667,7.2900
2,mother,-1,69.4708,36.0620,0.9473,67.5525,13.5810
2,father,-1,81.7057,40.7388,0.9766,71.5992,7.1036
2,mother,0,64.6344,33.3594,0.9312,68.2386,13.1524
2,father,0,82.3218,40.3959,0.9709,70.1206,8.1644
2,mother,1,61.9740,32.4895,0.8925,63.2182,20.1606
2,father,1,81.6390,40.9446,0.9829,71.6419,10.6187
2,mother,2,55.6518,32.1740,0.8637,61.3954,23.6547
2,father,2,83.6950,41.2376,0.9654,70.1125,10.3894
2,mother,3,52.6970,31.1978,0.8010,61.6229,24.7421
2,father,3,80.5699,41.0769,0.9758,70.2063,10.9330
2,mother,4,50.3870,29.7776,0.8073,60.6399,27.7931
2,father,4,79.9709,40.9684,0.9642,69.6895,10.0566
2,mother,5,50.7730,29.1701,0.8010,62.2303,27.7909
2,father,5,82.1450,41.0380,0.9796,71.4091,11.8376
2,mother,6,49.3336,28.9626,0.7754,59.9779,30.4822
2,father,6,81.8071,40.7442,0.9517,70.2856,11.4018
2,mother,7,47.0969,28.5691,0.7646,58.8613,31.0774
2,father,7,84.0925,41.3639,0.9564,70.6190,11.3188
2,mother,8,45.8892,28.6016,0.7838,59.9755,30.3182
2,father,8,80.5680,41.7344,0.9628,69.8855,11.7314
3,mother,-4,71.8328,35.6727,0.9485,67.1677,13.6038
3,father,-4,83.4053,42.1437,0.9728,69.9380,8.8618
3,mother,-3,73.7199,36.6541,0.9283,67.1734,11.5802
3,father,-3,84.4289,42.3542,0.9731,70.2674,9.4345
3,mother,-2,71.4431,37.1656,0.9311,66.8901,11.6625
3,father,-2,81.3377,41.5882,0.9582,70.3263,9.0152
3,mother,-1,73.8439,36.7016,0.9442,68.5646,13.1403
3,father,-1,82.8381,42.8605,0.9700,71.0377,7.8658
3,mother,0,67.8260,33.3066,0.9392,67.9899,12.3546
3,father,0,82.7216,41.7420,0.9805,70.0254,7.5697
3,mother,1,64.8294,32.4413,0.8768,65.5187,19.3581
3,father,1,83.0811,41.5760,0.9592,69.9316,9.5193
3,mother,2,59.5350,33.1862,0.8269,65.0362,23.4868
3,father,2,84.7428,41.7728,0.9576,68.3634,9.8153
3,mother,3,56.7701,29.9213,0.8091,60.4572,26.6988
3,father,3,84.1515,42.3416,0.9616,70.0038,10.1972
3,mother,4,52.4028,31.4751,0.7995,62.8205,27.9725
3,father,4,82.9853,43.0108,0.9599,70.2452,12.6446
3,mother,5,50.7291,29.3899,0.7987,62.4947,30.9871
3,father,5,84.0613,42.0134,0.9610,70.1090,11.4152
3,mother,6,50.9654,29.3716,0.7788,60.1562,31.0994
3,father,6,85.2624,41.4121,0.9675,69.5855,13.2803
3,mother,7,49.3284,29.8679,0.7864,61.6547,30.2427
3,father,7,85.2102,41.8105,0.9671,69.9203,12.0491
3,mother,8,52.4219,29.0515,0.7756,62.3123,29.1083
3,father,8,86.0968,41.3585,0.9619,69.7082,12.4751
4,mother,-4,74.8721,35.5855,0.9276,67.9768,12.4407
4,father,-4,83.7245,40.9620,0.9583,69.2315,6.6059
4,mother,-3,71.8095,35.3388,0.9362,67.7723,11.9721
4,father,-3,82.2404,41.7309,0.9607,70.6509,7.9955
4,mother,-2,74.2849,35.6943,0.9238,66.9627,10.7735
4,father,-2,82.1691,41.7955,0.9596,68.9275,7.1924
4,mother,-1,74.6587,35.4223,0.9368,68.6494,11.2484
4,father,-1,81.7917,40.4301,0.9771,70.1563,7.3164
4,mother,0,69.8180,32.3924,0.9556,65.0088,10.5480
4,father,0,79.9927,40.7115,0.9644,68.6898,7.6925
4,mother,1,64.0997,32.3238,0.8734,66.1772,19.5113
4,father,1,81.4313,41.6760,0.9741,68.8913,8.0025
4,mother,2,58.3159,30.8552,0.8406,62.6060,23.3761
4,father,2,84.4115,41.1621,0.9650,71.5831,11.3538
4,mother,3,56.0376,30.5766,0.8306,61.0903,24.5094
4,father,3,81.8086,41.1531,0.9543,70.5516,9.6970
4,mother,4,54.4645,28.6771,0.8088,59.0616,29.9742
4,father,4,81.6895,40.9628,0.9575,69.4314,11.6877
4,mother,5,51.6193,28.8826,0.7809,60.9067,29.1996
4,father,5,82.2369,40.4262,0.9630,70.4823,10.7425
4,mother,6,51.7912,27.9722,0.7974,60.6152,29.2270
4,father,6,82.7498,41.5843,0.9705,69.1216,12.4881
4,mother,7,52.7123,27.5240,0.7690,61.2791,32.1526
4,father,7,81.1548,40.7005,0.9487,70.7593,12.5222
4,mother,8,52.2440,27.8354,0.7760,60.2558,27.6551
4,father,8,82.1686,41.8048,0.9602,69.9144,12.8656
5,mother,-4,71.3326,35.2794,0.9277,68.1085,9.7110
5,father,-4,82.1423,41.8512,0.9596,70.7937,8.1551
5,mother,-3,74.0708,35.0364,0.9362,66.0301,9.9547
5,father,-3,79.0016,39.8365,0.9773,69.8529,7.6594
5,mother,-2,71.5881,35.4552,0.9372,66.5373,13.9304
5,father,-2,80.5722,41.2399,0.9653,70.4438,7.2007
5,mother,-1,71.5947,35.2632,0.9354,68.5050,12.3940
5,father,-1,82.5496,41.1224,0.9703,70.1781,8.2144
5,mother,0,67.2954,32.6178,0.9476,68.7635,10.1203
5,father,0,80.8924,40.8035,0.9634,69.2802,8.9318
5,mother,1,64.0869,33.4940,0.8866,65.6607,17.4673
5,father,1,81.2143,42.4275,0.9602,71.4925,8.4271
5,mother,2,56.8533,32.2756,0.8411,63.1493,24.5494
5,father,2,82.1589,41.2483,0.9715,70.0830,10.9684
5,mother,3,55.1281,28.6473,0.8161,61.9633,25.0935
5,father,3,80.7995,40.5696,0.9468,68.8850,9.8822
5,mother,4,51.9760,28.0655,0.8095,63.4304,24.4276
5,father,4,85.4948,42.1809,0.9533,69.5515,10.6566
5,mother,5,52.1705,29.7140,0.8050,60.9746,28.0256
5,father,5,82.4284,41.1194,0.9643,70.8032,12.4994
5,mother,6,51.4952,29.0842,0.7844,61.0716,29.3550
5,father,6,80.4111,41.2758,0.9633,70.3340,13.8125
5,mother,7,49.6781,28.7818,0.7825,59.1209,30.0762
5,father,7,82.8950,41.1256,0.9577,70.6168,11.0134
5,mother,8,48.7656,28.6106,0.7765,59.0355,29.7831
5,father,8,81.2865,42.2925,0.9659,67.8730,12.3192
6,mother,-4,73.6168,35.5003,0.9393,69.5523,14.0459
6,father,-4,81.1287,40.5413,0.9661,69.5042,9.0397
