parent,event_time,mean_earnings_index,mean_hours,mean_employment_rate,mean_job_quality_index,mean_weekly_care_hours
father,-4,80.7948,41.4147,0.9699,69.9996,8.0192
father,-3,80.6551,41.3393,0.9705,69.9691,7.8752
father,-2,80.6847,41.4243,0.9696,70.0884,7.8766
father,-1,80.6627,41.4038,0.9704,70.0618,8.0265
father,0,80.6896,41.4226,0.9698,69.8579,7.9106
father,1,81.0820,41.5186,0.9686,70.1559,9.1434
father,2,81.2883,41.5841,0.9663,70.1765,10.0848
father,3,81.3528,41.5723,0.9646,70.0929,10.7162
father,4,81.5770,41.6428,0.9635,70.2225,11.1782
father,5,81.6837,41.7144,0.9621,70.3572,11.6436
father,6,81.9282,41.7215,0.9619,70.3715,12.0653
father,7,81.8427,41.7084,0.9612,70.2751,12.2095
father,8,82.2502,41.6859,0.9613,70.4609,12.6081
mother,-4,71.8157,36.0368,0.9404,67.9234,12.1136
mother,-3,71.6792,36.0104,0.9393,67.9930,12.1054
mother,-2,71.5642,35.9814,0.9410,68.0132,11.9746
mother,-1,71.8083,36.0249,0.9397,68.1608,11.9923
mother,0,67.6662,33.0437,0.9398,67.9328,11.9003
mother,1,63.1080,33.1689,0.8768,65.0496,19.0160
mother,2,57.6825,31.4759,0.8385,63.3201,23.4945
mother,3,54.6907,30.4811,0.8152,62.0612,25.8797
mother,4,52.7741,29.8329,0.8014,61.4736,27.4886
mother,5,51.5756,29.4445,0.7932,61.1291,28.4468
mother,6,50.8601,29.1536,0.7880,60.7388,29.1706
mother,7,50.4889,29.0297,0.7849,60.6899,29.3643
mother,8,50.1522,28.9477,0.7830,60.8336,29.7341
