student_id,cohort,section,female,role_model_exposure,baseline_gpa,prior_quant_index,belonging_index,expected_returns_index,economics_major
1,2,2,0,0,2.5532,0.3228,0.4058,0.5659,0
2,3,3,1,1,2.8219,0.3592,0.7461,0.5381,1
3,4,4,0,1,2.9903,0.4504,0.3611,0.5673,1
4,5,5,1,0,3.1290,0.5617,0.5336,0.5477,1
5,6,6,0,0,2.5117,0.6052,0.4652,0.4437,1
6,1,7,1,0,2.2043,0.6403,0.4142,0.5184,0
7,2,8,0,0,2.6171,0.3863,0.3169,0.5581,1
8,3,9,1,1,2.7702,0.4238,0.8762,0.6297,1
9,4,10,0,1,2.7277,0.4060,0.3453,0.5163,1
10,5,11,1,0,2.3664,0.4361,0.4476,0.5839,1
11,6,12,0,0,2.2405,0.5033,0.3872,0.5372,1
12,1,13,1,0,2.7494,0.5430,0.3842,0.5415,0
13,2,14,0,0,2.9189,0.6166,0.3730,0.5611,0
14,3,15,1,1,2.9160,0.2657,0.6744,0.6246,1
15,4,16,0,1,2.4036,0.2926,0.2804,0.7480,0
16,5,17,1,0,2.7458,0.3765,0.3366,0.5249,1
17,6,18,0,0,2.6248,0.5116,0.4108,0.5713,0
18,1,1,1,0,2.7348,0.4613,0.3425,0.4566,0
19,2,2,0,0,3.0941,0.5081,0.4007,0.5546,0
20,3,3,1,1,2.4808,0.5648,0.6676,0.6130,1
21,4,4,0,1,2.2296,0.2827,0.4188,0.5867,0
22,5,5,1,0,2.3133,0.3556,0.5850,0.4768,1
23,6,6,0,0,3.1404,0.4829,0.3817,0.4723,0
24,1,7,1,0,2.8580,0.4588,0.3666,0.5821,1
25,2,8,0,0,2.4211,0.4514,0.2776,0.5842,1
26,3,9,1,1,2.3986,0.5660,0.6176,0.5550,1
27,4,10,0,1,2.7622,0.6884,0.2737,0.6916,0
28,5,11,1,0,3.2262,0.2987,0.4247,0.5165,0
29,6,12,0,0,2.8961,0.4032,0.4365,0.5200,1
30,1,13,1,0,2.3754,0.3810,0.5132,0.5189,0
31,2,14,0,0,2.6210,0.3967,0.2400,0.6798,0
32,3,15,1,1,2.3667,0.4136,0.5704,0.6963,1
33,4,16,0,1,2.9648,0.5845,0.3609,0.5850,0
34,5,17,1,0,3.2627,0.6141,0.5928,0.5822,1
35,6,18,0,0,2.1648,0.3147,0.5120,0.5195,0
36,1,1,1,0,2.5409,0.3598,0.4627,0.5183,1
37,2,2,0,0,2.4939,0.5359,0.3815,0.6337,0
38,3,3,1,1,2.8379,0.4086,0.5416,0.6275,0
39,4,4,0,1,2.8529,0.5136,0.3052,0.6792,0
40,5,5,1,0,2.6449,0.6023,0.5409,0.4173,0
41,6,6,0,0,2.5089,0.6922,0.2673,0.4816,1
42,1,7,1,0,2.6936,0.3162,0.3557,0.4997,0
43,2,8,0,0,2.7792,0.3203,0.3700,0.5692,0
44,3,9,1,1,3.2658,0.3230,0.8351,0.5999,1
45,4,10,0,1,2.4212,0.3552,0.2708,0.6956,1
46,5,11,1,0,2.4924,0.5334,0.4546,0.3887,0
47,6,12,0,0,2.2327,0.5587,0.3022,0.4822,1
48,1,13,1,0,2.9326,0.6727,0.5327,0.5057,1
49,2,14,0,0,2.8100,0.3019,0.2550,0.4923,0
50,3,15,1,1,2.2018,0.3458,0.7415,0.6335,1
51,4,16,0,1,2.4263,0.4313,0.2782,0.5765,0
52,5,17,1,0,2.8942,0.5152,0.4947,0.4833,0
53,6,18,0,0,2.9253,0.5554,0.3522,0.5272,0
54,1,1,1,0,3.0873,0.5494,0.4057,0.5216,1
55,2,2,0,0,2.4184,0.7366,0.2758,0.5841,1
56,3,3,1,1,2.3357,0.2536,0.6626,0.5711,0
57,4,4,0,1,2.7458,0.5184,0.2975,0.6744,0
58,5,5,1,0,3.0503,0.3007,0.5051,0.5243,1
59,6,6,0,0,2.9763,0.4656,0.3611,0.5187,0
60,1,7,1,0,1.9117,0.4980,0.4118,0.5403,0
61,2,8,0,0,2.6326,0.6854,0.4562,0.4963,1
62,3,9,1,1,2.7720,0.5964,0.7534,0.5749,1
63,4,10,0,1,2.8365,0.2290,0.4300,0.6250,0
64,5,11,1,0,2.6832,0.3724,0.4720,0.3725,1
65,6,12,0,0,2.2815,0.3959,0.3704,0.5146,1
66,1,13,1,0,2.5075,0.4760,0.2441,0.6306,0
67,2,14,0,0,2.7756,0.4111,0.3692,0.4924,1
68,3,15,1,1,2.7492,0.4563,0.6521,0.7571,1
69,4,16,0,1,2.8017,0.5726,0.2879,0.6165,1
70,5,17,1,0,2.2369,0.2018,0.2505,0.6049,0
71,6,18,0,0,2.2990,0.4006,0.4194,0.4582,0
72,1,1,1,0,2.4400,0.3625,0.3854,0.5733,1
73,2,2,0,0,3.0363,0.4609,0.3480,0.5510,0
74,3,3,1,1,3.1529,0.7173,0.6106,0.5805,1
75,4,4,0,1,2.2394,0.6063,0.3527,0.6125,0
76,5,5,1,0,2.7825,0.6868,0.3235,0.5760,1
77,6,6,0,0,2.9571,0.3271,0.3941,0.5795,0
78,1,7,1,0,3.1755,0.4235,0.3236,0.4834,1
79,2,8,0,0,2.8185,0.4160,0.2615,0.4957,0
80,3,9,1,1,2.7591,0.3306,0.7493,0.5841,1
81,4,10,0,1,2.2840,0.5632,0.3512,0.6230,0
82,5,11,1,0,2.8104,0.5153,0.5276,0.5199,1
83,6,12,0,0,2.5667,0.5856,0.3655,0.5024,0
84,1,13,1,0,3.1388,0.2730,0.4246,0.4353,1
85,2,14,0,0,2.4132,0.3024,0.3239,0.4679,0
86,3,15,1,1,2.3797,0.3879,0.7457,0.6256,1
87,4,16,0,1,2.3107,0.4365,0.4129,0.6660,1
88,5,17,1,0,2.9706,0.5052,0.3558,0.5355,0
89,6,18,0,0,3.0142,0.4445,0.3963,0.5933,0
90,1,1,1,0,2.3302,0.5467,0.5307,0.5577,0
91,2,2,0,0,2.5885,0.2271,0.3208,0.5041,1
92,3,3,1,1,2.4671,0.3791,0.7294,0.6831,1
93,4,4,0,1,2.7719,0.3531,0.3063,0.6325,0
94,5,5,1,0,3.0168,0.4911,0.4079,0.4312,0
95,6,6,0,0,2.3139,0.5483,0.3802,0.4470,0
96,1,7,1,0,2.1846,0.5215,0.3248,0.5264,1
97,2,8,0,0,2.6657,0.7050,0.4810,0.5341,0
98,3,9,1,1,2.9303,0.2359,0.6078,0.5494,1
99,4,10,0,1,3.3167,0.3074,0.4597,0.5828,0
100,5,11,1,0,2.2563,0.3097,0.3563,0.3908,0
101,6,12,0,0,2.6383,0.6030,0.2619,0.4705,1
102,1,13,1,0,2.6774,0.5988,0.4943,0.6585,1
103,2,14,0,0,2.8948,0.6061,0.3239,0.5255,0
104,3,15,1,1,2.8020,0.5627,0.7002,0.5474,0
105,4,16,0,1,2.2235,0.2856,0.4370,0.6312,0
106,5,17,1,0,2.1570,0.3984,0.4211,0.6140,0
107,6,18,0,0,2.6885,0.4578,0.2541,0.5165,1
108,1,1,1,0,2.8868,0.4842,0.3835,0.4761,1
109,2,2,0,0,2.9455,0.5644,0.3395,0.6063,0
110,3,3,1,1,2.3984,0.5851,0.6142,0.6612,1
111,4,4,0,1,2.5787,0.5235,0.3016,0.5873,1
112,5,5,1,0,2.5412,0.1798,0.4464,0.5276,0
113,6,6,0,0,2.7945,0.3804,0.2350,0.5060,0
114,1,7,1,0,2.9852,0.4893,0.4421,0.4556,1
115,2,8,0,0,2.0891,0.4015,0.2265,0.5989,0
116,3,9,1,1,2.4167,0.5470,0.7104,0.6830,1
117,4,10,0,1,2.6074,0.6236,0.3914,0.6072,0
118,5,11,1,0,2.8968,0.6846,0.4526,0.5437,0
119,6,12,0,0,3.1414,0.2346,0.2107,0.5636,0
120,1,13,1,0,2.4960,0.2721,0.3467,0.5499,0
121,2,14,0,0,2.5742,0.3425,0.2005,0.4993,1
122,3,15,1,1,2.7893,0.3704,0.7180,0.6421,0
123,4,16,0,1,2.9056,0.5242,0.3190,0.5585,0
124,5,17,1,0,3.3568,0.5217,0.4212,0.4733,1
125,6,18,0,0,2.2507,0.6908,0.3779,0.5425,1
126,1,1,1,0,2.3699,0.3600,0.6038,0.5205,1
127,2,2,0,0,2.6711,0.3609,0.4257,0.5523,1
128,3,3,1,1,2.6926,0.3322,0.6980,0.5858,1
129,4,4,0,1,3.3501,0.4276,0.3398,0.6690,0
130,5,5,1,0,2.2044,0.5807,0.3552,0.4695,0
131,6,6,0,0,2.5378,0.4938,0.3434,0.5152,0
132,1,7,1,0,2.9081,0.5679,0.3789,0.5483,1
133,2,8,0,0,2.9783,0.1550,0.1911,0.3941,1
134,3,9,1,1,2.7371,0.3106,0.6226,0.5680,0
135,4,10,0,1,2.2418,0.3813,0.3338,0.6623,0
136,5,11,1,0,2.6613,0.3996,0.5481,0.4289,1
137,6,12,0,0,2.4038,0.5265,0.2995,0.6404,0
138,1,13,1,0,2.9515,0.5195,0.3633,0.6387,0
139,2,14,0,0,3.3891,0.6338,0.3290,0.6222,0
140,3,15,1,1,2.4418,0.2633,0.6738,0.6041,0
141,4,16,0,1,2.3088,0.3465,0.3365,0.5340,0
142,5,17,1,0,2.6936,0.4424,0.3572,0.5709,1
143,6,18,0,0,2.8954,0.3470,0.2552,0.4515,1
144,1,1,1,0,3.1665,0.4216,0.3693,0.4488,0
145,2,2,0,0,2.3249,0.6955,0.3755,0.4823,0
146,3,3,1,1,2.4424,0.5976,0.7526,0.6406,1
147,4,4,0,1,2.4906,0.2701,0.2987,0.5206,0
148,5,5,1,0,2.9134,0.2928,0.4313,0.4182,1
149,6,6,0,0,2.8996,0.4494,0.4221,0.4918,0
150,1,7,1,0,2.1768,0.5040,0.5050,0.5936,1
151,2,8,0,0,2.4456,0.5660,0.3394,0.4793,0
152,3,9,1,1,2.7559,0.5328,0.6664,0.6515,0
153,4,10,0,1,2.8423,0.5702,0.2811,0.7001,0
