student_id,female,math_score,competition_choice,confidence_index,high_variance_track
1,1,-0.1764,0,0.3668,0
2,0,-0.6316,0,0.6148,1
3,1,0.0589,0,0.5536,0
4,0,0.4869,0,0.4789,1
5,1,0.3644,0,0.3819,1
6,0,-0.8282,0,0.3854,1
7,1,0.9436,1,0.8060,1
8,0,-0.1707,1,0.4644,0
9,1,0.3921,0,0.5249,0
10,0,1.1243,1,0.9040,0
11,1,-1.3253,0,0.3924,0
12,0,1.1568,1,0.6694,1
13,1,0.5531,1,0.4347,1
14,0,-0.9607,0,-0.0418,0
15,1,-0.2455,0,0.4570,0
16,0,-0.7418,0,0.3354,1
17,1,-0.2666,1,0.1767,0
18,0,-0.0625,0,0.4087,0
19,1,-0.3058,0,0.5548,1
20,0,0.9953,0,0.8694,0
21,1,0.5422,1,0.3752,0
22,0,-1.2424,0,0.0835,0
23,1,0.4357,0,0.6346,1
24,0,0.0248,0,0.5198,1
25,1,-0.1724,0,0.1354,0
26,0,0.1956,1,0.3571,1
27,1,-0.3001,0,0.2987,0
28,0,-0.1681,0,0.3578,0
29,1,0.6324,1,0.7758,1
30,0,0.9059,1,0.6326,0
31,1,-0.4345,1,0.4072,1
32,0,1.4320,0,0.6167,0
33,1,-0.7851,0,0.1142,0
34,0,-1.0887,0,0.0841,0
35,1,-1.6367,0,0.0204,0
36,0,-0.4178,0,0.3901,0
37,1,-0.4942,0,0.2872,0
38,0,-0.4422,1,0.2990,1
39,1,0.2838,1,0.3892,0
40,0,-0.1472,0,0.2411,0
41,1,0.6725,0,0.3494,0
42,0,0.7815,0,0.6815,1
43,1,-0.2008,0,0.2160,0
44,0,-0.3143,1,0.5001,1
45,1,0.3622,0,0.5200,1
46,0,0.6253,1,0.9184,1
47,1,-0.0733,1,0.2360,1
48,0,-0.3321,0,0.4715,0
49,1,0.3259,1,0.2006,0
50,0,-0.1910,1,0.4603,0
51,1,0.8236,1,0.6788,1
52,0,-0.2591,1,0.6744,0
53,1,-0.0687,1,0.5895,1
54,0,0.7188,0,0.6530,0
55,1,-0.6242,0,0.4442,0
56,0,-0.1089,1,0.6309,0
57,1,-0.6133,1,0.2779,0
58,0,-0.7151,0,0.6428,1
59,1,-0.8279,0,0.2700,0
60,0,0.2702,1,0.7533,1
61,1,0.3705,0,0.5465,1
62,0,0.2204,0,0.2774,0
63,1,0.7114,0,0.7079,0
64,0,0.1538,0,0.6393,1
65,1,1.3226,0,0.9226,0
66,0,-1.5911,0,0.3444,0
67,1,0.3554,1,0.4469,1
68,0,-0.0612,1,0.5700,1
69,1,0.1101,0,0.6752,0
70,0,-0.5299,1,0.4579,0
71,1,-0.1608,1,0.3459,0
72,0,0.5589,0,0.4530,1
73,1,-0.6201,1,0.2408,0
74,0,1.3029,1,0.8433,1
75,1,-0.0009,1,-0.0310,1
76,0,0.5744,1,0.6376,1
77,1,-0.2102,0,0.6843,0
78,0,-0.5021,0,0.2629,1
79,1,0.8138,1,0.9252,1
80,0,0.1438,1,0.6889,0
