worker_id,unit,cohort,female,manager_overlap,baseline_performance,pre_level,prior_wage,informal_interaction,mentoring_score,promoted,wage_growth,retained
1,2,2,0,0,-0.4478,2,58472.1153,0.3006,0.3221,0,0.0181,1
2,3,3,1,0,-0.9985,3,58963.2596,0.2522,0.2428,1,0.0544,1
3,4,4,0,1,-0.4337,4,65059.8678,0.7987,0.5191,1,0.0586,1
4,5,5,1,0,0.1429,1,55996.9293,0.3228,0.4284,1,0.0422,0
5,6,6,0,1,0.0259,2,60004.9366,0.8556,0.5579,0,0.0453,1
6,7,1,1,0,0.8643,3,64650.9087,0.3480,0.4276,1,0.0564,1
7,8,2,0,0,0.2504,4,65191.4452,0.4642,0.3879,0,0.0357,0
8,9,3,1,1,-0.7467,1,56115.4263,0.5443,0.3431,0,0.0622,1
9,10,4,0,0,-0.2801,2,58295.8842,0.4199,0.3949,0,0.0355,1
10,11,5,1,1,0.8656,3,64739.1262,0.5866,0.4780,1,0.0734,0
11,12,6,0,0,0.5174,4,66434.2450,0.5623,0.2880,1,0.0555,1
12,1,1,1,1,-0.8913,1,53387.8499,0.4822,0.3717,0,0.0433,1
13,2,2,0,0,-0.1673,2,58536.2323,0.3653,0.3815,0,0.0635,1
14,3,3,1,1,1.2446,3,65440.3858,0.7329,0.4804,0,0.0327,1
15,4,4,0,0,-0.5165,4,64584.8673,0.3373,0.3355,0,0.0414,1
16,5,5,1,0,0.1767,1,56759.1377,0.3741,0.3151,0,0.0341,1
17,6,6,0,1,0.8040,2,60400.1680,0.8163,0.7280,1,0.0616,1
18,7,1,1,0,-0.3838,3,60732.8572,0.3079,0.2459,0,0.0273,1
19,8,2,0,1,-1.3506,4,61406.4002,0.6793,0.3996,0,0.0478,1
20,9,3,1,0,0.1020,1,56766.3995,0.3450,0.2935,0,0.0247,1
21,10,4,0,0,-0.4470,2,58713.4472,0.4384,0.3390,1,0.0727,1
22,11,5,1,1,0.7521,3,65462.0738,0.5518,0.4695,1,0.0778,1
23,12,6,0,0,-0.1878,4,64325.7714,0.2799,0.4200,0,0.0211,1
24,1,1,1,0,0.7594,1,58804.1136,0.3537,0.5132,0,0.0285,0
25,2,2,0,0,0.7361,2,60484.8672,0.4194,0.5513,0,0.0381,1
26,3,3,1,1,0.0250,3,62574.9443,0.6003,0.4054,0,0.0398,1
