candidate_id,cohort,female,blind_screen,baseline_score,audition_score,advanced
1,2,1,1,-0.4753,-0.4335,0
2,3,0,1,-1.5801,-1.5404,1
3,4,1,0,-0.4241,-0.1944,0
4,5,0,1,0.0182,0.1708,0
5,6,1,1,-0.5466,-0.3265,0
6,7,0,0,1.1242,1.1000,0
7,8,1,1,-0.3184,-0.0476,1
8,1,0,0,0.0137,0.4842,0
9,2,1,1,-0.3757,-0.7070,0
10,3,0,0,-0.3334,-0.4886,0
11,4,1,0,-0.8764,-0.7603,0
12,5,0,1,0.1745,0.4342,0
13,6,1,0,-1.0474,-0.8004,0
14,7,0,0,-0.3835,-0.5741,0
15,8,1,1,-0.5346,-0.4833,0
16,1,0,1,0.1851,-0.2102,0
17,2,1,0,0.1853,0.1536,0
18,3,0,0,-0.9113,-0.9717,1
19,4,1,1,0.1548,0.1281,0
20,5,0,0,-0.2734,0.0186,0
21,6,1,0,-0.1084,0.0517,0
22,7,0,1,-0.1032,0.4170,0
23,8,1,0,-0.2232,-0.2078,0
24,1,0,1,0.1057,0.4095,1
25,2,1,0,-0.4618,-0.3071,0
26,3,0,1,0.9254,0.3679,1
27,4,1,1,0.8666,0.9988,1
28,5,0,0,-0.5428,-1.0981,0
29,6,1,1,0.2514,0.2840,1
30,7,0,1,0.5249,0.4042,0
31,8,1,0,0.3257,0.4920,1
32,1,0,0,0.0792,0.5244,1
33,2,1,0,-0.8432,-0.5472,0
34,3,0,1,0.5423,0.9141,1
35,4,1,0,-0.7360,-0.8415,0
36,5,0,0,-0.4383,-0.3970,1
37,6,1,1,-0.0051,0.2284,1
38,7,0,0,-1.5092,-1.5425,1
39,8,1,0,-0.0358,-0.6177,0
40,1,0,0,0.3879,0.4088,1
41,2,1,1,0.5051,0.7668,0
42,3,0,0,0.9686,0.7433,1
43,4,1,0,-0.3168,-0.5588,0
44,5,0,1,-0.4854,-0.3999,0
45,6,1,0,-0.1697,-0.1839,1
46,7,0,0,-0.0975,-0.0467,0
47,8,1,1,0.2762,0.1199,1
48,1,0,1,0.2057,0.2655,0
49,2,1,1,0.6492,1.1420,1
50,3,0,0,0.0846,0.1289,0
51,4,1,1,0.6488,0.8145,0
52,5,0,1,0.1365,0.2562,1
53,6,1,0,-0.7510,-1.0680,0
54,7,0,1,0.5067,0.3724,1
55,8,1,1,-1.5463,-1.8185,0
56,1,0,1,-0.8528,-1.1223,0
57,2,1,0,0.0607,0.2429,0
58,3,0,0,0.4052,0.3829,0
59,4,1,1,-0.4689,0.0632,0
60,5,0,0,0.1152,-0.4740,1
61,6,1,0,0.3007,0.6513,0
62,7,0,1,-0.3316,-0.3783,0
63,8,1,0,-0.0432,0.2288,0
64,1,0,0,0.9410,1.1208,1
65,2,1,0,-0.1815,0.1450,1
66,3,0,1,-0.7268,-1.0515,0
67,4,1,0,-0.2591,-0.2260,0
68,5,0,0,-0.4017,-0.8487,0
69,6,1,1,0.3424,0.4333,0
70,7,0,0,0.2511,0.2741,0
71,8,1,0,0.3824,0.5712,0
72,1,0,0,-0.2838,-0.3869,0
73,2,1,1,-0.0080,-0.1931,1
74,3,0,1,0.2762,0.4358,0
75,4,1,0,0.8213,1.1628,0
76,5,0,1,0.6405,0.8226,1
77,6,1,1,-0.6793,-0.6208,0
78,7,0,0,-0.2483,-0.3232,0
79,8,1,1,-0.6274,-0.5744,0
80,1,0,0,0.0179,0.3006,1
81,2,1,1,0.2695,0.1058,1
82,3,0,0,0.4913,0.4189,1
83,4,1,0,-0.5426,-0.5693,0
84,5,0,1,-0.2720,-0.1379,1
85,6,1,0,-0.1450,-0.1980,0
86,7,0,0,-0.1230,-0.0054,0
87,8,1,1,-0.1954,0.2062,1
88,1,0,1,-0.4834,-0.4614,0
89,2,1,0,0.1530,0.5878,1
90,3,0,0,0.4553,0.3965,0
91,4,1,1,0.1914,0.0965,0
92,5,0,0,-0.2330,0.3370,1
93,6,1,0,-0.0222,-0.0900,0
94,7,0,1,0.7050,0.6273,1
95,8,1,0,0.1974,0.2831,0
96,1,0,1,0.4880,0.0649,1
97,2,1,0,0.1313,0.4914,1
98,3,0,1,0.1044,0.1842,1
99,4,1,1,0.2425,0.1643,0
100,5,0,0,-0.4577,-0.4341,0
101,6,1,1,-0.7021,-0.7638,0
102,7,0,1,0.3316,0.3206,0
103,8,1,0,-0.6333,-0.7044,0
104,1,0,0,0.6076,0.7045,1
105,2,1,0,0.8871,0.6774,1
106,3,0,1,0.4427,0.5785,0
107,4,1,0,0.2180,0.4680,0
108,5,0,0,-0.1515,-0.0733,0
109,6,1,1,-0.2530,-0.0950,1
110,7,0,0,-0.1697,-0.2777,1
111,8,1,0,-0.7523,-1.0057,0
112,1,0,0,-0.7594,-0.6450,0
113,2,1,1,-0.6297,-0.7319,1
114,3,0,0,-0.7313,-0.8361,0
115,4,1,0,-0.0140,0.2949,1
116,5,0,1,0.2369,0.1559,1
117,6,1,0,-0.2436,-0.1086,0
118,7,0,0,-1.2427,-1.3854,0
119,8,1,1,0.7790,0.9874,1
120,1,0,1,0.2723,0.8873,0
121,2,1,1,-1.0710,-0.9572,0
122,3,0,0,-0.5811,-0.5503,0
123,4,1,1,-0.3094,-0.0601,1
124,5,0,1,-1.1169,-1.2311,0
125,6,1,0,0.0756,0.0984,0
126,7,0,1,0.0450,-0.0727,1
127,8,1,1,-0.1679,0.0380,1
128,1,0,1,1.3011,1.6231,1
129,2,1,0,0.2472,0.6397,0
130,3,0,0,0.9549,1.2064,1
131,4,1,1,-0.4041,-0.6034,0
132,5,0,0,0.2503,0.0632,0
133,6,1,0,-0.5354,-0.6274,0
134,7,0,1,-0.7857,-1.1737,0
135,8,1,0,-0.0241,-0.0525,0
136,1,0,0,-0.0992,-0.2813,1
137,2,1,0,-0.7032,-0.5710,0
138,3,0,1,-0.7892,-0.5822,0
139,4,1,0,-0.0179,-0.3130,1
140,5,0,0,-0.1207,0.1095,1
141,6,1,1,0.3219,0.2825,0
142,7,0,0,0.4715,0.9422,1
143,8,1,0,0.0575,-0.1410,0
144,1,0,0,0.0055,-0.1329,1
145,2,1,1,-1.0991,-1.1757,0
146,3,0,1,-0.3533,-0.4687,0
147,4,1,0,-0.3027,-0.3065,1
148,5,0,1,-0.4121,-0.5685,0
149,6,1,1,-0.3922,-0.1066,0
150,7,0,0,0.0235,-0.0194,1
151,8,1,1,0.5193,0.5969,1
152,1,0,0,0.4061,0.5982,1
153,2,1,1,0.9712,0.8687,0
154,3,0,0,-0.6008,-0.7762,1
155,4,1,0,-0.2169,-0.3670,0
156,5,0,1,-0.3408,-0.1362,0
157,6,1,0,-0.7927,-0.3985,0
158,7,0,0,-0.4269,-0.5954,1
159,8,1,1,0.8409,1.1486,0
160,1,0,1,0.2130,0.0711,1
161,2,1,0,1.0213,1.6866,0
162,3,0,0,0.9703,0.6868,1
163,4,1,1,-0.2922,-0.3964,0
164,5,0,0,1.6618,1.4888,1
165,6,1,0,-0.9014,-0.8468,0
166,7,0,1,-0.4426,-0.4483,0
167,8,1,0,-0.3948,-0.7418,0
168,1,0,1,-0.6441,-0.6605,1
169,2,1,0,0.3429,0.1479,1
170,3,0,1,-0.0327,0.1716,1
171,4,1,1,0.2911,0.5721,1
172,5,0,0,0.5299,0.8560,0
173,6,1,1,-0.4500,-0.4536,0
174,7,0,1,0.0082,0.1272,0
175,8,1,0,1.5240,1.1890,1
176,1,0,0,0.2538,0.5681,0
177,2,1,0,-0.5103,-0.7892,0
178,3,0,1,-1.0605,-1.1559,0
179,4,1,0,-0.0180,-0.2054,0
180,5,0,0,-1.1694,-1.4013,0
181,6,1,1,0.7709,1.3553,0
182,7,0,0,0.3100,0.3980,1
183,8,1,0,0.0357,0.0278,0
184,1,0,0,0.0845,0.0820,0
185,2,1,1,0.6186,0.5779,0
186,3,0,0,0.7476,0.7705,0
187,4,1,0,-0.1581,-0.1373,1
188,5,0,1,-0.3456,0.0152,0
189,6,1,0,-0.4372,-0.3363,1
190,7,0,0,-0.7260,-0.2173,0
191,8,1,1,-0.7227,-0.8392,1
192,1,0,1,-0.3646,-0.0194,0
193,2,1,1,-0.2894,0.2022,1
194,3,0,0,-0.2805,0.0097,0
195,4,1,1,-0.0621,-0.1561,0
196,5,0,1,0.7550,0.8099,1
197,6,1,0,0.3649,0.6797,1
198,7,0,1,-0.8112,-0.5103,0
199,8,1,1,-0.7011,-0.4414,0
200,1,0,1,-0.3143,-0.5182,0
201,2,1,0,-0.1748,-0.4318,1
202,3,0,0,-0.7535,-1.1765,0
203,4,1,1,-0.4379,-0.7835,0
204,5,0,0,0.0570,0.2914,1
205,6,1,0,0.1317,0.2193,0
206,7,0,1,-0.1737,-0.1592,1
207,8,1,0,0.3905,0.2505,1
208,1,0,0,0.1046,-0.1012,0
209,2,1,0,-0.4966,0.0013,0
210,3,0,1,-0.5183,-0.8370,0
211,4,1,0,0.4167,0.6788,1
212,5,0,0,-0.5607,-0.3575,0
213,6,1,1,0.2239,0.4513,1
214,7,0,0,-0.7834,-0.8824,1
215,8,1,0,0.3915,0.7273,0
216,1,0,0,0.3296,0.4492,0
217,2,1,1,0.5873,0.5377,1
218,3,0,1,-0.0580,-0.0923,0
219,4,1,0,-0.7056,-0.3417,0
220,5,0,1,-0.3849,-0.3817,0
221,6,1,1,-0.0585,0.6150,1
222,7,0,0,-0.6260,-0.4192,1
223,8,1,1,-0.3337,-0.5116,0
224,1,0,0,-0.4889,-0.8185,0
225,2,1,1,-0.2014,0.0668,0
226,3,0,0,-0.3199,-0.1644,1
227,4,1,0,-0.1463,-0.3144,1
228,5,0,1,0.4543,0.2602,0
229,6,1,0,0.4635,0.5503,0
230,7,0,0,0.1648,0.0487,0
231,8,1,1,-0.3963,-0.7678,0
232,1,0,1,-0.5661,-0.3315,0
233,2,1,0,0.2597,0.4389,0
234,3,0,0,0.6755,0.4546,0
235,4,1,1,-0.2963,-0.2476,0
236,5,0,0,-0.4747,-0.7002,1
237,6,1,0,-0.1869,-0.3580,0
238,7,0,1,-0.6217,-0.6601,0
239,8,1,0,0.3005,0.3825,1
240,1,0,1,0.0670,-0.4163,1
241,2,1,0,0.5906,0.6606,1
242,3,0,1,-1.4224,-1.4030,0
243,4,1,1,-0.1569,-0.2872,0
244,5,0,0,0.0762,-0.0389,1
245,6,1,1,-0.7660,-0.4493,0
246,7,0,1,0.3807,0.2406,0
247,8,1,0,-1.1766,-1.3257,0
248,1,0,0,0.0294,-0.3991,0
249,2,1,0,0.3315,0.6821,1
250,3,0,1,-0.3152,-0.3388,0
251,4,1,0,0.3918,0.5931,0
252,5,0,0,0.1162,-0.0510,1
253,6,1,1,-0.0802,-0.0864,1
254,7,0,0,-0.8786,-0.7225,0
255,8,1,0,-0.3224,-0.2353,0
256,1,0,0,0.1136,-0.0077,0
257,2,1,1,-0.0187,-0.1367,0
258,3,0,0,0.6701,0.3884,0
259,4,1,0,0.1806,-0.1472,0
260,5,0,1,0.3847,0.4583,0
261,6,1,0,-0.2203,-0.2285,0
262,7,0,0,0.1251,-0.0534,0
263,8,1,1,0.7937,1.0448,0
264,1,0,1,0.1912,0.1815,0
265,2,1,1,0.1383,0.1737,1
266,3,0,0,-0.1163,-0.4774,0
267,4,1,1,-0.5475,-0.5672,0
268,5,0,1,0.7070,0.8557,0
269,6,1,0,-0.3246,-0.1446,0
270,7,0,1,0.6572,0.4840,0
271,8,1,1,0.7508,0.8753,0
272,1,0,1,-0.2985,-0.1843,0
273,2,1,0,0.8699,0.9968,0
274,3,0,0,0.7002,0.8092,0
275,4,1,1,-1.0407,-0.9080,0
276,5,0,0,-0.0936,0.1423,0
277,6,1,0,0.1010,0.1809,0
278,7,0,1,-0.5547,-1.0103,0
279,8,1,0,0.2225,0.4437,0
280,1,0,0,-0.1285,0.4907,1
281,2,1,0,-0.3951,-0.4757,0
282,3,0,1,0.2068,-0.0422,1
283,4,1,0,0.1590,-0.0621,0
284,5,0,0,0.4362,0.2837,0
285,6,1,1,-0.1212,-0.0932,1
286,7,0,0,-1.0157,-1.3155,0
287,8,1,0,-0.4347,-0.6794,0
288,1,0,0,-0.4807,-0.3143,0
289,2,1,1,-1.0595,-0.8494,0
290,3,0,1,-0.2775,-0.5818,0
291,4,1,0,0.0314,-0.1025,0
292,5,0,1,-0.3191,-0.6796,0
293,6,1,1,0.2293,0.4248,0
294,7,0,0,0.7382,1.2300,0
295,8,1,1,0.4699,0.3994,1
296,1,0,0,0.6460,0.6146,1
297,2,1,1,0.3110,0.4449,0
298,3,0,0,-0.6366,-0.3630,0
299,4,1,0,-0.0835,0.2612,0
300,5,0,1,-0.7633,-1.0171,0
301,6,1,0,-0.3915,-0.4566,0
302,7,0,0,-0.1342,-0.2152,1
303,8,1,1,-0.8152,-1.1303,0
304,1,0,1,-0.2306,-0.5192,0
305,2,1,0,0.2347,0.3151,1
306,3,0,0,-0.5110,-0.8450,0
307,4,1,1,0.5275,0.7737,1
308,5,0,0,0.3352,0.3810,1
309,6,1,0,-0.4519,0.1283,0
310,7,0,1,-0.3754,-0.5081,1
311,8,1,0,-1.4012,-1.8350,1
312,1,0,1,0.3951,0.4739,1
313,2,1,0,-0.3288,-0.5532,0
314,3,0,1,0.4528,0.6127,0
315,4,1,1,0.7131,0.5015,0
316,5,0,0,0.9503,1.0087,1
317,6,1,1,-0.2394,0.2677,1
318,7,0,1,-0.1370,0.0330,0
319,8,1,0,-0.1879,-0.0304,0
320,1,0,0,-0.2435,-0.2876,0
321,2,1,0,-0.4088,-0.7203,0
322,3,0,1,-0.4549,-0.5732,1
323,4,1,0,0.3701,0.5825,1
324,5,0,0,0.4837,0.4869,0
325,6,1,1,0.6013,0.3163,1
326,7,0,0,-0.0490,0.3062,0
327,8,1,0,-0.1029,-0.1337,0
328,1,0,0,-0.7500,-0.5362,1
329,2,1,1,-0.5336,-0.9753,0
