respondent_id,cohort,district,information_treatment,private_support,perceived_peer_support,true_peer_support,baseline_misperception,wife_interested_work,posterior_peer_support,job_matching_signup,followup_job_search,followup_employment
1,2,2,1,1,0.4430,0.7455,0.3025,0,0.7818,0,1,0
2,3,3,0,0,0.4047,0.7382,0.3335,1,0.3973,1,0,0
3,4,4,0,1,0.4375,0.5765,0.1389,1,0.4153,1,0,1
4,5,5,0,1,0.4197,0.6742,0.2546,0,0.4119,1,1,0
5,6,6,0,1,0.4973,0.6848,0.1875,1,0.4753,1,0,0
6,7,7,1,1,0.4448,0.6700,0.2253,1,0.7479,0,0,0
7,8,8,0,1,0.3431,0.6782,0.3352,0,0.3100,1,0,0
8,1,9,0,1,0.4954,0.6984,0.2030,0,0.5301,1,0,0
9,2,10,0,0,0.3839,0.6642,0.2803,1,0.3768,0,1,1
10,3,11,0,1,0.4614,0.7371,0.2757,1,0.4752,0,0,0
11,4,12,0,0,0.3435,0.6854,0.3419,0,0.3250,1,0,1
12,5,1,1,0,0.4879,0.6428,0.1549,1,0.7351,1,0,0
13,6,2,0,0,0.3120,0.6802,0.3682,0,0.2471,1,1,0
14,7,3,0,0,0.5023,0.6972,0.1949,0,0.4958,0,0,0
15,8,4,0,1,0.5895,0.6202,0.0306,0,0.5771,1,0,0
16,1,5,0,0,0.3413,0.6921,0.3508,0,0.3540,0,1,0
17,2,6,0,0,0.3865,0.7319,0.3453,0,0.3693,1,1,0
18,3,7,1,0,0.3546,0.6674,0.3128,1,0.6693,1,1,1
19,4,8,0,1,0.3846,0.6542,0.2695,0,0.3401,0,0,1
20,5,9,0,1,0.6029,0.6842,0.0813,0,0.5637,0,1,1
21,6,10,0,1,0.4215,0.7400,0.3185,1,0.4231,1,0,0
22,7,11,0,1,0.2618,0.7316,0.4698,1,0.2330,1,0,0
23,8,12,1,0,0.1697,0.7114,0.5417,0,0.6220,1,0,0
24,1,1,1,1,0.3553,0.6624,0.3071,1,0.6780,0,1,1
25,2,2,0,0,0.1758,0.6444,0.4686,1,0.1878,1,1,1
26,3,3,0,1,0.5044,0.7352,0.2307,0,0.5008,0,1,0
27,4,4,0,1,0.6393,0.7393,0.1000,1,0.6537,0,0,0
28,5,5,0,1,0.2919,0.6398,0.3479,0,0.2886,1,1,0
29,6,6,1,1,0.3843,0.7083,0.3240,0,0.7348,0,0,0
30,7,7,0,0,0.3363,0.7282,0.3919,1,0.3374,0,0,1
31,8,8,0,1,0.4253,0.6774,0.2521,0,0.4364,0,0,0
32,1,9,0,1,0.3697,0.7252,0.3555,1,0.3774,0,1,1
33,2,10,0,1,0.4174,0.7397,0.3223,1,0.4084,1,0,0
34,3,11,0,1,0.4350,0.7277,0.2927,1,0.3979,0,0,0
35,4,12,1,1,0.4924,0.7029,0.2105,1,0.7475,1,1,0
36,5,1,0,0,0.4074,0.6781,0.2707,1,0.4342,0,0,0
37,6,2,0,1,0.5647,0.7251,0.1604,1,0.5696,1,0,0
38,7,3,0,1,0.4716,0.7335,0.2619,0,0.5083,0,0,0
39,8,4,0,1,0.4788,0.6746,0.1958,0,0.4904,0,0,0
40,1,5,0,0,0.2030,0.7370,0.5340,0,0.2591,0,0,0
41,2,6,1,1,0.3084,0.7297,0.4213,1,0.7559,1,1,0
42,3,7,0,0,0.3607,0.7213,0.3606,0,0.3821,0,0,0
43,4,8,0,1,0.5218,0.6888,0.1670,0,0.4919,0,0,1
44,5,9,0,1,0.4063,0.7145,0.3082,1,0.3926,1,1,1
45,6,10,0,1,0.4531,0.6735,0.2204,0,0.4536,1,1,1
46,7,11,1,0,0.2442,0.7039,0.4596,1,0.6727,1,1,0
47,8,12,0,0,0.4494,0.6285,0.1791,1,0.4672,0,1,0
48,1,1,0,1,0.3405,0.6573,0.3168,0,0.3463,0,1,1
49,2,2,0,0,0.4423,0.6825,0.2402,0,0.4717,0,0,1
50,3,3,0,1,0.4788,0.6984,0.2196,1,0.4740,0,0,0
51,4,4,0,1,0.5409,0.7162,0.1752,0,0.5803,0,0,0
52,5,5,1,1,0.4338,0.7125,0.2788,1,0.7769,0,0,0
53,6,6,0,0,0.3781,0.6857,0.3076,0,0.3630,1,0,0
54,7,7,0,1,0.5448,0.6824,0.1376,1,0.4855,0,0,0
55,8,8,0,1,0.5309,0.7073,0.1764,0,0.5174,0,1,1
