household_id,cohort,children,marriage_years,wife_potential_share,wife_earning_share,wife_earns_more,wife_weekly_hours,husband_weekly_hours,wife_home_hours
1,2,1,2,0.4190,0.3816,0,34.7199,41.2652,14.4140
2,3,2,3,0.4766,0.4313,0,35.0527,37.1834,15.8923
3,4,3,4,0.3858,0.3921,0,26.3354,40.4909,21.2513
4,5,0,5,0.5484,0.4761,0,34.8354,36.2069,14.2941
5,6,1,6,0.4720,0.4466,0,29.1814,40.4633,18.2449
6,7,2,7,0.4936,0.4967,0,34.4405,42.9074,20.2357
7,1,3,8,0.3893,0.4018,0,32.4049,39.9747,20.7458
8,2,0,9,0.5048,0.4884,0,36.1883,39.9704,11.6535
9,3,1,10,0.6403,0.5912,1,34.7407,37.6441,19.8401
10,4,2,11,0.3362,0.3545,0,29.9234,38.0121,15.5958
11,5,3,12,0.4032,0.4006,0,34.2617,37.5977,20.0050
12,6,0,13,0.5478,0.4999,0,30.1012,31.3778,14.3285
13,7,1,14,0.4735,0.4864,0,32.0327,37.3548,16.2992
14,1,2,15,0.4563,0.4671,0,33.9958,39.8533,17.3015
15,2,3,16,0.3331,0.3360,0,28.6548,46.0676,19.7959
16,3,0,17,0.5222,0.5024,1,29.0423,42.1280,17.0268
17,4,1,18,0.4075,0.3892,0,31.2014,37.7492,17.4011
18,5,2,1,0.4869,0.4951,0,32.6003,38.8649,17.7094
19,6,3,2,0.5461,0.5023,1,27.6969,39.6070,22.0532
20,7,0,3,0.4807,0.4771,0,35.2570,41.0696,15.3260
21,1,1,4,0.4606,0.4797,0,37.9981,33.7977,16.6342
22,2,2,5,0.4059,0.3758,0,29.4228,40.9047,20.4826
23,3,3,6,0.3409,0.3343,0,29.4339,41.5757,20.6140
24,4,0,7,0.4013,0.3988,0,39.1151,38.6461,12.6804
25,5,1,8,0.3812,0.4095,0,25.9166,39.7119,14.8879
26,6,2,9,0.6447,0.6111,1,29.1895,37.8412,21.1129
27,7,3,10,0.6581,0.6032,1,28.3840,41.7507,31.1726
28,1,0,11,0.5056,0.4839,0,35.5241,38.6076,11.3198
29,2,1,12,0.5663,0.5070,1,33.2427,40.7202,20.3345
30,3,2,13,0.3138,0.2916,0,27.3412,37.4107,19.0315
31,4,3,14,0.3750,0.3477,0,27.4587,38.8046,19.2295
32,5,0,15,0.5656,0.5172,1,32.2436,38.8911,17.0614
33,6,1,16,0.4242,0.3963,0,36.9289,38.5196,15.0674
34,7,2,17,0.5107,0.4767,0,41.0607,40.1713,19.2464
