worker_id,firm_id,period,firm_size,reporting_required,female,manager,base_pay,bonus,total_pay,retained
1,1,-1,155,0,1,0,37558.62,636.01,38194.62,1
1,1,1,155,0,1,0,39408.85,827.90,40236.75,1
2,1,-1,155,0,0,0,40004.93,655.78,40660.71,1
2,1,1,155,0,0,0,42109.54,1256.28,43365.83,1
3,1,-1,155,0,1,0,40846.30,355.33,41201.63,1
3,1,1,155,0,1,0,42293.81,823.73,43117.55,1
4,1,-1,155,0,0,0,43603.45,1009.31,44612.76,1
4,1,1,155,0,0,0,45519.38,1245.33,46764.70,1
5,1,-1,155,0,1,0,43564.89,416.06,43980.95,1
5,1,1,155,0,1,0,44735.56,1057.59,45793.15,1
6,1,-1,155,0,0,0,46455.21,934.17,47389.39,1
6,1,1,155,0,0,0,48049.39,1018.19,49067.58,1
7,1,-1,155,0,1,0,46500.47,522.77,47023.24,1
7,1,1,155,0,1,0,47563.58,975.75,48539.33,1
8,1,-1,155,0,0,0,37914.16,764.12,38678.28,1
8,1,1,155,0,0,0,39295.96,1350.59,40646.55,1
9,1,-1,155,0,1,1,43247.73,1723.63,44971.36,1
9,1,1,155,0,1,1,44952.06,2287.07,47239.13,1
10,1,-1,155,0,0,0,40437.89,762.93,41200.82,1
10,1,1,155,0,0,0,42618.27,1227.85,43846.12,1
11,1,-1,155,0,1,0,40103.60,596.35,40699.94,1
11,1,1,155,0,1,0,42557.11,949.03,43506.13,1
12,1,-1,155,0,0,0,43553.72,798.48,44352.20,1
12,1,1,155,0,0,0,45544.96,1081.42,46626.38,1
13,1,-1,155,0,1,0,43494.37,525.07,44019.44,1
13,1,1,155,0,1,0,44768.78,649.87,45418.65,1
14,1,-1,155,0,0,0,46048.67,945.38,46994.05,1
14,1,1,155,0,0,0,48674.71,1361.88,50036.58,0
15,1,-1,155,0,1,0,46621.32,253.33,46874.65,1
15,1,1,155,0,1,0,47049.00,1028.40,48077.40,1
16,1,-1,155,0,0,0,37343.46,896.46,38239.93,1
16,1,1,155,0,0,0,39521.21,1177.70,40698.91,1
17,1,-1,155,0,1,0,37431.07,345.10,37776.17,1
17,1,1,155,0,1,0,39152.79,904.19,40056.98,1
18,1,-1,155,0,0,1,49294.27,2892.41,52186.68,1
