rule_exposed,period,original_job_family,men_workers,women_workers,men_mean_wage,women_mean_wage,gap_men_minus_women
0,-1,administration,278,282,68890.7988,66490.7951,2400.0037
0,-1,operations,304,256,57370.5397,55259.5491,2110.9906
0,-1,sales,296,264,60548.8534,59699.0305,849.8229
0,-1,technical,280,280,64072.7807,63709.1542,363.6265
0,1,administration,278,282,69906.3897,67431.1881,2475.2016
0,1,operations,304,256,58308.5980,56221.6116,2086.9864
0,1,sales,296,264,61529.2559,60653.7466,875.5094
0,1,technical,280,280,65088.1747,64615.6123,472.5624
1,-1,administration,306,254,68971.2177,67311.4255,1659.7922
1,-1,operations,294,266,58226.6197,55266.1004,2960.5194
1,-1,sales,285,275,62122.7172,58903.3841,3219.3331
1,-1,technical,274,286,65018.1719,63602.4527,1415.7192
1,1,administration,306,254,69496.6572,68971.0031,525.6541
1,1,operations,294,266,58630.7679,56918.9432,1711.8247
1,1,sales,285,275,62703.0350,60854.3160,1848.7191
1,1,technical,274,286,65626.0827,65530.6391,95.4436
