worker_id,firm_id,period,rule_exposed,local_female_supply,female,senior,original_job_family,adjusted_job_cell,female_concentrated_cell,male_concentrated_cell,wage
1,1,-1,0,0.4100,1,0,operations,operations,0,0,37296.30
1,1,1,0,0.4100,1,0,operations,operations,0,0,38893.89
2,1,-1,0,0.4100,0,0,operations,operations,0,0,39248.55
2,1,1,0,0.4100,0,0,operations,operations,0,0,40056.23
3,1,-1,0,0.4100,0,0,operations,operations,0,0,39303.94
3,1,1,0,0.4100,0,0,operations,operations,0,0,39921.92
4,1,-1,0,0.4100,0,0,operations,operations,0,0,39563.27
4,1,1,0,0.4100,0,0,operations,operations,0,0,39882.49
5,1,-1,0,0.4100,0,0,operations,operations,0,0,39828.49
5,1,1,0,0.4100,0,0,operations,operations,0,0,40431.72
6,1,-1,0,0.4100,0,0,operations,operations,0,0,38904.41
6,1,1,0,0.4100,0,0,operations,operations,0,0,39384.72
7,1,-1,0,0.4100,1,1,operations,operations,0,0,43921.78
7,1,1,0,0.4100,1,1,operations,operations,0,0,43911.31
8,1,-1,0,0.4100,0,0,operations,operations,0,0,39798.83
8,1,1,0,0.4100,0,0,operations,operations,0,0,41083.56
9,1,-1,0,0.4100,0,0,operations,operations,0,0,39883.61
9,1,1,0,0.4100,0,0,operations,operations,0,0,40563.81
10,1,-1,0,0.4100,1,0,operations,operations,0,0,37694.03
10,1,1,0,0.4100,1,0,operations,operations,0,0,38529.33
11,1,-1,0,0.4100,1,0,operations,operations,0,0,37167.02
11,1,1,0,0.4100,1,0,operations,operations,0,0,39417.90
12,1,-1,0,0.4100,0,0,operations,operations,0,0,39097.54
12,1,1,0,0.4100,0,0,operations,operations,0,0,40175.45
13,1,-1,0,0.4100,0,0,operations,operations,0,0,39670.50
13,1,1,0,0.4100,0,0,operations,operations,0,0,40764.48
14,1,-1,0,0.4100,0,1,operations,operations,0,0,47223.53
14,1,1,0,0.4100,0,1,operations,operations,0,0,47685.37
15,1,-1,0,0.4100,0,0,sales,sales,0,0,43390.29
15,1,1,0,0.4100,0,0,sales,sales,0,0,44415.58
16,1,-1,0,0.4100,1,0,sales,sales,0,0,41856.94
16,1,1,0,0.4100,1,0,sales,sales,0,0,42421.30
17,1,-1,0,0.4100,0,0,sales,sales,0,0,43709.20
17,1,1,0,0.4100,0,0,sales,sales,0,0,44645.40
18,1,-1,0,0.4100,0,0,sales,sales,0,0,43096.49
18,1,1,0,0.4100,0,0,sales,sales,0,0,43856.02
19,1,-1,0,0.4100,0,0,sales,sales,0,0,43687.39
19,1,1,0,0.4100,0,0,sales,sales,0,0,43933.91
20,1,-1,0,0.4100,0,0,sales,sales,0,0,44183.82
20,1,1,0,0.4100,0,0,sales,sales,0,0,43482.63
21,1,-1,0,0.4100,1,1,sales,sales,0,0,47932.11
21,1,1,0,0.4100,1,1,sales,sales,0,0,48414.40
22,1,-1,0,0.4100,1,0,sales,sales,0,0,41294.13
22,1,1,0,0.4100,1,0,sales,sales,0,0,42777.28
23,1,-1,0,0.4100,1,0,sales,sales,0,0,41683.48
