worker_id,firm_id,period,female,supervisor,event_firm,reported_victim,coworker_exposed,exposure_group,firm_risk_score,reported_event,separated,retained,sick_days,wage,new_hire
1,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,1.1119,41425.7274,0
1,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,1.1474,42857.4990,0
2,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,2.8564,42909.0966,0
2,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,2.6428,44638.9654,0
3,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,0.9651,43797.5206,0
3,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,2.4006,45002.7695,0
4,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,2.2857,44355.3864,0
4,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,2.6628,46565.0121,0
5,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,1.9253,44938.5072,0
5,1,1,1,0,0,0,0,comparison,0.2000,0,1,0,2.3869,46623.8036,0
6,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,0.0000,46227.9886,0
6,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,0.5410,48924.8975,0
7,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,3.1132,46912.3490,0
7,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,1.5285,47662.8588,0
8,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,2.8811,41007.4538,0
8,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,2.7646,42325.4692,0
9,1,-1,1,0,0,0,0,comparison,0.2000,0,1,0,1.4943,42322.8991,0
9,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,2.2791,43408.1486,0
10,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,3.6735,42494.6190,0
10,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,2.9394,44157.0493,0
11,1,-1,1,1,0,0,0,comparison,0.2000,0,0,1,3.7096,46995.9198,0
11,1,1,1,1,0,0,0,comparison,0.2000,0,0,1,0.0578,48860.8149,0
12,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,3.3366,44641.2965,0
12,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,1.3355,45792.6473,0
13,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,3.2521,45134.2584,0
13,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,4.0929,46561.8843,0
14,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,0.2366,46803.6050,0
14,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,0.4407,47364.8113,0
15,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,1.1572,46388.3894,0
15,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,4.3891,48164.7184,0
16,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,0.9163,41031.4736,0
16,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,1.3177,42604.5323,0
17,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,4.4406,41891.9970,0
17,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,2.3937,42705.7569,0
18,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,3.2876,42490.1690,0
18,1,1,0,0,0,0,0,comparison,0.2000,0,1,0,2.2076,44032.4922,1
19,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,1.4883,43949.6633,0
19,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,3.0765,44938.5237,0
20,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,4.4333,44643.5231,0
20,1,1,0,0,0,0,0,comparison,0.2000,0,1,0,3.4842,46068.8335,0
21,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,0.0000,46106.4719,0
21,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,3.3706,46386.1381,0
22,1,-1,0,1,0,0,0,comparison,0.2000,0,0,1,0.2562,50784.0706,0
22,1,1,0,1,0,0,0,comparison,0.2000,0,0,1,3.4404,51052.9096,0
23,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,1.2366,46567.7560,0
23,1,1,1,0,0,0,0,comparison,0.2000,0,1,0,1.1558,48885.1681,0
24,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,1.8884,42200.5343,0
24,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,0.4867,41969.0019,0
25,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,1.5884,41335.4162,0
25,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,3.5753,43840.4959,0
26,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,1.9728,43296.5690,0
26,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,2.2230,43211.5632,0
27,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,4.1985,43402.9560,0
27,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,4.0274,44978.5198,0
28,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,1.5093,44370.5271,0
28,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,3.1411,46189.2446,1
29,1,-1,1,0,0,0,0,comparison,0.2000,0,0,1,3.5578,45277.1523,0
29,1,1,1,0,0,0,0,comparison,0.2000,0,0,1,3.0350,46238.0846,0
30,1,-1,0,0,0,0,0,comparison,0.2000,0,0,1,2.3029,46654.2044,0
30,1,1,0,0,0,0,0,comparison,0.2000,0,0,1,2.3764,47531.7452,0
31,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,1.8923,42519.0644,0
31,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,3.6953,43544.3730,0
32,2,-1,1,0,0,0,0,comparison,0.2200,0,1,0,3.8192,43006.1718,0
32,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,2.8953,44317.2463,0
33,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,1.0548,44792.2309,0
33,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,0.0420,44302.6416,0
34,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,0.8078,45486.5933,0
34,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,2.3745,46512.2867,0
35,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,1.5907,45355.7377,0
35,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,1.7213,46733.5291,0
36,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,3.6829,47224.1570,0
36,2,1,1,0,0,0,0,comparison,0.2200,0,1,0,3.2769,47993.3801,0
37,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,1.2226,48379.0369,0
37,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,2.3287,48447.7792,0
38,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,2.5399,42135.0374,0
38,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,3.6479,43110.4248,0
39,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,2.0748,42555.7447,0
39,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,3.4417,43663.3840,0
40,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,3.1947,42402.3891,0
40,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,3.1933,44363.1510,0
41,2,-1,0,1,0,0,0,comparison,0.2200,0,0,1,1.6349,47823.0188,0
41,2,1,0,1,0,0,0,comparison,0.2200,0,0,1,3.5954,49874.7523,0
42,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,4.4344,45239.9895,0
42,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,1.7900,46019.6756,0
43,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,0.5227,45857.5658,0
43,2,1,0,0,0,0,0,comparison,0.2200,0,1,0,3.8161,46939.6606,0
44,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,4.1951,46390.2817,0
44,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,4.9305,47615.0949,0
45,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,2.6532,46645.5473,0
45,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,0.7497,48462.0510,0
46,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,1.6059,41760.5708,0
46,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,2.5685,43122.4847,0
47,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,0.6078,42480.5351,0
47,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,1.9930,42403.1846,0
48,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,2.3627,43574.7256,0
48,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,3.7245,44332.8309,0
49,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,3.7657,44827.9086,0
49,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,0.7681,44379.0753,0
50,2,-1,1,0,0,0,0,comparison,0.2200,0,1,0,4.2474,45416.1617,0
50,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,2.9722,45624.8478,0
51,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,0.0000,45858.8803,0
51,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,2.7842,46809.4035,0
52,2,-1,1,1,0,0,0,comparison,0.2200,0,0,1,2.0801,51519.5426,0
52,2,1,1,1,0,0,0,comparison,0.2200,0,0,1,2.8509,51821.3818,0
53,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,1.9264,47674.2831,0
53,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,1.8115,48046.9252,0
54,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,3.0271,41936.3564,0
54,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,1.5493,43621.5956,0
55,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,2.2091,43170.7172,0
55,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,2.7235,43692.0924,0
56,2,-1,1,0,0,0,0,comparison,0.2200,0,0,1,1.5819,43219.8985,0
56,2,1,1,0,0,0,0,comparison,0.2200,0,0,1,1.2642,44550.4933,0
57,2,-1,0,0,0,0,0,comparison,0.2200,0,0,1,4.1263,43951.7720,0
57,2,1,0,0,0,0,0,comparison,0.2200,0,0,1,2.1265,45471.4656,0
