worker_id,occupation,female,occupation_male_share,high_risk_job,survey_harassment_risk,reporting_cost,reported_harassment,wage,quit_next_year,moves_to_safer_job,job_quality_score
1,retail,0,0.4200,0,0.2163,0.1834,0,48512.5219,0,0,0.6900
2,professional,1,0.5500,0,0.3000,0.3252,0,54701.7519,0,0,0.5782
3,transport,0,0.7800,1,0.3283,0.3495,0,58823.3650,0,0,0.5195
4,trades,1,0.8600,1,0.5756,0.4192,0,55405.4110,0,0,0.4505
5,finance,0,0.6300,1,0.2876,0.3114,0,65335.0759,1,0,0.5150
6,care,1,0.2800,0,0.2336,0.2890,0,45392.3218,0,0,0.6694
7,retail,0,0.4200,0,0.1410,0.2038,0,47649.1645,0,0,0.7102
8,professional,1,0.5500,0,0.2383,0.3124,0,50629.3392,0,0,0.5950
9,transport,0,0.7800,1,0.3567,0.3598,0,59226.6274,1,0,0.5389
10,trades,1,0.8600,1,0.4507,0.4343,1,56386.6253,1,1,0.5213
11,finance,0,0.6300,1,0.2378,0.3539,0,67845.8808,1,1,0.5102
12,care,1,0.2800,0,0.2420,0.3302,1,43291.1302,0,0,0.5154
13,retail,0,0.4200,0,0.1887,0.2149,0,47306.5539,1,0,0.6451
14,professional,1,0.5500,0,0.3808,0.2836,0,52594.1780,0,0,0.5369
15,transport,0,0.7800,1,0.3369,0.3270,0,59331.7345,0,0,0.4974
16,trades,1,0.8600,1,0.5739,0.4505,0,53213.3302,0,0,0.4500
17,finance,0,0.6300,1,0.3401,0.3894,1,65675.1035,1,1,0.4826
18,care,1,0.2800,0,0.2495,0.3255,0,43598.9610,0,0,0.6244
19,retail,0,0.4200,0,0.2926,0.2254,0,43415.1217,0,0,0.6179
20,professional,1,0.5500,0,0.3648,0.2763,0,55583.0191,0,0,0.5013
21,transport,0,0.7800,1,0.3596,0.3605,1,57578.9982,0,0,0.4785
22,trades,1,0.8600,1,0.5376,0.4442,0,55564.8051,0,0,0.4584
23,finance,0,0.6300,1,0.2839,0.3511,0,68551.7001,0,0,0.4455
24,care,1,0.2800,0,0.2974,0.3426,0,48306.4154,1,1,0.5086
25,retail,0,0.4200,0,0.2637,0.2467,0,45281.3261,0,0,0.5700
26,professional,1,0.5500,0,0.2152,0.3255,0,50350.4172,0,0,0.6032
27,transport,0,0.7800,1,0.3678,0.3313,1,58016.9027,0,0,0.3748
28,trades,1,0.8600,1,0.5037,0.4735,0,57728.2044,0,0,0.5118
29,finance,0,0.6300,1,0.2515,0.3687,0,65878.5474,0,0,0.5168
30,care,1,0.2800,0,0.2096,0.2634,1,44021.2783,0,0,0.6688
31,retail,0,0.4200,0,0.2039,0.2572,0,46576.5381,0,0,0.5515
32,professional,1,0.5500,0,0.2590,0.3214,0,53323.8724,0,0,0.5888
33,transport,0,0.7800,1,0.2708,0.3444,0,57925.4905,1,1,0.5650
34,trades,1,0.8600,1,0.4477,0.4543,1,53443.8806,1,1,0.4756
35,finance,0,0.6300,1,0.2957,0.3625,0,67688.5974,0,0,0.4948
36,care,1,0.2800,0,0.3030,0.2846,0,42908.7591,0,0,0.5831
37,retail,0,0.4200,0,0.3167,0.2185,0,48075.3510,0,0,0.5312
38,professional,1,0.5500,0,0.3075,0.2468,0,52387.7920,0,0,0.5113
39,transport,0,0.7800,1,0.3545,0.3329,0,57049.6088,0,0,0.4671
40,trades,1,0.8600,1,0.4611,0.4452,0,58102.9508,0,0,0.5067
41,finance,0,0.6300,1,0.3706,0.3307,0,67438.9815,1,0,0.5236
42,care,1,0.2800,0,0.2336,0.2895,0,43079.6301,0,0,0.6878
43,retail,0,0.4200,0,0.1528,0.1825,0,46678.2778,0,0,0.6755
44,professional,1,0.5500,0,0.3347,0.2962,0,52888.4219,1,1,0.5751
45,transport,0,0.7800,1,0.3503,0.3700,0,57479.9802,0,0,0.4470
46,trades,1,0.8600,1,0.4154,0.4153,0,54559.8688,1,0,0.4905
47,finance,0,0.6300,1,0.3148,0.3404,0,67862.1952,0,0,0.5292
48,care,1,0.2800,0,0.2213,0.3366,0,43460.8513,0,0,0.5580
49,retail,0,0.4200,0,0.2671,0.2178,0,45137.8512,0,0,0.5979
50,professional,1,0.5500,0,0.2726,0.3367,1,53529.0376,1,0,0.5818
51,transport,0,0.7800,1,0.3890,0.3835,1,57391.7480,0,0,0.4819
52,trades,1,0.8600,1,0.5215,0.4370,0,54363.7690,0,0,0.4373
53,finance,0,0.6300,1,0.3097,0.3636,1,66978.3464,0,0,0.4862
54,care,1,0.2800,0,0.2469,0.3119,0,45814.5439,0,0,0.5898
55,retail,0,0.4200,0,0.2893,0.1822,0,46056.3334,0,0,0.5213
56,professional,1,0.5500,0,0.2401,0.2895,0,51934.0600,0,0,0.6390
57,transport,0,0.7800,1,0.3864,0.3202,0,55973.5087,0,0,0.6182
58,trades,1,0.8600,1,0.4894,0.4608,0,57783.5884,1,1,0.3990
59,finance,0,0.6300,1,0.3486,0.3106,0,67543.1976,1,1,0.6022
60,care,1,0.2800,0,0.2786,0.3589,0,44782.8880,0,0,0.5455
61,retail,0,0.4200,0,0.2782,0.2503,0,45930.1711,0,0,0.5297
62,professional,1,0.5500,0,0.3557,0.3435,0,54774.6903,0,0,0.6118
63,transport,0,0.7800,1,0.3499,0.4006,0,55770.2262,0,0,0.5202
64,trades,1,0.8600,1,0.4674,0.4466,0,55936.6057,0,0,0.4537
65,finance,0,0.6300,1,0.2583,0.3019,0,66366.6039,0,0,0.6323
66,care,1,0.2800,0,0.2989,0.3214,0,43073.6550,0,0,0.5005
67,retail,0,0.4200,0,0.1732,0.1973,0,43961.3802,0,0,0.6161
68,professional,1,0.5500,0,0.3162,0.3221,0,50726.5247,0,0,0.6481
69,transport,0,0.7800,1,0.3559,0.3533,0,58224.3169,0,0,0.5165
70,trades,1,0.8600,1,0.5360,0.4173,0,55809.6039,0,0,0.3674
71,finance,0,0.6300,1,0.3052,0.3667,1,69271.8716,0,0,0.5914
72,care,1,0.2800,0,0.2863,0.3176,0,42230.9619,0,0,0.6199
73,retail,0,0.4200,0,0.2171,0.1904,0,45369.7796,0,0,0.6504
74,professional,1,0.5500,0,0.3413,0.2838,0,53115.8614,1,1,0.6060
75,transport,0,0.7800,1,0.3471,0.3541,0,54725.7493,0,0,0.4990
76,trades,1,0.8600,1,0.5232,0.4464,0,56811.0307,0,0,0.4495
77,finance,0,0.6300,1,0.3834,0.3702,0,65659.2232,0,0,0.4937
78,care,1,0.2800,0,0.2868,0.3077,0,42285.4305,0,0,0.5617
79,retail,0,0.4200,0,0.2452,0.2224,0,45735.0142,1,0,0.6155
80,professional,1,0.5500,0,0.2573,0.2737,0,52264.4009,0,0,0.5889
81,transport,0,0.7800,1,0.3757,0.3443,0,57412.5020,0,0,0.4919
82,trades,1,0.8600,1,0.4833,0.4475,0,54525.8731,0,0,0.4912
83,finance,0,0.6300,1,0.3123,0.3562,0,65367.4605,1,1,0.5648
84,care,1,0.2800,0,0.2849,0.3241,0,41500.2977,0,0,0.5972
85,retail,0,0.4200,0,0.2658,0.2080,0,45371.5044,0,0,0.5718
86,professional,1,0.5500,0,0.2719,0.3457,0,50970.1880,0,0,0.6227
87,transport,0,0.7800,1,0.4000,0.3157,0,55989.3592,0,0,0.4302
88,trades,1,0.8600,1,0.4703,0.4870,1,58104.4822,1,1,0.3320
89,finance,0,0.6300,1,0.3211,0.3491,0,65997.6625,0,0,0.4918
90,care,1,0.2800,0,0.3057,0.3197,1,43438.0314,0,0,0.6097
91,retail,0,0.4200,0,0.2947,0.2044,0,44084.1326,1,1,0.6884
92,professional,1,0.5500,0,0.2966,0.3311,0,51109.2336,0,0,0.6282
93,transport,0,0.7800,1,0.4155,0.3752,0,59755.1661,0,0,0.4036
94,trades,1,0.8600,1,0.5605,0.4068,0,56361.6801,0,0,0.3465
95,finance,0,0.6300,1,0.3125,0.3699,0,64701.8231,0,0,0.5837
96,care,1,0.2800,0,0.3019,0.3263,0,44662.5948,0,0,0.5844
97,retail,0,0.4200,0,0.1978,0.2631,0,47563.7939,0,0,0.5663
98,professional,1,0.5500,0,0.2898,0.3441,0,54226.7099,0,0,0.5589
99,transport,0,0.7800,1,0.3222,0.3315,0,59078.3119,0,0,0.4845
100,trades,1,0.8600,1,0.4607,0.4575,0,56527.8607,0,0,0.4493
101,finance,0,0.6300,1,0.2566,0.3147,0,66012.8316,0,0,0.6162
102,care,1,0.2800,0,0.3648,0.2855,0,42738.0001,0,0,0.5851
103,retail,0,0.4200,0,0.1999,0.1985,0,42852.4608,0,0,0.6455
104,professional,1,0.5500,0,0.2664,0.2759,0,54110.0233,0,0,0.6841
105,transport,0,0.7800,1,0.4521,0.3302,1,57340.9072,0,0,0.4117
106,trades,1,0.8600,1,0.4711,0.4348,0,57488.6176,0,0,0.4918
107,finance,0,0.6300,1,0.2840,0.3460,0,66203.1621,0,0,0.5354
108,care,1,0.2800,0,0.2228,0.3132,0,46102.6976,0,0,0.6149
109,retail,0,0.4200,0,0.2724,0.2432,0,44950.2735,1,0,0.5106
110,professional,1,0.5500,0,0.2774,0.3304,0,54057.5505,0,0,0.6574
111,transport,0,0.7800,1,0.3938,0.4033,0,60323.0467,0,0,0.5652
112,trades,1,0.8600,1,0.5267,0.4178,0,55862.1502,1,1,0.4778
113,finance,0,0.6300,1,0.2323,0.3358,0,63807.6408,0,0,0.5644
114,care,1,0.2800,0,0.2968,0.3037,0,46396.8490,0,0,0.5534
115,retail,0,0.4200,0,0.2332,0.2317,0,45406.1007,0,0,0.6658
116,professional,1,0.5500,0,0.3466,0.3326,0,51883.9024,0,0,0.5175
117,transport,0,0.7800,1,0.3844,0.3695,0,56843.5883,0,0,0.4777
118,trades,1,0.8600,1,0.5553,0.4451,0,54082.1475,0,0,0.4249
119,finance,0,0.6300,1,0.3315,0.3301,0,65271.5909,1,1,0.6387
120,care,1,0.2800,0,0.3025,0.3150,0,47180.8348,1,1,0.5370
121,retail,0,0.4200,0,0.2474,0.2113,0,45886.0554,0,0,0.5769
122,professional,1,0.5500,0,0.3634,0.3030,0,53650.4802,0,0,0.5749
123,transport,0,0.7800,1,0.3533,0.3789,1,57607.1037,0,0,0.5871
124,trades,1,0.8600,1,0.5163,0.4095,0,59158.6816,0,0,0.4457
125,finance,0,0.6300,1,0.2782,0.3088,0,67638.2513,0,0,0.5078
126,care,1,0.2800,0,0.3421,0.2769,0,47449.7493,1,1,0.4215
127,retail,0,0.4200,0,0.2232,0.2780,0,48043.5644,0,0,0.6207
128,professional,1,0.5500,0,0.3823,0.2648,0,52096.9977,1,1,0.5344
129,transport,0,0.7800,1,0.3594,0.3733,0,56513.6098,0,0,0.4983
130,trades,1,0.8600,1,0.4914,0.4321,0,56255.7582,1,1,0.4181
131,finance,0,0.6300,1,0.2982,0.3353,0,66741.6142,0,0,0.5481
132,care,1,0.2800,0,0.3291,0.2860,0,40827.9358,0,0,0.5951
133,retail,0,0.4200,0,0.2063,0.2335,0,45815.0311,0,0,0.6556
134,professional,1,0.5500,0,0.3246,0.2901,0,52432.6924,0,0,0.6500
135,transport,0,0.7800,1,0.3722,0.3801,0,58007.6112,0,0,0.5469
136,trades,1,0.8600,1,0.5054,0.4334,0,55216.7450,0,0,0.3327
137,finance,0,0.6300,1,0.3499,0.3491,0,67047.3510,0,0,0.5663
138,care,1,0.2800,0,0.3591,0.3168,0,44606.4575,0,0,0.5728
139,retail,0,0.4200,0,0.1931,0.2471,0,46126.3840,1,0,0.5975
140,professional,1,0.5500,0,0.2628,0.2996,0,51819.8800,0,0,0.5824
141,transport,0,0.7800,1,0.2717,0.3211,0,56799.6252,0,0,0.5581
142,trades,1,0.8600,1,0.4560,0.4552,0,55053.4219,1,1,0.5178
143,finance,0,0.6300,1,0.3301,0.3575,0,65826.5870,0,0,0.4733
144,care,1,0.2800,0,0.3279,0.3261,0,44736.4352,1,0,0.5683
145,retail,0,0.4200,0,0.3315,0.2553,1,47817.9408,1,1,0.5796
146,professional,1,0.5500,0,0.3837,0.3095,0,51475.9262,0,0,0.5667
147,transport,0,0.7800,1,0.4013,0.3166,0,57512.0719,0,0,0.5462
148,trades,1,0.8600,1,0.4902,0.4527,0,56215.4710,0,0,0.4024
149,finance,0,0.6300,1,0.2446,0.3698,0,66442.8277,1,0,0.4939
150,care,1,0.2800,0,0.2404,0.3040,0,43409.3127,0,0,0.6142
151,retail,0,0.4200,0,0.1741,0.2220,0,47397.7198,0,0,0.6575
152,professional,1,0.5500,0,0.3417,0.3432,0,52975.4134,0,0,0.5653
153,transport,0,0.7800,1,0.3831,0.3653,0,58178.7873,0,0,0.4810
154,trades,1,0.8600,1,0.4518,0.4340,0,55401.8222,0,0,0.5021
155,finance,0,0.6300,1,0.1824,0.3443,0,64356.8397,0,0,0.5091
156,care,1,0.2800,0,0.2849,0.3383,0,46483.5977,0,0,0.4667
157,retail,0,0.4200,0,0.2334,0.2215,1,47108.3038,0,0,0.6906
158,professional,1,0.5500,0,0.3400,0.2729,0,53144.8910,0,0,0.5357
159,transport,0,0.7800,1,0.4113,0.3240,1,56593.5423,0,0,0.4733
160,trades,1,0.8600,1,0.4722,0.4527,0,56742.4752,0,0,0.4424
161,finance,0,0.6300,1,0.2720,0.3670,0,68370.3761,0,0,0.4739
162,care,1,0.2800,0,0.3153,0.3031,0,45225.7690,0,0,0.4700
163,retail,0,0.4200,0,0.1851,0.2184,0,47094.0266,0,0,0.6692
